label,path,bytes,sha256
handoff,C:\Users\xsp\Desktop\DRL代码\HANDOFF.md,27323,a5e4aabad91d3fe88910e3dab4ccceb8628ff9232f330c85778f87e07b8ba48b
writing_specification,C:\Users\xsp\Desktop\论文仿写规范_AI直接执行版.md,33744,3344d4de6769ac9858f39398fab648b5a5d18db45fc85fe8b6d53ae931ff7ee3
final_results,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\formal_evaluation\results\final_results.jsonl,45478119,4b620c21566c2e33c875f6bea2017b741b02a7d30d70aa50add60a6d06214a2c
final_audit_status,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\formal_evaluation\results\final_audit_status.json,12333,995da63dac49e57ba49ebbab2f61ee22cb711859d4800de6fac76a319f1595a5
evaluation_matrix_manifest,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\formal_evaluation\evaluation_matrix_manifest.json,552,bcd1c9bffda9a21e741aac396f45d3e5b212fe1449b9b3543492bb0a62619e68
analysis_manifest,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\analysis\pre_plot_statistics\analysis_manifest.json,1471,0c65e43316e8264f107c2b7e39ea25c3afb3288c25276fb117ffc31d24cd0d80
descriptive_metrics,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\analysis\pre_plot_statistics\descriptive_metrics.csv,86316,87c4b89a4eaa19d75f6d419c70c3fa91b36a1625090aa88109ad110b6eca431c
confirmatory_pairwise,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\analysis\pre_plot_statistics\confirmatory_pairwise.csv,7103,9e936ffb02ea7d03d205c58591c804a27e0796ac7249c1004b66af72ad2085ea
confirmatory_omnibus,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\analysis\pre_plot_statistics\confirmatory_omnibus.csv,638,a7d831cc6955137ae728bdab2aa1eac40905140421a60c0214be152f4c1e256d
training_dimension_scores,C:\Users\xsp\Desktop\DRL代码\paper_runs\multimap_v3_2_14\analysis\manuscript_training_aware_v2\training_dimension_scores.csv,486,c2e04b9f2a57fe0a1325315f3ff8ebffb5e2248c8cc1d7165bedc0176b03aea8
