convergence_environment_interactions,convergence_episode,convergence_threshold,convergence_window_updates,final_environment_interactions,learning_curve_auc,model,tail_mean_weighted_coverage,tail_temporal_sd,tail_update_count,threshold_efficiency,training_seed,update_count
2875.0,224.0,0.9,5,49385,0.96709375,full,0.98260498046875,0.036073111557385254,32,0.9425,42,188
2565.0,192.0,0.9,5,49870,0.9783385416666667,full,0.99249267578125,0.028718284351693033,32,0.9487,43,188
2730.0,208.0,0.9,5,49686,0.9740677083333333,full,0.9913330078125,0.021652325916089243,32,0.9454,44,188
2863.0,224.0,0.9,5,49253,0.9674895833333333,full,0.98504638671875,0.030373810803970624,32,0.94274,45,188
2096.0,160.0,0.9,5,49865,0.9783385416666667,full,0.98968505859375,0.02601651032876001,32,0.95808,46,188
nan,nan,0.9,5,17753,0.25763151147959185,traditional_ppo,0.26472616390306125,0.03305453771354773,32,0.0,42,192
nan,nan,0.9,5,17702,0.25718517325680273,traditional_ppo,0.2686580735809949,0.036153319404682756,32,0.0,43,192
nan,nan,0.9,5,17796,0.25637497448979596,traditional_ppo,0.266910475127551,0.026312663275775527,32,0.0,44,192
nan,nan,0.9,5,17864,0.25756636639030617,traditional_ppo,0.26920041454081634,0.03203350726467853,32,0.0,45,192
nan,nan,0.9,5,17709,0.25433938509778914,traditional_ppo,0.26468505859375,0.0287151245383808,32,0.0,46,192
4285.0,336.0,0.9,5,48684,0.95925,a2c_pointer,0.974853515625,0.04747689324669013,32,0.9143,42,188
4770.0,352.0,0.9,5,49033,0.966515625,a2c_pointer,0.9952392578125,0.011213677950222574,32,0.9046,43,188
6202.0,464.0,0.9,5,48728,0.960109375,a2c_pointer,0.987060546875,0.021639890319571742,32,0.87596,44,188
3671.0,288.0,0.9,5,48656,0.9601354166666667,a2c_pointer,0.99249267578125,0.016721462596670008,32,0.92658,45,188
3332.0,256.0,0.9,5,48917,0.9636614583333334,a2c_pointer,0.9393310546875,0.10515318482788104,32,0.93336,46,188
