model,metric,score,q25,q75,raw_median,unit
full,D6训练稳定性,0.98603313444,0.98603313444,0.98603313444,0.98603313444,0–1
full,D7样本效率,0.9653911375,0.9653911375,0.9653911375,0.9653911375,0–1
full,Learning-curve AUC,0.974067708333,0.967489583333,0.978338541667,0.974067708333,AUC
full,尾段时间一致性,0.971281715648,0.969626189196,0.973983489671,0.971281715648,1-SD
full,阈值效率,0.9454,0.94274,0.9487,0.9454,比例
full,达到阈值速度,0.945257669942,0.942590735913,0.948566272308,0.945257669942,方向分数
a2c_pointer,D6训练稳定性,0.970094529324,0.970094529324,0.970094529324,0.970094529324,0–1
a2c_pointer,D7样本效率,0.9466420625,0.9466420625,0.9466420625,0.9466420625,0–1
a2c_pointer,Learning-curve AUC,0.960135416667,0.960109375,0.963661458333,0.960135416667,AUC
a2c_pointer,尾段时间一致性,0.97836010968,0.952523106753,0.983278537403,0.97836010968,1-SD
a2c_pointer,阈值效率,0.9143,0.9046,0.92658,0.9143,比例
a2c_pointer,达到阈值速度,0.914076599158,0.904351313415,0.926388610387,0.914076599158,方向分数
traditional_ppo,D6训练稳定性,0.986225890877,0.986225890877,0.986225890877,0.986225890877,0–1
traditional_ppo,D7样本效率,0.1796336375,0.1796336375,0.1796336375,0.1796336375,0–1
traditional_ppo,Learning-curve AUC,0.257185173257,0.25637497449,0.25756636639,0.257185173257,AUC
traditional_ppo,尾段时间一致性,0.967966492735,0.966945462286,0.971284875462,0.967966492735,1-SD
traditional_ppo,阈值效率,0,0,0,0,比例
traditional_ppo,达到阈值速度,0,0,0,0,方向分数
