model,metric,value_100
full,D1,58.1806777538
full,D2,36.117110467
full,D3,92.6259322275
full,D4,92.1221739752
full,D5,50.5716214565
full,D6,98.603313444
full,D7,96.53911375
full,综合得分,76.6560497307
a2c_pointer,D1,58.7826552947
a2c_pointer,D2,36.161075871
a2c_pointer,D3,92.6432732601
a2c_pointer,D4,90.6742019815
a2c_pointer,D5,51.4118414419
a2c_pointer,D6,97.0094529324
a2c_pointer,D7,94.66420625
a2c_pointer,综合得分,74.5472133784
traditional_ppo,D1,30.2801594075
traditional_ppo,D2,36.3942559791
traditional_ppo,D3,92.9136941114
traditional_ppo,D4,94.6573380761
traditional_ppo,D5,63.4518750965
traditional_ppo,D6,98.6225890877
traditional_ppo,D7,17.96336375
traditional_ppo,综合得分,54.4672169677
