model,sequence,x,y,z,status
full,0,239.730804443,103.403945923,543.315734863,route
full,1,240.660354614,110.92691803,560.692871094,route
full,2,248.389694214,118.914611816,557.502075195,route
full,3,250.542007446,127.625923157,563.352539062,route
full,4,265.99899292,144.461730957,565.92980957,route
full,5,253.455795288,154.051651001,568.757751465,route
full,6,247.941864014,161.133865356,568.70123291,route
full,7,240.442108154,166.010528564,572.965209961,route
full,8,239.730804443,103.403945923,543.315734863,route
a2c_pointer,0,239.730804443,103.403945923,543.315734863,route
a2c_pointer,1,240.660354614,110.92691803,560.692871094,route
a2c_pointer,2,248.389694214,118.914611816,557.502075195,route
a2c_pointer,3,250.542007446,127.625923157,563.352539062,route
a2c_pointer,4,265.99899292,144.461730957,565.92980957,route
a2c_pointer,5,253.455795288,154.051651001,568.757751465,route
a2c_pointer,6,247.941864014,161.133865356,568.70123291,route
a2c_pointer,7,240.442108154,166.010528564,572.965209961,route
a2c_pointer,8,239.730804443,103.403945923,543.315734863,route
traditional_ppo,0,239.730804443,103.403945923,543.315734863,route
traditional_ppo,1,226.557510376,43.6510124207,576.986694336,route
traditional_ppo,2,250.153915405,57.0964241028,566.404296875,route
traditional_ppo,3,256.258483887,79.6197814941,563.471374512,route
traditional_ppo,4,239.437301636,94.4506759644,565.026855469,route
traditional_ppo,5,239.730804443,103.403945923,543.315734863,route
milp,0,239.730804443,103.403945923,543.315734863,route
milp,1,239.437301636,94.4506759644,565.026855469,route
milp,2,238.830123901,80.6288833618,574.67590332,route
milp,3,249.184844971,70.4575805664,564.582092285,route
milp,4,250.153915405,57.0964241028,566.404296875,route
milp,5,256.010009766,43.9499778748,574.282714844,route
milp,6,265.99899292,52.7388877869,577.125732422,route
milp,7,258.194335938,70.7591094971,563.610656738,route
milp,8,256.258483887,79.6197814941,563.471374512,route
milp,9,251.698760986,86.5826339722,560.774719238,route
milp,10,240.660354614,110.92691803,560.692871094,route
milp,11,239.730804443,103.403945923,543.315734863,route
