environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
66,16.0,,full,,,seed,0.338467261904762,42
964,160.0,,full,,,seed,0.4715726568405139,42
1682,250.0,,full,,,seed,0.4833416005291005,42
2192,314.0,,full,,,seed,0.4822845804988663,42
3499,474.0,,full,,,seed,0.4904006046863191,42
3713,500.0,,full,,,seed,0.4964143990929706,42
4788,628.0,,full,,,seed,0.494034627739985,42
6245,788.0,,full,,,seed,0.4971265589569158,42
7831,948.0,,full,,,seed,0.4938480253212396,42
8319,1000.0,,full,,,seed,0.4950479497354498,42
9210,1096.0,,full,,,seed,0.4990634448223733,42
10685,1256.0,,full,,,seed,0.4942731953892667,42
12093,1416.0,,full,,,seed,0.4971206538170825,42
12844,1500.0,,full,,,seed,0.5004369803476945,42
13403,1564.0,,full,,,seed,0.5062688964474676,42
14885,1724.0,,full,,,seed,0.4968348450491306,42
16416,1884.0,,full,,,seed,0.5004263510959939,42
17497,2000.0,,full,,,seed,0.5033375850340134,42
17785,2032.0,,full,,,seed,0.5024199263038546,42
19298,2192.0,,full,,,seed,0.5015093537414964,42
20845,2352.0,,full,,,seed,0.49545422335600897,42
22179,2500.0,,full,,,seed,0.4944444444444446,42
23608,2660.0,,full,,,seed,0.4971785241874529,42
25114,2820.0,,full,,,seed,0.4986748866213152,42
26487,2980.0,,full,,,seed,0.4930390211640212,42
26679,3000.0,,full,,,seed,0.49417280801209373,42
78,16.0,,full,,,seed,0.36870630196523063,43
958,160.0,,full,,,seed,0.47384849773242615,43
1675,250.0,,full,,,seed,0.4900770030234316,43
2182,314.0,,full,,,seed,0.4914540816326529,43
3602,474.0,,full,,,seed,0.4937866118669689,43
3816,500.0,,full,,,seed,0.4926032218442933,43
4946,628.0,,full,,,seed,0.49283234126984116,43
6390,788.0,,full,,,seed,0.49541524943310633,43
7831,948.0,,full,,,seed,0.49618646069538924,43
8300,1000.0,,full,,,seed,0.49228788737717294,43
9177,1096.0,,full,,,seed,0.4861961451247167,43
10595,1256.0,,full,,,seed,0.4951755007558581,43
11996,1416.0,,full,,,seed,0.4972363945578231,43
12722,1500.0,,full,,,seed,0.493791335978836,43
13306,1564.0,,full,,,seed,0.4919867252456538,43
14711,1724.0,,full,,,seed,0.49925004724111843,43
