budget_fraction,interaction_end,interaction_start,model,training_seed,validation_auc
0.5,8891.0,80.0,full,42,0.4828859557378542
0.5,8891.0,80.0,full,43,0.48526815070451496
0.5,8891.0,80.0,full,44,0.475060278902673
0.5,8891.0,80.0,full,45,0.4813946804008661
0.5,8891.0,80.0,full,46,0.47525062081288455
0.5,8891.0,80.0,a2c_pointer,42,0.4515117168052022
0.5,8891.0,80.0,a2c_pointer,43,0.4642393775047336
0.5,8891.0,80.0,a2c_pointer,44,0.4631518644247766
0.5,8891.0,80.0,a2c_pointer,45,0.45423390936931607
0.5,8891.0,80.0,a2c_pointer,46,0.46448107693157303
0.5,8891.0,80.0,traditional_ppo,42,0.2624903171162312
0.5,8891.0,80.0,traditional_ppo,43,0.2615631537015226
0.5,8891.0,80.0,traditional_ppo,44,0.26581696084553647
0.5,8891.0,80.0,traditional_ppo,45,0.27228711142243534
0.5,8891.0,80.0,traditional_ppo,46,0.26436771833909883
0.75,13296.5,80.0,full,42,0.48774681984969154
0.75,13296.5,80.0,full,43,0.4879451543052425
0.75,13296.5,80.0,full,44,0.4824833531060863
0.75,13296.5,80.0,full,45,0.48523809609602037
0.75,13296.5,80.0,full,46,0.4813232131398901
0.75,13296.5,80.0,a2c_pointer,42,0.46613203118905394
0.75,13296.5,80.0,a2c_pointer,43,0.47405630728502085
0.75,13296.5,80.0,a2c_pointer,44,0.47531255180967774
0.75,13296.5,80.0,a2c_pointer,45,0.46780219003929585
0.75,13296.5,80.0,a2c_pointer,46,0.4747954920414108
0.75,13296.5,80.0,traditional_ppo,42,0.2662224423559922
0.75,13296.5,80.0,traditional_ppo,43,0.262749861732777
0.75,13296.5,80.0,traditional_ppo,44,0.26407004760821756
0.75,13296.5,80.0,traditional_ppo,45,0.27413865468954873
0.75,13296.5,80.0,traditional_ppo,46,0.2660557846353773
1.0,17702.0,80.0,full,42,0.49100665614343514
1.0,17702.0,80.0,full,43,0.4900517140840335
1.0,17702.0,80.0,full,44,0.48389059156317216
1.0,17702.0,80.0,full,45,0.48675102768702266
1.0,17702.0,80.0,full,46,0.4844581021337064
1.0,17702.0,80.0,a2c_pointer,42,0.47417355918127757
1.0,17702.0,80.0,a2c_pointer,43,0.4801267487621984
1.0,17702.0,80.0,a2c_pointer,44,0.4810507955373344
1.0,17702.0,80.0,a2c_pointer,45,0.4753346706439791
1.0,17702.0,80.0,a2c_pointer,46,0.47984476402678466
1.0,17702.0,80.0,traditional_ppo,42,0.2691332314909395
1.0,17702.0,80.0,traditional_ppo,43,0.26467551511811666
1.0,17702.0,80.0,traditional_ppo,44,0.2626025228711357
1.0,17702.0,80.0,traditional_ppo,45,0.2743334750921574
1.0,17702.0,80.0,traditional_ppo,46,0.2674563410221166
