aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model,operational_floor
arithmetic,0.5388933440256616,1247,77.0381062100406,1.4611066559743384,66.14741638984286,56.85433490605504,a2c_pointer,0.0
arithmetic,0.4611066559743384,1247,77.14355658900195,1.5388933440256616,66.13649823395639,56.85353109243108,full,0.0
arithmetic,0.0,1247,71.52064036178683,3.0,57.531370538291156,45.09267752267843,traditional_ppo,0.0
geometric,0.7121090617481957,1247,73.16086817593326,1.2878909382518042,62.389511635007814,53.76101402072132,a2c_pointer,0.0
geometric,0.28789093825180434,1247,73.19077577068629,1.7121090617481958,62.330555365138686,53.747831636884555,full,0.0
geometric,0.0,1247,63.35592370430396,3.0,50.090106401323496,39.60442712466977,traditional_ppo,0.0
arithmetic,0.3408179631114675,1247,76.02162050425937,1.6591820368885324,64.48701064487396,54.12469274031899,a2c_pointer,0.2
arithmetic,0.6591820368885325,1247,76.19621805446135,1.3408179631114676,64.53655732561268,54.18847646335397,full,0.2
arithmetic,0.0,1247,70.37668176171252,3.0,55.37583942762431,41.357055571892325,traditional_ppo,0.2
geometric,0.3656776263031275,1247,71.71318228475417,1.6343223736968724,60.112731059729754,50.37387660929841,a2c_pointer,0.2
geometric,0.6343223736968725,1247,71.8408020384325,1.3656776263031276,60.167909045334696,50.508109177936525,full,0.2
geometric,0.0,1247,59.664577524723306,3.0,44.23960541957548,31.42802610553492,traditional_ppo,0.2
arithmetic,0.15717722534081796,1247,74.32747766129066,1.842822774659182,61.719667736592484,49.57528913075891,a2c_pointer,0.4
arithmetic,0.842822774659182,1247,74.61732049689374,1.157177225340818,61.86998914503985,49.74671874822546,full,0.4
arithmetic,0.0,1247,69.57308228559785,3.0,54.21306787305392,39.543011749952385,traditional_ppo,0.4
geometric,0.0,1247,67.80077987138206,2.0,53.88178745541435,41.29382214747124,a2c_pointer,0.4
geometric,1.0,1247,68.27229123091739,1.0,54.416224690807105,42.07381776996408,full,0.4
geometric,0.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.4
arithmetic,0.35846030473135526,1247,72.46286562997432,1.6415396952686447,59.54146269729021,46.57117653012302,a2c_pointer,0.6
arithmetic,0.6415396952686447,1247,72.86913015273004,1.3584603047313553,59.64205270840013,46.50162240185474,full,0.6
arithmetic,0.0,1247,68.81138604735469,3.0,53.75007164067335,39.29693496201715,traditional_ppo,0.6
geometric,1.0,1247,0.0,1.0,0.0,0.0,a2c_pointer,0.6
geometric,1.0,1247,0.0,2.0,0.0,0.0,full,0.6
geometric,1.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.6
arithmetic,0.0,1247,69.36284676551217,2.0,57.308320668005535,45.369449491246826,a2c_pointer,0.8
arithmetic,1.0,1247,69.80534957829579,1.0,57.762278192612605,45.48949519496995,full,0.8
arithmetic,0.0,1247,66.52629733262519,3.0,52.36108294353163,38.55870459821145,traditional_ppo,0.8
geometric,1.0,1247,0.0,1.0,0.0,0.0,a2c_pointer,0.8
geometric,1.0,1247,0.0,2.0,0.0,0.0,full,0.8
geometric,1.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.8
