aggregation,model,scenario,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,full,balanced_default,core_learning_training_corrected_v6,0.6221647096651055,0.28,0.18,0.15,0.1,0.07,0.12,0.1
arithmetic,full,balanced_default,core_learning_training_corrected_v6,0.6628380357631749,0.28,0.18,0.15,0.1,0.07,0.12,0.1
geometric,a2c_pointer,balanced_default,core_learning_training_corrected_v6,0.6226159005932489,0.28,0.18,0.15,0.1,0.07,0.12,0.1
arithmetic,a2c_pointer,balanced_default,core_learning_training_corrected_v6,0.6627737610860979,0.28,0.18,0.15,0.1,0.07,0.12,0.1
geometric,traditional_ppo,balanced_default,core_learning_training_corrected_v6,0.4979313841534776,0.28,0.18,0.15,0.1,0.07,0.12,0.1
arithmetic,traditional_ppo,balanced_default,core_learning_training_corrected_v6,0.5748265034421592,0.28,0.18,0.15,0.1,0.07,0.12,0.1
geometric,full,mission_first,core_learning_training_corrected_v6,0.6117853843896294,0.4,0.15,0.12,0.08,0.05,0.1,0.1
arithmetic,full,mission_first,core_learning_training_corrected_v6,0.6455370154990921,0.4,0.15,0.12,0.08,0.05,0.1,0.1
geometric,a2c_pointer,mission_first,core_learning_training_corrected_v6,0.6129606139454696,0.4,0.15,0.12,0.08,0.05,0.1,0.1
arithmetic,a2c_pointer,mission_first,core_learning_training_corrected_v6,0.6463120376742834,0.4,0.15,0.12,0.08,0.05,0.1,0.1
geometric,traditional_ppo,mission_first,core_learning_training_corrected_v6,0.450310612966403,0.4,0.15,0.12,0.08,0.05,0.1,0.1
arithmetic,traditional_ppo,mission_first,core_learning_training_corrected_v6,0.5208611032667436,0.4,0.15,0.12,0.08,0.05,0.1,0.1
geometric,full,safety_first,core_learning_training_corrected_v6,0.6559108296569848,0.25,0.15,0.25,0.1,0.05,0.1,0.1
arithmetic,full,safety_first,core_learning_training_corrected_v6,0.6971041455591913,0.25,0.15,0.25,0.1,0.05,0.1,0.1
geometric,a2c_pointer,safety_first,core_learning_training_corrected_v6,0.6559650041933615,0.25,0.15,0.25,0.1,0.05,0.1,0.1
arithmetic,a2c_pointer,safety_first,core_learning_training_corrected_v6,0.6967091503665583,0.25,0.15,0.25,0.1,0.05,0.1,0.1
geometric,traditional_ppo,safety_first,core_learning_training_corrected_v6,0.5329812233219917,0.25,0.15,0.25,0.1,0.05,0.1,0.1
arithmetic,traditional_ppo,safety_first,core_learning_training_corrected_v6,0.61516013411559,0.25,0.15,0.25,0.1,0.05,0.1,0.1
geometric,full,realtime_first,core_learning_training_corrected_v6,0.5990572283074248,0.25,0.15,0.12,0.08,0.2,0.1,0.1
arithmetic,full,realtime_first,core_learning_training_corrected_v6,0.6341234310531778,0.25,0.15,0.12,0.08,0.2,0.1,0.1
geometric,a2c_pointer,realtime_first,core_learning_training_corrected_v6,0.6007650559195721,0.25,0.15,0.12,0.08,0.2,0.1,0.1
arithmetic,a2c_pointer,realtime_first,core_learning_training_corrected_v6,0.6352558168950488,0.25,0.15,0.12,0.08,0.2,0.1,0.1
geometric,traditional_ppo,realtime_first,core_learning_training_corrected_v6,0.503158864206552,0.25,0.15,0.12,0.08,0.2,0.1,0.1
arithmetic,traditional_ppo,realtime_first,core_learning_training_corrected_v6,0.5706186768002709,0.25,0.15,0.12,0.08,0.2,0.1,0.1
geometric,full,training_first,core_learning_training_corrected_v6,0.640417079798476,0.22,0.13,0.12,0.08,0.05,0.2,0.2
arithmetic,full,training_first,core_learning_training_corrected_v6,0.6820923436508409,0.22,0.13,0.12,0.08,0.05,0.2,0.2
geometric,a2c_pointer,training_first,core_learning_training_corrected_v6,0.6391901159999718,0.22,0.13,0.12,0.08,0.05,0.2,0.2
arithmetic,a2c_pointer,training_first,core_learning_training_corrected_v6,0.6807936354400678,0.22,0.13,0.12,0.08,0.05,0.2,0.2
geometric,traditional_ppo,training_first,core_learning_training_corrected_v6,0.49910614509025664,0.22,0.13,0.12,0.08,0.05,0.2,0.2
arithmetic,traditional_ppo,training_first,core_learning_training_corrected_v6,0.5852788058628676,0.22,0.13,0.12,0.08,0.05,0.2,0.2
