auc_interaction_end,auc_interaction_start,final_environment_interactions,model,tail_checkpoint_count,tail_fraction,tail_mean_safe_weighted_coverage,tail_start_episode,tail_temporal_sd,training_seed,update_count,validation_auc,validation_checkpoint_count,validation_instance_count,validation_instances_hash,validation_mode
17702.0,80.0,26679,full,5,0.2,0.4955019368858656,2400.0,0.0023360962460480116,42,192,0.49100665614343514,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,26535,full,5,0.2,0.49989110922146623,2400.0,0.002728791045467438,43,192,0.4900517140840335,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,26861,full,5,0.2,0.49691846182917604,2400.0,0.0035788466589566064,44,192,0.48389059156317216,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,25977,full,5,0.2,0.49610213529856384,2400.0,0.0025031026974578416,45,192,0.48675102768702266,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,26342,full,5,0.2,0.49738732993197265,2400.0,0.003570003007993631,46,192,0.4844581021337064,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,24893,a2c_pointer,5,0.2,0.4990263605442176,2400.0,0.0020894598791431473,42,192,0.47417355918127757,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,25165,a2c_pointer,5,0.2,0.4963820389266818,2400.0,0.002705461400743943,43,192,0.4801267487621984,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,25539,a2c_pointer,5,0.2,0.5029287131519273,2400.0,0.0020846531023762725,44,192,0.4810507955373344,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,24665,a2c_pointer,5,0.2,0.497465513983371,2400.0,0.005647638937768592,45,192,0.4753346706439791,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,25104,a2c_pointer,5,0.2,0.4958068783068782,2400.0,0.002083374441270845,46,192,0.47984476402678466,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,17753,traditional_ppo,5,0.2,0.27808744331065754,2400.0,0.0026037771661159945,42,192,0.2691332314909395,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,17702,traditional_ppo,5,0.2,0.27032454648526083,2400.0,0.006549939439496166,43,192,0.26467551511811666,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,17796,traditional_ppo,5,0.2,0.25928406084656086,2400.0,0.00200913563988158,44,192,0.2626025228711357,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,17864,traditional_ppo,5,0.2,0.2729164304610734,2400.0,0.0034695735803089234,45,192,0.2743334750921574,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
17702.0,80.0,17709,traditional_ppo,5,0.2,0.27077664399092966,2400.0,0.00420218878705261,46,192,0.2674563410221166,26,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,external_multimap_v3_1
