aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,0,1.0,full,1,core_learning_training_corrected_v6,0.6259808553073481,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,1.0,full,1,core_learning_training_corrected_v6,0.6640308577784543,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6259553451341036,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6638697078152745,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5050530421762435,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5847764320390167,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,1,1.0,full,1,core_learning_training_corrected_v6,0.6450359443064907,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,1.0,full,1,core_learning_training_corrected_v6,0.6848061340377728,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6439681400500341,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6835008880850586,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5152553178491414,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6003791635288018,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,2,1.0,full,1,core_learning_training_corrected_v6,0.6234862915324298,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,1.0,full,1,core_learning_training_corrected_v6,0.6602015405811541,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6229887038428404,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6593508179522705,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5038106510131403,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5823866915702931,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,3,0.0,full,2,core_learning_training_corrected_v6,0.6462379927671786,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,1.0,full,1,core_learning_training_corrected_v6,0.6857303638499209,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,1.0,a2c_pointer,1,core_learning_training_corrected_v6,0.6463106685497788,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6853015034245044,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5379812468099361,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.618723090221099,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,4,1.0,full,1,core_learning_training_corrected_v6,0.6646710772697366,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,1.0,full,1,core_learning_training_corrected_v6,0.7055814102970913,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6624992798977647,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7031320683548427,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5256636836159772,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6159818950185869,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,5,1.0,full,1,core_learning_training_corrected_v6,0.6424654450866749,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,1.0,full,1,core_learning_training_corrected_v6,0.6809768168404726,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6409161292486549,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6789819982220545,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5139878298821757,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5979894230600782,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,6,1.0,full,1,core_learning_training_corrected_v6,0.665909716530615,0.2,0.1,0.1,0.15,0.1,0.2,0.15
