layer,layer_label,metric,metric_label,comparator,comparator_label,estimate_pp,ci_low_pp,ci_high_pp,n_maps,row_label
known_domain_shift,已知域偏移,safe,安全率,a2c_pointer,A2C+Pointer,0,0,0,8,已知域偏移 · 安全率｜A2C+Pointer
known_domain_shift,已知域偏移,safe,安全率,traditional_ppo,传统PPO,0,0,0,8,已知域偏移 · 安全率｜传统PPO
known_domain_shift,已知域偏移,safe,安全率,priority_resource_greedy,优先级-资源贪心,0,0,0,8,已知域偏移 · 安全率｜优先级-资源贪心
known_domain_shift,已知域偏移,returned,返航率,a2c_pointer,A2C+Pointer,0,0,0,8,已知域偏移 · 返航率｜A2C+Pointer
known_domain_shift,已知域偏移,returned,返航率,traditional_ppo,传统PPO,0,0,0,8,已知域偏移 · 返航率｜传统PPO
known_domain_shift,已知域偏移,returned,返航率,priority_resource_greedy,优先级-资源贪心,0,0,0,8,已知域偏移 · 返航率｜优先级-资源贪心
hidden_model_perception_mismatch,隐藏模型/感知误差,safe,安全率,a2c_pointer,A2C+Pointer,2.5,0,5.83333333333,8,隐藏模型/感知误差 · 安全率｜A2C+Pointer
hidden_model_perception_mismatch,隐藏模型/感知误差,safe,安全率,traditional_ppo,传统PPO,2.91666666667,-2.91666666667,6.25,8,隐藏模型/感知误差 · 安全率｜传统PPO
hidden_model_perception_mismatch,隐藏模型/感知误差,safe,安全率,priority_resource_greedy,优先级-资源贪心,2.77555756156e-15,-5,5.83333333333,8,隐藏模型/感知误差 · 安全率｜优先级-资源贪心
hidden_model_perception_mismatch,隐藏模型/感知误差,returned,返航率,a2c_pointer,A2C+Pointer,2.5,-0.416666666667,5.83333333333,8,隐藏模型/感知误差 · 返航率｜A2C+Pointer
hidden_model_perception_mismatch,隐藏模型/感知误差,returned,返航率,traditional_ppo,传统PPO,2.91666666667,-2.91666666667,6.25,8,隐藏模型/感知误差 · 返航率｜传统PPO
hidden_model_perception_mismatch,隐藏模型/感知误差,returned,返航率,priority_resource_greedy,优先级-资源贪心,2.77555756156e-15,-5,5.83333333333,8,隐藏模型/感知误差 · 返航率｜优先级-资源贪心
