episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
16.0,0.193359375,,full,,,seed,42.0
32.0,0.196875,,full,,,seed,42.0
48.0,0.2308673469387755,,full,,,seed,42.0
64.0,0.255859375,,full,,,seed,42.0
80.0,0.321875,,full,,,seed,42.0
96.0,0.2448979591836734,,full,,,seed,42.0
112.0,0.380859375,,full,,,seed,42.0
128.0,0.353125,,full,,,seed,42.0
144.0,0.3596938775510204,,full,,,seed,42.0
160.0,0.375,,full,,,seed,42.0
176.0,0.415625,,full,,,seed,42.0
192.0,0.4145408163265306,,full,,,seed,42.0
208.0,0.458984375,,full,,,seed,42.0
224.0,0.4093749999999999,,full,,,seed,42.0
240.0,0.4017857142857143,,full,,,seed,42.0
250.0,0.4875,,full,,,seed,42.0
266.0,0.425,,full,,,seed,42.0
282.0,0.4094387755102041,,full,,,seed,42.0
298.0,0.4921875,,full,,,seed,42.0
314.0,0.39375,,full,,,seed,42.0
330.0,0.3928571428571428,,full,,,seed,42.0
346.0,0.53515625,,full,,,seed,42.0
362.0,0.4578125,,full,,,seed,42.0
378.0,0.3966836734693877,,full,,,seed,42.0
394.0,0.494140625,,full,,,seed,42.0
410.0,0.403125,,full,,,seed,42.0
426.0,0.3431122448979592,,full,,,seed,42.0
442.0,0.423828125,,full,,,seed,42.0
458.0,0.4328125,,full,,,seed,42.0
474.0,0.399234693877551,,full,,,seed,42.0
490.0,0.513671875,,full,,,seed,42.0
500.0,0.4375,,full,,,seed,42.0
516.0,0.4362244897959183,,full,,,seed,42.0
532.0,0.431640625,,full,,,seed,42.0
548.0,0.49375,,full,,,seed,42.0
564.0,0.4502551020408163,,full,,,seed,42.0
580.0,0.4453125,,full,,,seed,42.0
596.0,0.4265624999999999,,full,,,seed,42.0
612.0,0.4221938775510204,,full,,,seed,42.0
628.0,0.439453125,,full,,,seed,42.0
644.0,0.4515625,,full,,,seed,42.0
660.0,0.4311224489795918,,full,,,seed,42.0
676.0,0.544921875,,full,,,seed,42.0
692.0,0.4578125,,full,,,seed,42.0
708.0,0.4553571428571428,,full,,,seed,42.0
724.0,0.4765625,,full,,,seed,42.0
740.0,0.425,,full,,,seed,42.0
