record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,42,16,111,0.35546875,training_batch,,,
seed,full,PPO+Pointer,42,32,233,0.41015625,training_batch,,,
seed,full,PPO+Pointer,42,48,438,0.740234375,training_batch,,,
seed,full,PPO+Pointer,42,64,663,0.802734375,training_batch,,,
seed,full,PPO+Pointer,42,80,817,0.521484375,training_batch,,,
seed,full,PPO+Pointer,42,96,1000,0.68359375,training_batch,,,
seed,full,PPO+Pointer,42,112,1216,0.76953125,training_batch,,,
seed,full,PPO+Pointer,42,128,1436,0.814453125,training_batch,,,
seed,full,PPO+Pointer,42,144,1655,0.794921875,training_batch,,,
seed,full,PPO+Pointer,42,160,1877,0.83984375,training_batch,,,
seed,full,PPO+Pointer,42,176,2115,0.890625,training_batch,,,
seed,full,PPO+Pointer,42,192,2364,0.9140625,training_batch,,,
seed,full,PPO+Pointer,42,208,2617,0.943359375,training_batch,,,
seed,full,PPO+Pointer,42,224,2875,0.966796875,training_batch,,,
seed,full,PPO+Pointer,42,240,3142,0.986328125,training_batch,,,
seed,full,PPO+Pointer,42,256,3413,0.998046875,training_batch,,,
seed,full,PPO+Pointer,42,272,3685,1,training_batch,,,
seed,full,PPO+Pointer,42,288,3957,1,training_batch,,,
seed,full,PPO+Pointer,42,304,4217,0.95703125,training_batch,,,
seed,full,PPO+Pointer,42,320,4476,0.955078125,training_batch,,,
seed,full,PPO+Pointer,42,336,4748,1,training_batch,,,
seed,full,PPO+Pointer,42,352,5020,1,training_batch,,,
seed,full,PPO+Pointer,42,368,5292,1,training_batch,,,
seed,full,PPO+Pointer,42,384,5564,1,training_batch,,,
seed,full,PPO+Pointer,42,400,5836,1,training_batch,,,
seed,full,PPO+Pointer,42,416,6108,1,training_batch,,,
seed,full,PPO+Pointer,42,432,6380,1,training_batch,,,
seed,full,PPO+Pointer,42,448,6652,1,training_batch,,,
seed,full,PPO+Pointer,42,464,6917,0.98046875,training_batch,,,
seed,full,PPO+Pointer,42,480,7189,1,training_batch,,,
seed,full,PPO+Pointer,42,496,7461,1,training_batch,,,
