model,family,condition,retention,safe_rate,n_maps
a2c_pointer,hidden_model_perception_mismatch,dem_error,0.995382653061,1,8
a2c_pointer,hidden_model_perception_mismatch,localization,0.959793792517,0.941666666667,8
a2c_pointer,hidden_model_perception_mismatch,power_model,0.854919217687,0.716666666667,8
a2c_pointer,hidden_model_perception_mismatch,wind,0.891870748299,0.791666666667,8
a2c_pointer,known_domain_shift,power_model,0.982778486395,1,8
a2c_pointer,known_domain_shift,wind,0.989910714286,1,8
full,hidden_model_perception_mismatch,dem_error,0.991463647959,0.991666666667,8
full,hidden_model_perception_mismatch,localization,0.956843112245,0.933333333333,8
full,hidden_model_perception_mismatch,power_model,0.87512755102,0.75,8
full,hidden_model_perception_mismatch,wind,0.937662627551,0.875,8
full,known_domain_shift,power_model,0.982986819728,1,8
full,known_domain_shift,wind,0.994659863946,1,8
no_domain_randomization,hidden_model_perception_mismatch,dem_error,0.989429209184,0.991666666667,8
no_domain_randomization,hidden_model_perception_mismatch,localization,0.946137329932,0.925,8
no_domain_randomization,hidden_model_perception_mismatch,power_model,0.853044217687,0.708333333333,8
no_domain_randomization,hidden_model_perception_mismatch,wind,0.923149447279,0.841666666667,8
no_domain_randomization,known_domain_shift,power_model,0.982674319728,1,8
no_domain_randomization,known_domain_shift,wind,0.986376488095,1,8
no_return_reserve,hidden_model_perception_mismatch,dem_error,0.999281462585,1,8
no_return_reserve,hidden_model_perception_mismatch,localization,0.996004464286,1,8
no_return_reserve,hidden_model_perception_mismatch,power_model,1,1,8
no_return_reserve,hidden_model_perception_mismatch,wind,1,1,8
traditional_ppo,hidden_model_perception_mismatch,dem_error,0.993112244898,0.975,8
traditional_ppo,hidden_model_perception_mismatch,localization,0.971028911565,0.883333333333,8
traditional_ppo,hidden_model_perception_mismatch,power_model,0.931668792517,0.733333333333,8
traditional_ppo,hidden_model_perception_mismatch,wind,0.966369047619,0.866666666667,8
traditional_ppo,known_domain_shift,power_model,0.990791879252,1,8
traditional_ppo,known_domain_shift,wind,0.996298894558,1,8
