domain,map_id,model,weighted_coverage,task_count,repetitions,domain_label,model_label
real,cn_guizhou_karst,a2c_pointer,0.492176870748,18,90,真实DSM,A2C+Pointer
real,cn_hengduan,a2c_pointer,0.491343537415,18,90,真实DSM,A2C+Pointer
real,cn_qinling,a2c_pointer,0.522006802721,18,90,真实DSM,A2C+Pointer
real,cn_taihang,a2c_pointer,0.497285997732,18,90,真实DSM,A2C+Pointer
real,global_alps,a2c_pointer,0.506027494331,18,90,真实DSM,A2C+Pointer
real,global_colorado_rockies,a2c_pointer,0.526167800454,18,90,真实DSM,A2C+Pointer
real,global_peruvian_andes,a2c_pointer,0.497684240363,18,90,真实DSM,A2C+Pointer
real,global_southern_alps_nz,a2c_pointer,0.486961451247,18,90,真实DSM,A2C+Pointer
real,cn_guizhou_karst,aco,0.549092970522,18,90,真实DSM,ACO
real,cn_hengduan,aco,0.560697278912,18,90,真实DSM,ACO
real,cn_qinling,aco,0.577148526077,18,90,真实DSM,ACO
real,cn_taihang,aco,0.559920634921,18,90,真实DSM,ACO
real,global_alps,aco,0.560785147392,18,90,真实DSM,ACO
real,global_colorado_rockies,aco,0.581308106576,18,90,真实DSM,ACO
real,global_peruvian_andes,aco,0.544926303855,18,90,真实DSM,ACO
real,global_southern_alps_nz,aco,0.545562641723,18,90,真实DSM,ACO
real,cn_guizhou_karst,full,0.493751417234,18,90,真实DSM,PPO+Pointer
real,cn_hengduan,full,0.501833900227,18,90,真实DSM,PPO+Pointer
real,cn_qinling,full,0.515179988662,18,90,真实DSM,PPO+Pointer
real,cn_taihang,full,0.499443027211,18,90,真实DSM,PPO+Pointer
real,global_alps,full,0.506388888889,18,90,真实DSM,PPO+Pointer
real,global_colorado_rockies,full,0.516089852608,18,90,真实DSM,PPO+Pointer
real,global_peruvian_andes,full,0.496787131519,18,90,真实DSM,PPO+Pointer
real,global_southern_alps_nz,full,0.490077947846,18,90,真实DSM,PPO+Pointer
real,cn_guizhou_karst,milp,0.579988662132,18,18,真实DSM,MILP
real,cn_hengduan,milp,0.585289115646,18,18,真实DSM,MILP
real,cn_qinling,milp,0.604754818594,18,18,真实DSM,MILP
real,cn_taihang,milp,0.584800170068,18,18,真实DSM,MILP
