model,metric,utilization,raw_median,unit,safe_share
a2c_pointer,能耗,0.664047804658,36.3999926261,Wh,1
a2c_pointer,航程,0.776701904942,5.84374723185,km,1
a2c_pointer,总任务时间,0.549798109502,12.7114408273,min,1
aco,能耗,0.680600339482,37.5187200299,Wh,1
aco,航程,0.775970202608,6.04385257755,km,1
aco,总任务时间,0.553508990942,13.0502299711,min,1
full,能耗,0.665634637368,36.5518535921,Wh,1
full,航程,0.770875210798,5.87424201974,km,1
full,总任务时间,0.551576383472,12.7817453204,min,1
milp,能耗,0.695874472296,37.9504712463,Wh,1
milp,航程,0.774672381792,6.01604345741,km,1
milp,总任务时间,0.565139368379,13.1323091537,min,1
priority_resource_greedy,能耗,0.602642818607,33.9235150466,Wh,1
priority_resource_greedy,航程,0.73332725993,5.49655210159,km,1
priority_resource_greedy,总任务时间,0.50166973605,11.7609500511,min,1
traditional_ppo,能耗,0.640092892721,34.5359345316,Wh,1
traditional_ppo,航程,0.829048935586,6.48794478502,km,1
traditional_ppo,总任务时间,0.529324948086,12.3378721433,min,1
