model,factor,level,scenario,mean,median,run_count
full,node_count,16,node_count｜16,0.506684027778,0.46875,360
traditional_ppo,node_count,16,node_count｜16,0.307118055556,0.3125,360
a2c_pointer,node_count,16,node_count｜16,0.506163194444,0.5,360
full,node_count,20,node_count｜20,0.474236111111,0.5,360
traditional_ppo,node_count,20,node_count｜20,0.265972222222,0.275,360
a2c_pointer,node_count,20,node_count｜20,0.473194444444,0.5,360
full,node_count,24,node_count｜24,0.476473922902,0.469387755102,360
traditional_ppo,node_count,24,node_count｜24,0.232823129252,0.224489795918,360
a2c_pointer,node_count,24,node_count｜24,0.475680272109,0.469387755102,360
full,difficulty,moderate,difficulty｜moderate,0.652726048753,0.65306122449,360
traditional_ppo,difficulty,moderate,difficulty｜moderate,0.34466553288,0.345344387755,360
a2c_pointer,difficulty,moderate,difficulty｜moderate,0.64859162415,0.65,360
full,difficulty,hard,difficulty｜hard,0.484328231293,0.489795918367,360
traditional_ppo,difficulty,hard,difficulty｜hard,0.266712726757,0.275,360
a2c_pointer,difficulty,hard,difficulty｜hard,0.486521754535,0.489795918367,360
full,difficulty,extreme,difficulty｜extreme,0.320339781746,0.325,360
traditional_ppo,difficulty,extreme,difficulty｜extreme,0.194535147392,0.183673469388,360
a2c_pointer,difficulty,extreme,difficulty｜extreme,0.319924532313,0.325,360
full,constraint_type,energy,constraint_type｜energy,0.499147297808,0.530612244898,270
traditional_ppo,constraint_type,energy,constraint_type｜energy,0.278139172336,0.275,270
a2c_pointer,constraint_type,energy,constraint_type｜energy,0.502446145125,0.55,270
full,constraint_type,distance,constraint_type｜distance,0.466710128496,0.45,270
traditional_ppo,constraint_type,distance,constraint_type｜distance,0.258835034014,0.25,270
a2c_pointer,constraint_type,distance,constraint_type｜distance,0.462509920635,0.45,270
full,constraint_type,time,constraint_type｜time,0.499341458806,0.482397959184,270
traditional_ppo,constraint_type,time,constraint_type｜time,0.274711829176,0.275,270
a2c_pointer,constraint_type,time,constraint_type｜time,0.497481103553,0.489795918367,270
full,constraint_type,mixed,constraint_type｜mixed,0.477993197279,0.469387755102,270
traditional_ppo,constraint_type,mixed,constraint_type｜mixed,0.262865173847,0.265306122449,270
a2c_pointer,constraint_type,mixed,constraint_type｜mixed,0.477613378685,0.469387755102,270
full,priority_layout,clustered,priority_layout｜clustered,0.504127338435,0.5,360
traditional_ppo,priority_layout,clustered,priority_layout｜clustered,0.267562712585,0.265306122449,360
a2c_pointer,priority_layout,clustered,priority_layout｜clustered,0.511174886621,0.5,360
full,priority_layout,dispersed,priority_layout｜dispersed,0.477734906463,0.475,360
traditional_ppo,priority_layout,dispersed,priority_layout｜dispersed,0.276279407596,0.275,360
a2c_pointer,priority_layout,dispersed,priority_layout｜dispersed,0.470777352608,0.475,360
full,priority_layout,far_high_conflict,priority_layout｜far_high_conflict,0.475531816893,0.45,360
traditional_ppo,priority_layout,far_high_conflict,priority_layout｜far_high_conflict,0.262071286848,0.25,360
a2c_pointer,priority_layout,far_high_conflict,priority_layout｜far_high_conflict,0.473085671769,0.45,360
