point_index,x,y,z,priority,point_type
0,249.184844971,70.4575805664,546.503540039,2,inspection
1,240.442108154,166.010528564,554.95526123,3,inspection
2,248.389694214,118.914611816,540.690734863,2,inspection
3,226.557510376,43.6510124207,558.698059082,3,inspection
4,265.99899292,144.461730957,540.933837891,3,inspection
5,256.010009766,43.9499778748,556.226928711,3,inspection
6,239.437301636,94.4506759644,551.681640625,2,inspection
7,265.011260986,87.1275558472,541.006286621,2,inspection
8,265.076416016,61.8292770386,548.79498291,1,inspection
9,231.766799927,60.8807296753,555.249755859,1,inspection
10,253.455795288,154.051651001,549.056091309,3,inspection
11,255.240936279,134.349334717,541.863769531,1,inspection
12,238.830123901,80.6288833618,557.452392578,2,inspection
13,250.153915405,57.0964241028,548.40802002,1,inspection
14,251.698760986,86.5826339722,542.415039062,2,inspection
15,265.99899292,75.2139053345,546.816101074,1,inspection
16,240.660354614,110.92691803,541.001708984,2,inspection
17,265.99899292,52.7388877869,558.552246094,3,inspection
18,229.15687561,52.2674674988,557.687316895,3,inspection
19,234.380355835,69.4928894043,554.128479004,1,inspection
20,258.194335938,70.7591094971,545.049560547,1,inspection
21,247.941864014,161.133865356,550.391540527,3,inspection
22,256.258483887,79.6197814941,545.464660645,2,inspection
23,250.542007446,127.625923157,544.202392578,2,inspection
24,239.730804443,103.403945923,540.671081543,0,airport
