road_id,sequence,x,y,z
0,0,231.565383911,28.3169994354,560.842529297
0,1,231.453994751,28.7481765747,561.329528809
0,2,229.918807983,31.7071723938,559.705993652
0,3,227.949951172,34.544002533,556.448303223
0,4,227.048492432,36.0405387878,559.031188965
0,5,226.223205566,37.3740501404,561.80090332
0,6,225.860198975,38.9100189209,560.052185059
0,7,225.749893188,39.8234329224,560.83770752
0,8,225.894180298,41.211643219,561.207580566
0,9,226.343154907,42.9404563904,559.521606445
0,10,229.82119751,54.4695930481,557.831054688
0,11,234.593643188,70.1957015991,551.730895996
0,12,237.453369141,77.6449966431,551.322753906
0,13,239.736053467,82.5923461914,561.740722656
0,14,240.291183472,83.2472076416,561.740722656
0,15,241.2525177,83.9982833862,554.419128418
0,16,241.388900757,86.1102905273,550.452148438
0,17,240.468719482,87.9289855957,551.072021484
0,18,239.997116089,90.4320068359,550.544311523
0,19,239.386779785,94.8133544922,550.42401123
0,20,239.424530029,102.338020325,546.932556152
0,21,240.402099609,105.740219116,543.461853027
0,22,246.080352783,114.990661621,539.346069336
0,23,248.389694214,118.914611816,540.690734863
1,0,202.054672241,267,638.686218262
1,1,201.980361938,266.723114014,638.686218262
1,2,201.868515015,265.940307617,638.686218262
1,3,201.826141357,265.201538086,639.277160645
1,4,201.902099609,264.60736084,639.277160645
1,5,202.494155884,261.028717041,637.662109375
1,6,202.819320679,260.359893799,637.642944336
1,7,203.171020508,259.815460205,637.642944336
1,8,203.720077515,259.391326904,632.955749512
1,9,204.431304932,259.042480469,632.955749512
1,10,207.764801025,257.613525391,634.028442383
1,11,208.394332886,257.198364258,623.49005127
1,12,208.724273682,256.700408936,629.345825195
1,13,209.009460449,255.804992676,623.487060547
1,14,209.396530151,254.439819336,620.222412109
1,15,209.441192627,253.971923828,620.222412109
1,16,209.426773071,252.981872559,619.539611816
1,17,209.37600708,251.924682617,618.52355957
1,18,209.45135498,251.307937622,617.869873047
1,19,209.752029419,250.571273804,620.404968262
1,20,210.102813721,249.99281311,618.210876465
1,21,210.705795288,249.453598022,617.15435791
1,22,211.555221558,248.667327881,620.896972656
1,23,212.038024902,247.891815186,617.455383301
1,24,212.209915161,247.044906616,615.667297363
1,25,212.237564087,246.361328125,614.255615234
1,26,212.117050171,245.681259155,614.255615234
1,27,211.826065063,245.051574707,614.692993164
1,28,211.362457275,244.380554199,612.795593262
1,29,210.823776245,243.893951416,612.795593262
1,30,209.987625122,243.403717041,611.914611816
1,31,207.996658325,242.477142334,611.327331543
1,32,207.232955933,241.962783813,614.117553711
1,33,206.434631348,241.164352417,613.911865234
1,34,206.014877319,240.424057007,610.080444336
1,35,205.804077148,239.792266846,610.080444336
1,36,205.662139893,239.181228638,608.70880127
1,37,205.596191406,238.408691406,609.245544434
1,38,205.679580688,237.666641235,609.245544434
1,39,205.912902832,236.977630615,608.700256348
1,40,206.28213501,236.23916626,608.646911621
1,41,206.747360229,235.669174194,607.385314941
1,42,207.473693848,235.035308838,607.794006348
1,43,208.114807129,234.631668091,605.536071777
1,44,209.098678589,234.218643188,605.409179688
1,45,210.016693115,233.909866333,604.659606934
1,46,210.457382202,233.654373169,604.659606934
1,47,211.004699707,233.234680176,604.1015625
1,48,211.492111206,232.838790894,604.1015625
1,49,211.900131226,232.294708252,603.705505371
1,50,212.076461792,231.831863403,603.705505371
1,51,212.20930481,231.145141602,603.395874023
1,52,212.147399902,230.515716553,603.395874023
1,53,211.268447876,225.463470459,599.576721191
1,54,211.065612793,224.181915283,598.822753906
1,55,211.003433228,223.451461792,598.25579834
1,56,211.077255249,222.528289795,598.25579834
1,57,211.26348877,221.693969727,596.768676758
1,58,211.45866394,221.063705444,595.126037598
1,59,211.685501099,220.503295898,596.647521973
1,60,213.837097168,215.823532104,593.813293457
1,61,215.866043091,211.415679932,588.917114258
1,62,217.245239258,208.429885864,590.052612305
1,63,217.572982788,207.47819519,588.233642578
1,64,218.129730225,205.69770813,591.163574219
1,65,218.510437012,204.605453491,589.122192383
1,66,218.695602417,203.879592896,590.066223145
1,67,218.927490234,202.810134888,590.047119141
1,68,219.450363159,201.160064697,593.767211914
1,69,220.845001221,197.711929321,585.118225098
1,70,221.211242676,196.909118652,585.180175781
1,71,221.495483398,196.411956787,587.514831543
1,72,221.990356445,195.816345215,579.897644043
1,73,222.287658691,195.475769043,584.496459961
1,74,222.74307251,194.740921021,577.327697754
