deadline_s,domain,model,online_planning_efficiency,planning_time_p95_s,scope
1.0,synthetic,full,0.0,2.0704313050000107,synthetic_all
5.0,synthetic,full,0.3739014297256048,2.0704313050000107,synthetic_all
10.0,synthetic,full,0.53216553921885,2.0704313050000107,synthetic_all
30.0,synthetic,full,0.6733190966774475,2.0704313050000107,synthetic_all
60.0,synthetic,full,0.7271095929904213,2.0704313050000107,synthetic_all
1.0,synthetic,traditional_ppo,0.0,1.1374603550000046,synthetic_all
5.0,synthetic,traditional_ppo,0.5760489131860865,1.1374603550000046,synthetic_all
10.0,synthetic,traditional_ppo,0.6832145328007293,1.1374603550000046,synthetic_all
30.0,synthetic,traditional_ppo,0.7787940580278768,1.1374603550000046,synthetic_all
60.0,synthetic,traditional_ppo,0.815217299438811,1.1374603550000046,synthetic_all
1.0,synthetic,a2c_pointer,0.0,2.024565925000003,synthetic_all
5.0,synthetic,a2c_pointer,0.38230124951126965,2.024565925000003,synthetic_all
10.0,synthetic,a2c_pointer,0.538442067143779,2.024565925000003,synthetic_all
30.0,synthetic,a2c_pointer,0.6777018901314,2.024565925000003,synthetic_all
60.0,synthetic,a2c_pointer,0.730770726155304,2.024565925000003,synthetic_all
1.0,synthetic,nearest_feasible,0.0,5.260366900000022,synthetic_all
5.0,synthetic,nearest_feasible,0.0,5.260366900000022,synthetic_all
10.0,synthetic,nearest_feasible,0.23506300945430214,5.260366900000022,synthetic_all
30.0,synthetic,nearest_feasible,0.4658574175167476,5.260366900000022,synthetic_all
60.0,synthetic,nearest_feasible,0.5538080577943,5.260366900000022,synthetic_all
1.0,synthetic,priority_resource_greedy,0.0,5.055967774999971,synthetic_all
5.0,synthetic,priority_resource_greedy,0.0,5.055967774999971,synthetic_all
10.0,synthetic,priority_resource_greedy,0.248906232318454,5.055967774999971,synthetic_all
30.0,synthetic,priority_resource_greedy,0.47552390626280006,5.055967774999971,synthetic_all
60.0,synthetic,priority_resource_greedy,0.5618828856199694,5.055967774999971,synthetic_all
1.0,synthetic,aco,0.0,161.29481062999997,synthetic_all
5.0,synthetic,aco,0.0,161.29481062999997,synthetic_all
10.0,synthetic,aco,0.0,161.29481062999997,synthetic_all
30.0,synthetic,aco,0.0,161.29481062999997,synthetic_all
60.0,synthetic,aco,0.0,161.29481062999997,synthetic_all
1.0,synthetic,ga,0.0,7.018424619999998,synthetic_all
5.0,synthetic,ga,0.0,7.018424619999998,synthetic_all
10.0,synthetic,ga,0.1318461674381709,7.018424619999998,synthetic_all
30.0,synthetic,ga,0.39378283983037987,7.018424619999998,synthetic_all
60.0,synthetic,ga,0.4936011077098732,7.018424619999998,synthetic_all
1.0,synthetic,sa,0.0,5.049013994999973,synthetic_all
5.0,synthetic,sa,0.0,5.049013994999973,synthetic_all
10.0,synthetic,sa,0.2493853659308678,5.049013994999973,synthetic_all
30.0,synthetic,sa,0.4758584771728912,5.049013994999973,synthetic_all
60.0,synthetic,sa,0.5621623668841014,5.049013994999973,synthetic_all
1.0,synthetic,milp,0.0,60.82392582500006,synthetic_all
5.0,synthetic,milp,0.0,60.82392582500006,synthetic_all
10.0,synthetic,milp,0.0,60.82392582500006,synthetic_all
30.0,synthetic,milp,0.0,60.82392582500006,synthetic_all
60.0,synthetic,milp,0.0,60.82392582500006,synthetic_all
1.0,real,full,0.0,2.1211646000000024,real_all
5.0,real,full,0.3647550237896011,2.1211646000000024,real_all
10.0,real,full,0.5253311458943604,2.1211646000000024,real_all
30.0,real,full,0.6685467552360369,2.1211646000000024,real_all
60.0,real,full,0.7231230538781264,2.1211646000000024,real_all
1.0,real,traditional_ppo,0.0,1.255874154999833,real_all
5.0,real,traditional_ppo,0.5459560484018617,1.255874154999833,real_all
10.0,real,traditional_ppo,0.6607284901261424,1.255874154999833,real_all
30.0,real,traditional_ppo,0.7630924341654146,1.255874154999833,real_all
60.0,real,traditional_ppo,0.8021010674125149,1.255874154999833,real_all
1.0,real,a2c_pointer,0.0,2.122258675000017,real_all
5.0,real,a2c_pointer,0.36455942119688645,2.122258675000017,real_all
10.0,real,a2c_pointer,0.5251849873854055,2.122258675000017,real_all
30.0,real,a2c_pointer,0.6684446952175125,2.122258675000017,real_all
60.0,real,a2c_pointer,0.7230377988181848,2.122258675000017,real_all
1.0,real,nearest_feasible,0.0,5.195964604999994,real_all
5.0,real,nearest_feasible,0.0,5.195964604999994,real_all
10.0,real,nearest_feasible,0.23937536777688095,5.195964604999994,real_all
30.0,real,nearest_feasible,0.4688686645076561,5.195964604999994,real_all
60.0,real,nearest_feasible,0.556323480056813,5.195964604999994,real_all
1.0,real,priority_resource_greedy,0.0,5.109813625000008,real_all
5.0,real,priority_resource_greedy,0.0,5.109813625000008,real_all
10.0,real,priority_resource_greedy,0.24521463052355108,5.109813625000008,real_all
30.0,real,priority_resource_greedy,0.472946123072027,5.109813625000008,real_all
60.0,real,priority_resource_greedy,0.5597295540448515,5.109813625000008,real_all
1.0,real,aco,0.0,83.19963193500011,real_all
5.0,real,aco,0.0,83.19963193500011,real_all
10.0,real,aco,0.0,83.19963193500011,real_all
30.0,real,aco,0.0,83.19963193500011,real_all
60.0,real,aco,0.0,83.19963193500011,real_all
1.0,real,milp,0.0,60.6496106100001,real_all
5.0,real,milp,0.0,60.6496106100001,real_all
10.0,real,milp,0.0,60.6496106100001,real_all
30.0,real,milp,0.0,60.6496106100001,real_all
60.0,real,milp,0.0,60.6496106100001,real_all
