condition,family,map_id,model,perturbed_safe_rate,perturbed_safe_weighted_coverage,repeat_count,retention
dem_error,hidden_model_perception_mismatch,cn_guizhou_karst,a2c_pointer,1.0,0.40397959183673476,15,1.0
localization,hidden_model_perception_mismatch,cn_guizhou_karst,a2c_pointer,1.0,0.4081462585034014,15,1.0
power_model,hidden_model_perception_mismatch,cn_guizhou_karst,a2c_pointer,0.5333333333333333,0.22666666666666666,15,0.822687074829932
wind,hidden_model_perception_mismatch,cn_guizhou_karst,a2c_pointer,0.9333333333333333,0.37231292517006803,15,0.9683333333333334
power_model,known_domain_shift,cn_guizhou_karst,a2c_pointer,1.0,0.38537414965986383,15,0.9813945578231292
wind,known_domain_shift,cn_guizhou_karst,a2c_pointer,1.0,0.40231292517006806,15,0.9983333333333333
dem_error,hidden_model_perception_mismatch,cn_hengduan,a2c_pointer,1.0,0.5185544217687075,15,1.0
localization,hidden_model_perception_mismatch,cn_hengduan,a2c_pointer,0.8,0.38796768707482987,15,0.8727465986394558
power_model,hidden_model_perception_mismatch,cn_hengduan,a2c_pointer,1.0,0.5152210884353742,15,1.0
wind,hidden_model_perception_mismatch,cn_hengduan,a2c_pointer,1.0,0.5152210884353742,15,1.0
power_model,known_domain_shift,cn_hengduan,a2c_pointer,1.0,0.5199149659863945,15,1.0
wind,known_domain_shift,cn_hengduan,a2c_pointer,1.0,0.5084183673469388,15,0.9931972789115646
dem_error,hidden_model_perception_mismatch,cn_qinling,a2c_pointer,1.0,0.43897959183673474,15,0.9812244897959184
localization,hidden_model_perception_mismatch,cn_qinling,a2c_pointer,0.8,0.3352551020408164,15,0.8816666666666666
power_model,hidden_model_perception_mismatch,cn_qinling,a2c_pointer,0.5333333333333333,0.21942176870748303,15,0.7658333333333334
wind,hidden_model_perception_mismatch,cn_qinling,a2c_pointer,0.5333333333333333,0.2377210884353742,15,0.7841326530612245
power_model,known_domain_shift,cn_qinling,a2c_pointer,1.0,0.4277551020408163,15,0.9741666666666666
wind,known_domain_shift,cn_qinling,a2c_pointer,1.0,0.4439795918367348,15,0.9862244897959184
dem_error,hidden_model_perception_mismatch,cn_taihang,a2c_pointer,1.0,0.4814625850340136,15,0.99
localization,hidden_model_perception_mismatch,cn_taihang,a2c_pointer,1.0,0.48312925170068033,15,0.9916666666666667
power_model,hidden_model_perception_mismatch,cn_taihang,a2c_pointer,0.6666666666666666,0.24812925170068026,15,0.7566666666666666
wind,hidden_model_perception_mismatch,cn_taihang,a2c_pointer,0.8,0.34146258503401367,15,0.85
power_model,known_domain_shift,cn_taihang,a2c_pointer,1.0,0.46479591836734696,15,0.9733333333333334
wind,known_domain_shift,cn_taihang,a2c_pointer,1.0,0.4760204081632653,15,0.9845578231292517
dem_error,hidden_model_perception_mismatch,global_alps,a2c_pointer,1.0,0.43203231292516997,15,1.0
localization,hidden_model_perception_mismatch,global_alps,a2c_pointer,1.0,0.43883503401360546,15,1.0
power_model,hidden_model_perception_mismatch,global_alps,a2c_pointer,1.0,0.43203231292516997,15,1.0
wind,hidden_model_perception_mismatch,global_alps,a2c_pointer,1.0,0.43203231292516997,15,1.0
power_model,known_domain_shift,global_alps,a2c_pointer,1.0,0.44155612244897957,15,1.0
wind,known_domain_shift,global_alps,a2c_pointer,1.0,0.44019557823129246,15,1.0
dem_error,hidden_model_perception_mismatch,global_colorado_rockies,a2c_pointer,1.0,0.7259013605442175,15,0.9918367346938776
localization,hidden_model_perception_mismatch,global_colorado_rockies,a2c_pointer,0.9333333333333333,0.6850850340136054,15,0.9510204081632653
power_model,hidden_model_perception_mismatch,global_colorado_rockies,a2c_pointer,0.6666666666666666,0.5157312925170068,15,0.7816666666666666
wind,hidden_model_perception_mismatch,global_colorado_rockies,a2c_pointer,0.7333333333333333,0.5540646258503401,15,0.82
power_model,known_domain_shift,global_colorado_rockies,a2c_pointer,1.0,0.70906462585034,15,0.975
wind,known_domain_shift,global_colorado_rockies,a2c_pointer,1.0,0.7243707482993196,15,0.9903061224489796
dem_error,hidden_model_perception_mismatch,global_peruvian_andes,a2c_pointer,1.0,0.43677721088435384,15,1.0
localization,hidden_model_perception_mismatch,global_peruvian_andes,a2c_pointer,1.0,0.42210884353741496,15,0.98125
power_model,hidden_model_perception_mismatch,global_peruvian_andes,a2c_pointer,0.6666666666666666,0.3096938775510204,15,0.8729166666666667
wind,hidden_model_perception_mismatch,global_peruvian_andes,a2c_pointer,0.6666666666666666,0.3096938775510204,15,0.8729166666666667
power_model,known_domain_shift,global_peruvian_andes,a2c_pointer,1.0,0.41594387755102047,15,0.9791666666666666
wind,known_domain_shift,global_peruvian_andes,a2c_pointer,1.0,0.4201105442176871,15,0.9833333333333333
dem_error,hidden_model_perception_mismatch,global_southern_alps_nz,a2c_pointer,1.0,0.46827380952380965,15,1.0
localization,hidden_model_perception_mismatch,global_southern_alps_nz,a2c_pointer,1.0,0.46994047619047635,15,1.0
power_model,hidden_model_perception_mismatch,global_southern_alps_nz,a2c_pointer,0.6666666666666666,0.3061904761904762,15,0.8395833333333333
wind,hidden_model_perception_mismatch,global_southern_alps_nz,a2c_pointer,0.6666666666666666,0.3061904761904762,15,0.8395833333333333
power_model,known_domain_shift,global_southern_alps_nz,a2c_pointer,1.0,0.4457738095238096,15,0.9791666666666666
wind,known_domain_shift,global_southern_alps_nz,a2c_pointer,1.0,0.451607142857143,15,0.9833333333333333
dem_error,hidden_model_perception_mismatch,cn_guizhou_karst,full,1.0,0.3977295918367347,15,0.9941666666666666
localization,hidden_model_perception_mismatch,cn_guizhou_karst,full,1.0,0.40356292517006803,15,1.0
power_model,hidden_model_perception_mismatch,cn_guizhou_karst,full,0.5333333333333333,0.22458333333333333,15,0.8210204081632653
wind,hidden_model_perception_mismatch,cn_guizhou_karst,full,0.9333333333333333,0.3718962585034014,15,0.9683333333333334
power_model,known_domain_shift,cn_guizhou_karst,full,1.0,0.37412414965986385,15,0.9705612244897959
wind,known_domain_shift,cn_guizhou_karst,full,1.0,0.39689625850340143,15,0.9933333333333333
dem_error,hidden_model_perception_mismatch,cn_hengduan,full,1.0,0.5257993197278912,15,0.9979166666666667
localization,hidden_model_perception_mismatch,cn_hengduan,full,1.0,0.5212159863945577,15,0.9966666666666667
power_model,hidden_model_perception_mismatch,cn_hengduan,full,1.0,0.521828231292517,15,1.0
wind,hidden_model_perception_mismatch,cn_hengduan,full,1.0,0.521828231292517,15,1.0
power_model,known_domain_shift,cn_hengduan,full,1.0,0.521828231292517,15,1.0
wind,known_domain_shift,cn_hengduan,full,1.0,0.5191326530612244,15,0.9945833333333334
dem_error,hidden_model_perception_mismatch,cn_qinling,full,1.0,0.4164795918367348,15,0.9816666666666667
localization,hidden_model_perception_mismatch,cn_qinling,full,0.6666666666666666,0.24545068027210887,15,0.8099999999999999
power_model,hidden_model_perception_mismatch,cn_qinling,full,0.8,0.3373129251700681,15,0.9045833333333333
wind,hidden_model_perception_mismatch,cn_qinling,full,0.8666666666666667,0.38668367346938776,15,0.953954081632653
power_model,known_domain_shift,cn_qinling,full,1.0,0.4198129251700681,15,0.9870833333333333
wind,known_domain_shift,cn_qinling,full,1.0,0.44147959183673474,15,1.0
dem_error,hidden_model_perception_mismatch,cn_taihang,full,1.0,0.49164965986394554,15,0.9933333333333333
localization,hidden_model_perception_mismatch,cn_taihang,full,1.0,0.48998299319727884,15,0.9916666666666667
power_model,hidden_model_perception_mismatch,cn_taihang,full,0.6666666666666666,0.2616496598639456,15,0.7633333333333333
wind,hidden_model_perception_mismatch,cn_taihang,full,0.8,0.3656632653061224,15,0.8673469387755102
power_model,known_domain_shift,cn_taihang,full,1.0,0.4749829931972789,15,0.9766666666666667
wind,known_domain_shift,cn_taihang,full,1.0,0.49709183673469387,15,0.9933333333333333
dem_error,hidden_model_perception_mismatch,global_alps,full,1.0,0.4284183673469388,15,1.0
localization,hidden_model_perception_mismatch,global_alps,full,1.0,0.43125,15,0.9972789115646259
power_model,hidden_model_perception_mismatch,global_alps,full,1.0,0.42508503401360553,15,1.0
wind,hidden_model_perception_mismatch,global_alps,full,1.0,0.42508503401360553,15,1.0
power_model,known_domain_shift,global_alps,full,1.0,0.42508503401360553,15,1.0
wind,known_domain_shift,global_alps,full,1.0,0.42977891156462594,15,1.0
dem_error,hidden_model_perception_mismatch,global_colorado_rockies,full,1.0,0.7058163265306122,15,0.9959183673469387
localization,hidden_model_perception_mismatch,global_colorado_rockies,full,0.8,0.5856122448979592,15,0.8743537414965986
power_model,hidden_model_perception_mismatch,global_colorado_rockies,full,0.6666666666666666,0.5102040816326531,15,0.8016666666666667
wind,hidden_model_perception_mismatch,global_colorado_rockies,full,0.8,0.5868707482993197,15,0.8783333333333333
power_model,known_domain_shift,global_colorado_rockies,full,1.0,0.6845918367346939,15,0.9733333333333334
wind,known_domain_shift,global_colorado_rockies,full,1.0,0.7085374149659864,15,0.9919727891156462
dem_error,hidden_model_perception_mismatch,global_peruvian_andes,full,0.9333333333333333,0.41428571428571437,15,0.9687074829931973
localization,hidden_model_perception_mismatch,global_peruvian_andes,full,1.0,0.4392431972789116,15,0.9847789115646258
power_model,hidden_model_perception_mismatch,global_peruvian_andes,full,0.6666666666666666,0.320578231292517,15,0.875
wind,hidden_model_perception_mismatch,global_peruvian_andes,full,0.7333333333333333,0.345578231292517,15,0.9
power_model,known_domain_shift,global_peruvian_andes,full,1.0,0.42474489795918374,15,0.9791666666666666
wind,known_domain_shift,global_peruvian_andes,full,1.0,0.4338010204081633,15,0.9861394557823129
dem_error,hidden_model_perception_mismatch,global_southern_alps_nz,full,1.0,0.46910714285714294,15,1.0
localization,hidden_model_perception_mismatch,global_southern_alps_nz,full,1.0,0.46910714285714294,15,1.0
power_model,hidden_model_perception_mismatch,global_southern_alps_nz,full,0.6666666666666666,0.3028571428571428,15,0.8354166666666667
wind,hidden_model_perception_mismatch,global_southern_alps_nz,full,0.8666666666666667,0.40077380952380964,15,0.9333333333333333
power_model,known_domain_shift,global_southern_alps_nz,full,1.0,0.44619047619047625,15,0.9770833333333333
wind,known_domain_shift,global_southern_alps_nz,full,1.0,0.4670238095238096,15,0.9979166666666667
dem_error,hidden_model_perception_mismatch,cn_guizhou_karst,no_domain_randomization,1.0,0.4102295918367347,15,0.9966666666666667
localization,hidden_model_perception_mismatch,cn_guizhou_karst,no_domain_randomization,1.0,0.4135629251700681,15,1.0
power_model,hidden_model_perception_mismatch,cn_guizhou_karst,no_domain_randomization,0.4,0.17125,15,0.7576870748299319
wind,hidden_model_perception_mismatch,cn_guizhou_karst,no_domain_randomization,0.9333333333333333,0.38189625850340136,15,0.9683333333333334
power_model,known_domain_shift,cn_guizhou_karst,no_domain_randomization,1.0,0.3832908163265305,15,0.9697278911564626
wind,known_domain_shift,cn_guizhou_karst,no_domain_randomization,1.0,0.40522959183673474,15,0.9916666666666667
