aggregation,model,scenario,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5
geometric,full,balanced_default,synthetic_all,0.5506949429839811,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,full,balanced_default,synthetic_all,0.5848072180716589,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,full,mission_first,synthetic_all,0.5526786748266608,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,full,mission_first,synthetic_all,0.5784018249792734,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,full,safety_first,synthetic_all,0.598178911581949,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,full,safety_first,synthetic_all,0.6380032177477539,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,full,realtime_first,synthetic_all,0.5574962786931528,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,full,realtime_first,synthetic_all,0.5884230089883243,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,traditional_ppo,balanced_default,synthetic_all,0.4374691433822925,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,traditional_ppo,balanced_default,synthetic_all,0.491133884814196,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,traditional_ppo,mission_first,synthetic_all,0.3942189270677827,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,traditional_ppo,mission_first,synthetic_all,0.43791383854190663,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,traditional_ppo,safety_first,synthetic_all,0.49277562617089277,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,traditional_ppo,safety_first,synthetic_all,0.5598290935384861,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,traditional_ppo,realtime_first,synthetic_all,0.47549639249886544,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,traditional_ppo,realtime_first,synthetic_all,0.5293110795466939,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,a2c_pointer,balanced_default,synthetic_all,0.5548266211068402,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
