aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5
geometric,0,0.0,full,2,synthetic_all,0.5727631326970909,0.3125,0.18749999999999997,0.25,0.0,0.25
arithmetic,0,0.0,full,2,synthetic_all,0.6042440419009882,0.3125,0.18749999999999997,0.25,0.0,0.25
geometric,1,0.0,full,2,synthetic_all,0.5893283193837758,0.2941176470588235,0.1764705882352941,0.2941176470588235,0.0,0.23529411764705882
arithmetic,1,0.0,full,2,synthetic_all,0.6234049537207329,0.2941176470588235,0.1764705882352941,0.2941176470588235,0.0,0.23529411764705882
geometric,2,0.0,full,2,synthetic_all,0.5947164922728236,0.3125,0.18749999999999997,0.3125,0.0,0.18749999999999997
arithmetic,2,0.0,full,3,synthetic_all,0.6305261848099802,0.3125,0.18749999999999997,0.3125,0.0,0.18749999999999997
geometric,3,0.0,full,2,synthetic_all,0.6044547018507176,0.2777777777777778,0.16666666666666669,0.33333333333333337,0.0,0.22222222222222227
arithmetic,3,0.0,full,2,synthetic_all,0.6404368753382838,0.2777777777777778,0.16666666666666669,0.33333333333333337,0.0,0.22222222222222227
geometric,4,0.0,full,2,synthetic_all,0.6105642327641277,0.29411764705882354,0.17647058823529413,0.35294117647058826,0.0,0.17647058823529413
arithmetic,4,0.0,full,3,synthetic_all,0.6481410882233137,0.29411764705882354,0.17647058823529413,0.35294117647058826,0.0,0.17647058823529413
geometric,5,0.0,full,3,synthetic_all,0.6175112991574849,0.3125,0.1875,0.375,0.0,0.12500000000000003
arithmetic,5,0.0,full,3,synthetic_all,0.6568083277189722,0.3125,0.1875,0.375,0.0,0.12500000000000003
geometric,6,0.0,full,2,synthetic_all,0.6183176386066794,0.2631578947368421,0.15789473684210525,0.3684210526315789,0.0,0.2105263157894737
arithmetic,6,0.0,full,2,synthetic_all,0.6556759631013557,0.2631578947368421,0.15789473684210525,0.3684210526315789,0.0,0.2105263157894737
geometric,7,0.0,full,2,synthetic_all,0.6250052922902738,0.2777777777777778,0.16666666666666666,0.38888888888888884,0.0,0.16666666666666666
arithmetic,7,0.0,full,3,synthetic_all,0.6637987801462768,0.2777777777777778,0.16666666666666666,0.38888888888888884,0.0,0.16666666666666666
geometric,8,0.0,full,3,synthetic_all,0.6325653630910696,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.0,0.11764705882352942
arithmetic,8,0.0,full,3,synthetic_all,0.6728772227258945,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.0,0.11764705882352942
geometric,9,0.0,full,4,synthetic_all,0.6411798050695993,0.3125,0.18749999999999997,0.43749999999999994,0.0,0.0625
arithmetic,9,0.0,full,6,synthetic_all,0.6830904706279641,0.3125,0.18749999999999997,0.43749999999999994,0.0,0.0625
geometric,10,0.0,full,2,synthetic_all,0.5392303719179863,0.3125,0.25,0.18749999999999997,0.0,0.25
arithmetic,10,0.0,full,2,synthetic_all,0.5682585074415732,0.3125,0.25,0.18749999999999997,0.0,0.25
geometric,11,0.0,full,2,synthetic_all,0.556798195566658,0.2941176470588235,0.23529411764705882,0.23529411764705882,0.0,0.23529411764705882
arithmetic,11,0.0,full,2,synthetic_all,0.5895362154059894,0.2941176470588235,0.23529411764705882,0.23529411764705882,0.0,0.23529411764705882
geometric,12,0.0,full,2,synthetic_all,0.5598984589038368,0.3125,0.25,0.25,0.0,0.18749999999999997
arithmetic,12,0.0,full,3,synthetic_all,0.5945406503505652,0.3125,0.25,0.25,0.0,0.18749999999999997
geometric,13,0.0,full,2,synthetic_all,0.5728939554433861,0.2777777777777778,0.22222222222222227,0.2777777777777778,0.0,0.22222222222222227
arithmetic,13,0.0,full,2,synthetic_all,0.6084497335965817,0.2777777777777778,0.22222222222222227,0.2777777777777778,0.0,0.22222222222222227
geometric,14,0.0,full,2,synthetic_all,0.5768619153345347,0.29411764705882354,0.23529411764705885,0.29411764705882354,0.0,0.17647058823529413
arithmetic,14,0.0,full,3,synthetic_all,0.6142723499085703,0.29411764705882354,0.23529411764705885,0.29411764705882354,0.0,0.17647058823529413
geometric,15,0.0,full,3,synthetic_all,0.5813587301617551,0.3125,0.25000000000000006,0.3125,0.0,0.12500000000000003
arithmetic,15,0.0,full,3,synthetic_all,0.6208227932595574,0.3125,0.25000000000000006,0.3125,0.0,0.12500000000000003
geometric,16,0.0,full,2,synthetic_all,0.5876894301607877,0.2631578947368421,0.2105263157894737,0.3157894736842105,0.0,0.2105263157894737
arithmetic,16,0.0,full,2,synthetic_all,0.6253723551355326,0.2631578947368421,0.2105263157894737,0.3157894736842105,0.0,0.2105263157894737
geometric,17,0.0,full,2,synthetic_all,0.5923715259008033,0.2777777777777778,0.22222222222222224,0.3333333333333333,0.0,0.16666666666666666
arithmetic,17,0.0,full,3,synthetic_all,0.6318116384045748,0.2777777777777778,0.22222222222222224,0.3333333333333333,0.0,0.16666666666666666
geometric,18,0.0,full,3,synthetic_all,0.5976486131115519,0.29411764705882354,0.23529411764705885,0.35294117647058826,0.0,0.11764705882352942
arithmetic,18,0.0,full,3,synthetic_all,0.639008484411151,0.29411764705882354,0.23529411764705885,0.35294117647058826,0.0,0.11764705882352942
geometric,19,0.0,full,4,synthetic_all,0.6036415492140808,0.3125,0.25,0.37499999999999994,0.0,0.0625
arithmetic,19,0.0,full,6,synthetic_all,0.6471049361685492,0.3125,0.25,0.37499999999999994,0.0,0.0625
geometric,20,0.0,full,2,synthetic_all,0.6066016780324082,0.2631578947368421,0.21052631578947367,0.36842105263157887,0.0,0.15789473684210525
arithmetic,20,0.0,full,3,synthetic_all,0.6475046860062625,0.2631578947368421,0.21052631578947367,0.36842105263157887,0.0,0.15789473684210525
geometric,21,0.0,full,3,synthetic_all,0.6125113057380175,0.2777777777777778,0.22222222222222224,0.38888888888888884,0.0,0.11111111111111112
arithmetic,21,0.0,full,3,synthetic_all,0.6551735432125674,0.2777777777777778,0.22222222222222224,0.38888888888888884,0.0,0.11111111111111112
geometric,22,0.0,full,4,synthetic_all,0.6191843407568741,0.2941176470588235,0.23529411764705882,0.41176470588235287,0.0,0.058823529411764705
arithmetic,22,0.0,full,6,synthetic_all,0.6637446189137316,0.2941176470588235,0.23529411764705882,0.41176470588235287,0.0,0.058823529411764705
geometric,23,0.0,full,2,synthetic_all,0.5260636904577393,0.2941176470588235,0.2941176470588235,0.1764705882352941,0.0,0.23529411764705882
arithmetic,23,0.0,full,2,synthetic_all,0.555667477091246,0.2941176470588235,0.2941176470588235,0.1764705882352941,0.0,0.23529411764705882
geometric,24,0.0,full,2,synthetic_all,0.5271188681599248,0.3125,0.3125,0.18749999999999997,0.0,0.18749999999999997
arithmetic,24,0.0,full,3,synthetic_all,0.5585551158911504,0.3125,0.3125,0.18749999999999997,0.0,0.18749999999999997
geometric,25,0.0,full,2,synthetic_all,0.542981108722728,0.2777777777777778,0.2777777777777778,0.22222222222222227,0.0,0.22222222222222227
arithmetic,25,0.0,full,2,synthetic_all,0.5764625918548795,0.2777777777777778,0.2777777777777778,0.22222222222222227,0.0,0.22222222222222227
geometric,26,0.0,full,2,synthetic_all,0.5450199201104905,0.29411764705882354,0.29411764705882354,0.23529411764705885,0.0,0.17647058823529413
arithmetic,26,0.0,full,3,synthetic_all,0.5804036115938268,0.29411764705882354,0.29411764705882354,0.23529411764705885,0.0,0.17647058823529413
geometric,27,0.0,full,3,synthetic_all,0.5473227349789648,0.3125,0.3125,0.25000000000000006,0.0,0.12500000000000003
arithmetic,27,0.0,full,3,synthetic_all,0.5848372588001425,0.3125,0.3125,0.25000000000000006,0.0,0.12500000000000003
geometric,28,0.0,full,2,synthetic_all,0.5585783823036168,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.0,0.2105263157894737
arithmetic,28,0.0,full,2,synthetic_all,0.5950687471697095,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.0,0.2105263157894737
geometric,29,0.0,full,2,synthetic_all,0.5614416854170801,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.0,0.16666666666666666
arithmetic,29,0.0,full,3,synthetic_all,0.5998244966628725,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.0,0.16666666666666666
geometric,30,0.0,full,3,synthetic_all,0.5646592203669841,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.0,0.11764705882352942
arithmetic,30,0.0,full,3,synthetic_all,0.6051397460964075,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.0,0.11764705882352942
geometric,31,0.0,full,4,synthetic_all,0.5683009930389528,0.3125,0.3125,0.3125,0.0,0.0625
arithmetic,31,0.0,full,6,synthetic_all,0.6111194017091344,0.3125,0.3125,0.3125,0.0,0.0625
geometric,32,0.0,full,2,synthetic_all,0.5765538167417766,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.0,0.15789473684210525
arithmetic,32,0.0,full,3,synthetic_all,0.6172010780404396,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.0,0.15789473684210525
geometric,33,0.0,full,3,synthetic_all,0.5805298951660881,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.0,0.11111111111111112
arithmetic,33,0.0,full,3,synthetic_all,0.6231864014708652,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.0,0.11111111111111112
geometric,34,0.0,full,4,synthetic_all,0.5850062050590971,0.2941176470588235,0.2941176470588235,0.3529411764705882,0.0,0.058823529411764705
arithmetic,34,0.0,full,6,synthetic_all,0.6298758805989881,0.2941176470588235,0.2941176470588235,0.3529411764705882,0.0,0.058823529411764705
