aggregation,grid_id,is_first,model,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,0,1.0,full,1,70.02870815547939,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,1.0,full,1,73.68266838259152,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,traditional_ppo,3,52.1480699583627,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,a2c_pointer,2,68.87558331784444,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,a2c_pointer,2,72.01984702722724,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,1,1.0,full,1,71.666800768847,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,1.0,full,1,75.16935905666043,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,traditional_ppo,3,53.30764346304522,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,a2c_pointer,2,70.26641495764684,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,a2c_pointer,2,73.28353020281749,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,2,1.0,full,1,69.38812180394427,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,1.0,full,1,72.87252594898493,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,traditional_ppo,3,51.652413581910636,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,a2c_pointer,2,68.23203439989716,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,a2c_pointer,2,71.22794065836511,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,3,1.0,full,1,69.57904456336153,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,1.0,full,1,73.1305509107366,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,traditional_ppo,3,56.48023721786939,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,a2c_pointer,2,68.45574332987655,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,a2c_pointer,2,71.52109649366363,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,4,1.0,full,1,73.34321120187238,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,1.0,full,1,76.65604973072932,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,traditional_ppo,3,54.46721696772776,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,a2c_pointer,2,71.6853322056879,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,a2c_pointer,2,74.54721337840773,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,5,1.0,full,1,71.01122999451852,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,1.0,full,1,74.35921662305383,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,traditional_ppo,3,52.81198708659317,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,a2c_pointer,2,69.60987060425312,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,a2c_pointer,2,72.49162383395536,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,6,1.0,full,1,71.20661876752024,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,1.0,full,1,74.61724158480551,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,6,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,0.0,traditional_ppo,3,57.63981072255193,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,6,0.0,a2c_pointer,2,69.83809697630609,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,0.0,a2c_pointer,2,72.78477966925388,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,7,1.0,full,1,68.75339520456767,0.2,0.1,0.1,0.15,0.15,0.1,0.2
arithmetic,7,1.0,full,1,72.06238351537833,0.2,0.1,0.1,0.15,0.15,0.1,0.2
geometric,7,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.15,0.15,0.1,0.2
arithmetic,7,0.0,traditional_ppo,3,51.15675720545858,0.2,0.1,0.1,0.15,0.15,0.1,0.2
geometric,7,0.0,a2c_pointer,2,67.59449857381551,0.2,0.1,0.1,0.15,0.15,0.1,0.2
arithmetic,7,0.0,a2c_pointer,2,70.43603428950298,0.2,0.1,0.1,0.15,0.15,0.1,0.2
geometric,8,1.0,full,1,68.94257150146834,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,1.0,full,1,72.32040847713002,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,traditional_ppo,3,55.98458084141734,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,a2c_pointer,2,67.81611724723537,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,a2c_pointer,2,70.7291901248015,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,9,1.0,full,1,69.13226832060941,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,1.0,full,1,72.57843343888169,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,traditional_ppo,3,0.0,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,traditional_ppo,3,60.81240447737609,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,a2c_pointer,2,68.03846253062265,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,a2c_pointer,2,71.02234596010003,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,10,1.0,full,1,72.1800868876384,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,1.0,full,1,75.78538392114098,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,traditional_ppo,3,53.621160909109044,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,a2c_pointer,2,70.9337347440454,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,a2c_pointer,2,74.08141861813478,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,11,1.0,full,1,69.885087753992,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,1.0,full,1,73.48855081346547,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,traditional_ppo,3,51.96593102797444,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,a2c_pointer,2,68.88003368445898,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,a2c_pointer,2,72.0258290736824,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,1.0,full,1,70.07737792483435,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,full,1,73.74657577521717,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,3,56.793754663933214,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,a2c_pointer,2,69.10586717701153,0.2,0.1,0.15,0.05,0.15,0.2,0.15
