aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,0,1.0,full,0.0,1,71.60173042447398,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,1.0,full,0.0,1,75.73077717625044,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,traditional_ppo,0.0,3,46.5575464187037,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,traditional_ppo,0.0,3,56.55466562635766,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,a2c_pointer,0.0,2,71.3656120993541,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,a2c_pointer,0.0,2,75.21718412389895,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,1,1.0,full,0.0,1,73.7813136084694,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,1.0,full,0.0,1,77.80830480218229,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,traditional_ppo,0.0,3,47.498027682157996,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,traditional_ppo,0.0,3,58.11493877533618,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,a2c_pointer,0.0,2,73.41926360147541,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,a2c_pointer,0.0,2,77.18030215087734,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,2,1.0,full,0.0,1,71.3587364930145,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,1.0,full,0.0,1,75.4067202028078,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,traditional_ppo,0.0,3,46.4621154173897,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,traditional_ppo,0.0,3,56.35640307577684,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,a2c_pointer,0.0,2,71.12503275327383,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,a2c_pointer,0.0,2,74.90042157635409,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,3,1.0,full,0.0,1,71.43426190146059,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,1.0,full,0.0,1,75.50993018750847,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,traditional_ppo,0.0,3,50.591600180449014,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,traditional_ppo,0.0,3,60.38936434266034,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,a2c_pointer,0.0,2,71.21211627491613,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,a2c_pointer,0.0,2,75.0176839104735,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,4,1.0,full,0.0,1,76.02724411155603,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,1.0,full,0.0,1,79.88583242811413,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,traditional_ppo,0.0,3,48.457507047422766,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,traditional_ppo,0.0,3,59.67521192431469,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,a2c_pointer,0.0,2,75.5320119762795,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,a2c_pointer,0.0,2,79.14342017785575,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,5,1.0,full,0.0,1,73.53092285177006,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,1.0,full,0.0,1,77.48424782873965,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,traditional_ppo,0.0,3,47.40066893602941,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,traditional_ppo,0.0,3,57.91667622475535,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,a2c_pointer,0.0,2,73.1717612273299,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,a2c_pointer,0.0,2,76.8635396033325,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,6,1.0,full,0.0,1,73.60874728161183,0.2,0.1,0.1,0.15,0.1,0.2,0.15
