aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model,operational_floor
arithmetic,0.040096230954290296,1247,79.34032730571403,1.9599037690457097,71.0104067770711,60.70769492140511,a2c_pointer,0.0
arithmetic,0.9599037690457097,1247,79.93620825334938,1.0400962309542903,71.2734605979136,60.60408133026822,full,0.0
arithmetic,0.0,1247,70.91776147852622,3.0,56.47234499588672,43.291834434009026,traditional_ppo,0.0
geometric,0.32959101844426625,1247,75.69445531738678,1.6704089815557337,67.06171974332065,57.30105242485208,a2c_pointer,0.0
geometric,0.6704089815557338,1247,76.06871667924021,1.3295910184442663,67.12291743692334,57.08316723005996,full,0.0
geometric,0.0,1247,62.00331035037193,3.0,47.94356001006065,36.55379337656495,traditional_ppo,0.0
arithmetic,0.012028869286287089,1247,78.80743778960206,1.987971130713713,70.56574862890926,60.4870431859536,a2c_pointer,0.2
arithmetic,0.9879711307137129,1247,79.59485678773956,1.012028869286287,70.95776028055921,60.444888844882904,full,0.2
arithmetic,0.0,1247,69.75037292326172,3.0,54.332462460462274,39.615160773555566,traditional_ppo,0.2
geometric,0.14995990376904572,1247,75.26512030495334,1.8500400962309542,66.73683974024186,57.163760494152335,a2c_pointer,0.2
geometric,0.8500400962309543,1247,75.79607557926332,1.1499599037690458,66.89490537573937,56.98575000570365,full,0.2
geometric,0.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.2
arithmetic,0.0,1247,77.9961017382525,2.0,69.82465171530623,60.11929029353442,a2c_pointer,0.4
arithmetic,1.0,1247,79.02593767838985,1.0,70.43159308496853,60.17956803590736,full,0.4
arithmetic,0.0,1247,69.30167231032091,3.0,54.063596501344676,39.47515925613315,traditional_ppo,0.4
geometric,0.0408981555733761,1247,74.60265479141192,1.959101844426624,66.18510386417788,56.9295266910439,a2c_pointer,0.4
geometric,0.9591018444266239,1247,75.33663436677948,1.040898155573376,66.50855961209646,56.82011507051522,full,0.4
geometric,0.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.4
arithmetic,0.0,1247,76.44212809079602,2.0,68.34245788810013,59.38378450869607,a2c_pointer,0.6
arithmetic,1.0,1247,77.9520068523161,1.0,69.37925869378721,59.64892641795628,full,0.6
arithmetic,0.0,1247,68.4042710844393,3.0,53.52586458310948,39.1951562212883,traditional_ppo,0.6
geometric,0.0,1247,73.2976404366454,2.0,65.03962828735183,56.43880114183383,a2c_pointer,0.6
geometric,1.0,1247,74.44926505807177,1.0,65.71025942357427,56.475552640302276,full,0.6
geometric,0.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.6
arithmetic,0.0,1247,71.78020714842653,2.0,63.89587640648186,56.63610261545197,a2c_pointer,0.8
arithmetic,1.0,1247,74.97110297746791,1.0,66.22225552024321,58.05700156410305,full,0.8
arithmetic,0.0,1247,65.71206740679442,3.0,51.912668828403895,38.355147116753756,traditional_ppo,0.8
geometric,0.0,1247,69.02592429677014,2.0,61.16839899469863,54.20679842759461,a2c_pointer,0.8
geometric,1.0,1247,71.79058132579883,1.0,63.06019736308004,55.30823062854668,full,0.8
geometric,0.0,1247,0.0,3.0,0.0,0.0,traditional_ppo,0.8
