aggregation,model,scenario,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,full,balanced_default,core_learning_training_aware,0.6652478763114631,0.28,0.18,0.15,0.1,0.07,0.12,0.1
arithmetic,full,balanced_default,core_learning_training_aware,0.7092409937700506,0.28,0.18,0.15,0.1,0.07,0.12,0.1
geometric,traditional_ppo,balanced_default,core_learning_training_aware,0.4779964053419251,0.28,0.18,0.15,0.1,0.07,0.12,0.1
arithmetic,traditional_ppo,balanced_default,core_learning_training_aware,0.5650487695692729,0.28,0.18,0.15,0.1,0.07,0.12,0.1
geometric,a2c_pointer,balanced_default,core_learning_training_aware,0.6644378483763083,0.28,0.18,0.15,0.1,0.07,0.12,0.1
arithmetic,a2c_pointer,balanced_default,core_learning_training_aware,0.7063843220429331,0.28,0.18,0.15,0.1,0.07,0.12,0.1
geometric,full,mission_first,core_learning_training_aware,0.6543051384398354,0.4,0.15,0.12,0.08,0.05,0.1,0.1
arithmetic,full,mission_first,core_learning_training_aware,0.6921754724911173,0.4,0.15,0.12,0.08,0.05,0.1,0.1
geometric,traditional_ppo,mission_first,core_learning_training_aware,0.43235325141938874,0.4,0.15,0.12,0.08,0.05,0.1,0.1
arithmetic,traditional_ppo,mission_first,core_learning_training_aware,0.5112462153790236,0.4,0.15,0.12,0.08,0.05,0.1,0.1
geometric,a2c_pointer,mission_first,core_learning_training_aware,0.654493580230323,0.4,0.15,0.12,0.08,0.05,0.1,0.1
arithmetic,a2c_pointer,mission_first,core_learning_training_aware,0.6904631043861409,0.4,0.15,0.12,0.08,0.05,0.1,0.1
geometric,full,safety_first,core_learning_training_aware,0.7014973504655954,0.25,0.15,0.25,0.1,0.05,0.1,0.1
arithmetic,full,safety_first,core_learning_training_aware,0.7437426025512164,0.25,0.15,0.25,0.1,0.05,0.1,0.1
geometric,traditional_ppo,safety_first,core_learning_training_aware,0.5117271461375462,0.25,0.15,0.25,0.1,0.05,0.1,0.1
arithmetic,traditional_ppo,safety_first,core_learning_training_aware,0.6055452462278699,0.25,0.15,0.25,0.1,0.05,0.1,0.1
geometric,a2c_pointer,safety_first,core_learning_training_aware,0.7004118606199806,0.25,0.15,0.25,0.1,0.05,0.1,0.1
arithmetic,a2c_pointer,safety_first,core_learning_training_aware,0.7408602170784158,0.25,0.15,0.25,0.1,0.05,0.1,0.1
geometric,full,realtime_first,core_learning_training_aware,0.6406923615740404,0.25,0.15,0.12,0.08,0.2,0.1,0.1
arithmetic,full,realtime_first,core_learning_training_aware,0.6807618880452029,0.25,0.15,0.12,0.08,0.2,0.1,0.1
geometric,traditional_ppo,realtime_first,core_learning_training_aware,0.48309403477554713,0.25,0.15,0.12,0.08,0.2,0.1,0.1
arithmetic,traditional_ppo,realtime_first,core_learning_training_aware,0.5610037889125508,0.25,0.15,0.12,0.08,0.2,0.1,0.1
geometric,a2c_pointer,realtime_first,core_learning_training_aware,0.6414716759616315,0.25,0.15,0.12,0.08,0.2,0.1,0.1
arithmetic,a2c_pointer,realtime_first,core_learning_training_aware,0.6794068836069063,0.25,0.15,0.12,0.08,0.2,0.1,0.1
geometric,full,training_first,core_learning_training_aware,0.7325299283225707,0.22,0.13,0.12,0.08,0.05,0.2,0.2
arithmetic,full,training_first,core_learning_training_aware,0.7753692576348912,0.22,0.13,0.12,0.08,0.05,0.2,0.2
geometric,traditional_ppo,training_first,core_learning_training_aware,0.46009340757106143,0.22,0.13,0.12,0.08,0.05,0.2,0.2
arithmetic,traditional_ppo,training_first,core_learning_training_aware,0.5660490300874275,0.22,0.13,0.12,0.08,0.05,0.2,0.2
geometric,a2c_pointer,training_first,core_learning_training_aware,0.7287451769650181,0.22,0.13,0.12,0.08,0.05,0.2,0.2
arithmetic,a2c_pointer,training_first,core_learning_training_aware,0.7690957688637826,0.22,0.13,0.12,0.08,0.05,0.2,0.2
