aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,0,1.0,full,1,core_learning_training_aware,0.7160173042447399,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,1.0,full,1,core_learning_training_aware,0.7573077717625044,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,traditional_ppo,3,core_learning_training_aware,0.465575464187037,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,traditional_ppo,3,core_learning_training_aware,0.5655466562635766,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,a2c_pointer,2,core_learning_training_aware,0.7136561209935409,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,a2c_pointer,2,core_learning_training_aware,0.7521718412389894,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,1,1.0,full,1,core_learning_training_aware,0.737813136084694,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,1.0,full,1,core_learning_training_aware,0.7780830480218229,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,traditional_ppo,3,core_learning_training_aware,0.47498027682157995,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,traditional_ppo,3,core_learning_training_aware,0.5811493877533618,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,a2c_pointer,2,core_learning_training_aware,0.734192636014754,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,a2c_pointer,2,core_learning_training_aware,0.7718030215087734,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,2,1.0,full,1,core_learning_training_aware,0.7135873649301451,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,1.0,full,1,core_learning_training_aware,0.754067202028078,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,traditional_ppo,3,core_learning_training_aware,0.464621154173897,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,traditional_ppo,3,core_learning_training_aware,0.5635640307577684,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,a2c_pointer,2,core_learning_training_aware,0.7112503275327383,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,a2c_pointer,2,core_learning_training_aware,0.7490042157635409,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,3,1.0,full,1,core_learning_training_aware,0.7143426190146059,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,1.0,full,1,core_learning_training_aware,0.7550993018750847,0.2,0.1,0.1,0.1,0.15,0.2,0.15
