aggregation,grid_id,is_first,model,rank,scope,score,score_0_to_1,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,0,1.0,full,1,core_learning_training_aware,0.7160173042447399,0.7160173042447399,71.60173042447398,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,1.0,full,1,core_learning_training_aware,0.7573077717625044,0.7573077717625044,75.73077717625044,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,traditional_ppo,3,core_learning_training_aware,0.465575464187037,0.465575464187037,46.5575464187037,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,traditional_ppo,3,core_learning_training_aware,0.5655466562635766,0.5655466562635766,56.55466562635766,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,a2c_pointer,2,core_learning_training_aware,0.7136561209935409,0.7136561209935409,71.3656120993541,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,a2c_pointer,2,core_learning_training_aware,0.7521718412389894,0.7521718412389894,75.21718412389895,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,1,1.0,full,1,core_learning_training_aware,0.737813136084694,0.737813136084694,73.7813136084694,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,1.0,full,1,core_learning_training_aware,0.7780830480218229,0.7780830480218229,77.80830480218229,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,traditional_ppo,3,core_learning_training_aware,0.47498027682157995,0.47498027682157995,47.498027682157996,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,traditional_ppo,3,core_learning_training_aware,0.5811493877533618,0.5811493877533618,58.11493877533618,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,a2c_pointer,2,core_learning_training_aware,0.734192636014754,0.734192636014754,73.41926360147541,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,a2c_pointer,2,core_learning_training_aware,0.7718030215087734,0.7718030215087734,77.18030215087734,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,2,1.0,full,1,core_learning_training_aware,0.7135873649301451,0.7135873649301451,71.3587364930145,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,1.0,full,1,core_learning_training_aware,0.754067202028078,0.754067202028078,75.4067202028078,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,traditional_ppo,3,core_learning_training_aware,0.464621154173897,0.464621154173897,46.4621154173897,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,traditional_ppo,3,core_learning_training_aware,0.5635640307577684,0.5635640307577684,56.35640307577684,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,a2c_pointer,2,core_learning_training_aware,0.7112503275327383,0.7112503275327383,71.12503275327383,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,a2c_pointer,2,core_learning_training_aware,0.7490042157635409,0.7490042157635409,74.90042157635409,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,3,1.0,full,1,core_learning_training_aware,0.7143426190146059,0.7143426190146059,71.43426190146059,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,1.0,full,1,core_learning_training_aware,0.7550993018750847,0.7550993018750847,75.50993018750847,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,traditional_ppo,3,core_learning_training_aware,0.5059160018044901,0.5059160018044901,50.591600180449014,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,traditional_ppo,3,core_learning_training_aware,0.6038936434266035,0.6038936434266035,60.38936434266034,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,a2c_pointer,2,core_learning_training_aware,0.7121211627491613,0.7121211627491613,71.21211627491613,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,a2c_pointer,2,core_learning_training_aware,0.750176839104735,0.750176839104735,75.0176839104735,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,4,1.0,full,1,core_learning_training_aware,0.7602724411155604,0.7602724411155604,76.02724411155603,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,1.0,full,1,core_learning_training_aware,0.7988583242811413,0.7988583242811413,79.88583242811413,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,traditional_ppo,3,core_learning_training_aware,0.48457507047422765,0.48457507047422765,48.457507047422766,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,traditional_ppo,3,core_learning_training_aware,0.5967521192431469,0.5967521192431469,59.67521192431469,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,a2c_pointer,2,core_learning_training_aware,0.7553201197627951,0.7553201197627951,75.5320119762795,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,a2c_pointer,2,core_learning_training_aware,0.7914342017785575,0.7914342017785575,79.14342017785575,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,5,1.0,full,1,core_learning_training_aware,0.7353092285177005,0.7353092285177005,73.53092285177006,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,1.0,full,1,core_learning_training_aware,0.7748424782873965,0.7748424782873965,77.48424782873965,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,traditional_ppo,3,core_learning_training_aware,0.4740066893602941,0.4740066893602941,47.40066893602941,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,traditional_ppo,3,core_learning_training_aware,0.5791667622475535,0.5791667622475535,57.91667622475535,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,a2c_pointer,2,core_learning_training_aware,0.731717612273299,0.731717612273299,73.1717612273299,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,a2c_pointer,2,core_learning_training_aware,0.768635396033325,0.768635396033325,76.8635396033325,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,6,1.0,full,1,core_learning_training_aware,0.7360874728161183,0.7360874728161183,73.60874728161183,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,1.0,full,1,core_learning_training_aware,0.7758745781344032,0.7758745781344032,77.58745781344032,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,6,0.0,traditional_ppo,3,core_learning_training_aware,0.5161357096108209,0.5161357096108209,51.61357096108209,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,0.0,traditional_ppo,3,core_learning_training_aware,0.6194963749163885,0.6194963749163885,61.94963749163885,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,6,0.0,a2c_pointer,2,core_learning_training_aware,0.7326135070667045,0.7326135070667045,73.26135070667044,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,0.0,a2c_pointer,2,core_learning_training_aware,0.769808019374519,0.769808019374519,76.9808019374519,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,7,1.0,full,1,core_learning_training_aware,0.7111656720713798,0.7111656720713798,71.11656720713798,0.2,0.1,0.1,0.15,0.15,0.1,0.2
arithmetic,7,1.0,full,1,core_learning_training_aware,0.7508266322936517,0.7508266322936517,75.08266322936517,0.2,0.1,0.1,0.15,0.15,0.1,0.2
