algorithm,iqm_exploratory,map_count,mean,median,metric,q25,q75,statistical_family
full,0.48495323129251694,24,0.4857980205971277,0.4829138321995464,safe_weighted_coverage,0.46834821428571427,0.504172335600907,synthetic_main_algorithms
traditional_ppo,0.2696218348450491,24,0.2686378023431595,0.2712726757369615,safe_weighted_coverage,0.2536111111111111,0.2835430839002268,synthetic_main_algorithms
a2c_pointer,0.4842339852607709,24,0.4850126369992441,0.4845663265306122,safe_weighted_coverage,0.4700255102040817,0.4991149376417234,synthetic_main_algorithms
nearest_feasible,0.45774045729402874,24,0.45391983182161755,0.45924036281179137,safe_weighted_coverage,0.4381838151927438,0.4700255102040816,synthetic_main_algorithms
priority_resource_greedy,0.459452947845805,24,0.45091116307634166,0.46237244897959184,safe_weighted_coverage,0.4399234693877552,0.4751346371882086,synthetic_main_algorithms
aco,0.5534899376417233,24,0.5525048422146636,0.5542658730158729,safe_weighted_coverage,0.5370216836734694,0.5662627551020407,synthetic_main_algorithms
ga,0.48941775321239606,24,0.4869523573318216,0.4893594104308389,safe_weighted_coverage,0.47937925170068024,0.502108843537415,synthetic_main_algorithms
sa,0.5446575018896447,24,0.5436242205215419,0.5457950680272108,safe_weighted_coverage,0.5294756235827665,0.5601041666666666,synthetic_main_algorithms
milp,0.5720013699924414,24,0.5710677673847316,0.5726048752834467,safe_weighted_coverage,0.5560019841269841,0.5852324263038549,synthetic_main_algorithms
full,0.48495323129251694,24,0.4857980205971277,0.4829138321995464,safe_weighted_coverage,0.46834821428571427,0.504172335600907,synthetic_ablations
no_priority_bias,0.4848932350718065,24,0.4847823365457294,0.4841000566893425,safe_weighted_coverage,0.4683496315192744,0.5037953514739228,synthetic_ablations
no_domain_randomization,0.48319633408919116,24,0.48460364701436126,0.4835232426303855,safe_weighted_coverage,0.46491638321995465,0.5006200396825395,synthetic_ablations
no_resource_shaping,0.4823870937263794,24,0.4840291950113378,0.4794132653061224,safe_weighted_coverage,0.4712407879818594,0.5025588151927438,synthetic_ablations
no_return_reserve,0.11671249055177625,24,0.11334585222978079,0.12149518140589569,safe_weighted_coverage,0.09826105442176872,0.1291624149659864,synthetic_ablations
full,0.5011132369614513,8,0.5024440192743764,0.5006384637188208,safe_weighted_coverage,0.49602820294784583,0.5085866638321995,real_main_algorithms
traditional_ppo,0.26736926020408164,8,0.26581030328798183,0.2705640589569161,safe_weighted_coverage,0.2560866638321996,0.2729921343537415,real_main_algorithms
a2c_pointer,0.49829365079365084,8,0.5024567743764172,0.49748511904761905,safe_weighted_coverage,0.49196853741496605,0.5100223214285714,real_main_algorithms
nearest_feasible,0.48820861678004535,8,0.48434576955782316,0.4853954081632653,safe_weighted_coverage,0.47744295634920636,0.5018920068027211,real_main_algorithms
priority_resource_greedy,0.4711415816326531,8,0.46791294642857145,0.47202026643990935,safe_weighted_coverage,0.45567424886621316,0.48085848922902497,real_main_algorithms
aco,0.557624007936508,8,0.5599302012471655,0.5603089569160997,safe_weighted_coverage,0.5482103883219953,0.564875992063492,real_main_algorithms
milp,0.5846921060090702,8,0.5829365079365079,0.5850446428571427,safe_weighted_coverage,0.5782755810657596,0.5887772817460317,real_main_algorithms
full,0.5011132369614513,8,0.5024440192743764,0.5006384637188208,safe_weighted_coverage,0.49602820294784583,0.5085866638321995,real_ablations
no_priority_bias,0.5017591411564626,8,0.5030693735827665,0.5016581632653061,safe_weighted_coverage,0.5000159438775511,0.504141156462585,real_ablations
no_domain_randomization,0.501813704648526,8,0.501514491213152,0.5028429705215419,safe_weighted_coverage,0.49047052154195014,0.5118870464852607,real_ablations
no_resource_shaping,0.5015500992063493,8,0.5023492417800454,0.5000375566893425,safe_weighted_coverage,0.4952140022675737,0.5110041099773244,real_ablations
no_return_reserve,0.10745571145124716,8,0.11206916099773243,0.10459537981859411,safe_weighted_coverage,0.10021506519274376,0.12289115646258505,real_ablations
full,0.450640943877551,8,0.47906887755102046,0.4436267006802721,safe_weighted_coverage,0.428812712585034,0.49464817176870746,known_domain_shift
traditional_ppo,0.2515210459183673,8,0.2610549532312925,0.25305909863945575,safe_weighted_coverage,0.23649978741496597,0.27039221938775504,known_domain_shift
a2c_pointer,0.44896045918367344,8,0.4798246173469387,0.4447831632653061,safe_weighted_coverage,0.43140731292517004,0.48134778911564624,known_domain_shift
no_domain_randomization,0.4556547619047619,8,0.4853651147959184,0.4535926870748299,safe_weighted_coverage,0.436656037414966,0.49099277210884346,known_domain_shift
priority_resource_greedy,0.4176551870748299,8,0.44274022108843536,0.40627125850340134,safe_weighted_coverage,0.39185799319727893,0.4801126700680272,known_domain_shift
full,0.4050196641156462,8,0.42947464923469386,0.4063488520408163,safe_weighted_coverage,0.3723017644557823,0.45126169217687073,hidden_model_perception_mismatch
traditional_ppo,0.22830994897959184,8,0.23065077593537414,0.2306547619047619,safe_weighted_coverage,0.1948251488095238,0.2649989370748299,hidden_model_perception_mismatch
a2c_pointer,0.39487404336734694,8,0.41806919642857143,0.38809736394557826,safe_weighted_coverage,0.3653704294217687,0.446360012755102,hidden_model_perception_mismatch
no_domain_randomization,0.4123538477891156,8,0.42847523384353736,0.41002657312925167,safe_weighted_coverage,0.36903061224489797,0.4694260204081632,hidden_model_perception_mismatch
no_return_reserve,0.10903964710884353,8,0.11205224277210885,0.10597682823129254,safe_weighted_coverage,0.09325361394557824,0.12988095238095237,hidden_model_perception_mismatch
priority_resource_greedy,0.3665842899659864,8,0.39893707482993196,0.36635841836734695,safe_weighted_coverage,0.3495349702380952,0.415125425170068,hidden_model_perception_mismatch
