algorithm,condition,family,robustness_drop_mean,robustness_drop_median,run_count,safe_weighted_coverage_mean,safe_weighted_coverage_median
full,wind,known_domain_shift,0.0011670918367346955,0.0,120,0.4867176870748299,0.46875
traditional_ppo,wind,known_domain_shift,0.0015656887755102038,0.0,120,0.2631887755102041,0.25765306122448983
a2c_pointer,wind,known_domain_shift,0.00833971088435374,0.0,120,0.48337691326530613,0.4432397959183674
no_domain_randomization,wind,known_domain_shift,0.011325467687074835,0.0,120,0.48800595238095235,0.46875
priority_resource_greedy,wind,known_domain_shift,0.0023437500000000056,0.0,24,0.44974489795918365,0.43125
full,power_model,known_domain_shift,0.01646471088435374,0.0,120,0.4714200680272109,0.4432397959183674
traditional_ppo,power_model,known_domain_shift,0.005833333333333333,0.0,120,0.258921130952381,0.25
a2c_pointer,power_model,known_domain_shift,0.015444302721088434,0.0,120,0.47627232142857145,0.4375
no_domain_randomization,power_model,known_domain_shift,0.01660714285714286,0.0,120,0.4827242772108844,0.453125
priority_resource_greedy,power_model,known_domain_shift,0.016353103741496598,0.0,24,0.4357355442176871,0.41658163265306125
full,wind,hidden_model_perception_mismatch,0.06233737244897959,0.0,120,0.4255474064625851,0.4375
traditional_ppo,wind,hidden_model_perception_mismatch,0.03363095238095238,0.0,120,0.2311235119047619,0.25
a2c_pointer,wind,hidden_model_perception_mismatch,0.10812925170068027,0.0,120,0.3835873724489796,0.42857142857142855
no_domain_randomization,wind,hidden_model_perception_mismatch,0.07685055272108844,0.0,120,0.4224808673469388,0.453125
no_return_reserve,wind,hidden_model_perception_mismatch,0.0,0.0,120,0.11204613095238096,0.0625
priority_resource_greedy,wind,hidden_model_perception_mismatch,0.05648384353741497,0.0,24,0.39560480442176865,0.40720663265306123
full,power_model,hidden_model_perception_mismatch,0.12487244897959184,0.0,120,0.3630123299319728,0.425
traditional_ppo,power_model,hidden_model_perception_mismatch,0.06833120748299318,0.0,120,0.19642325680272107,0.21875
a2c_pointer,power_model,hidden_model_perception_mismatch,0.14508078231292518,0.0,120,0.3466358418367347,0.425
no_domain_randomization,power_model,hidden_model_perception_mismatch,0.1469557823129252,0.0,120,0.35237563775510206,0.42857142857142855
no_return_reserve,power_model,hidden_model_perception_mismatch,0.0,0.0,120,0.11204613095238096,0.0625
priority_resource_greedy,power_model,hidden_model_perception_mismatch,0.11679953231292517,0.0,24,0.3352891156462585,0.390625
full,dem_error,hidden_model_perception_mismatch,0.006724064625850342,0.0,120,0.4811607142857143,0.471875
traditional_ppo,dem_error,hidden_model_perception_mismatch,0.005481505102040816,0.0,120,0.25927295918367343,0.25
a2c_pointer,dem_error,hidden_model_perception_mismatch,0.0034715136054421763,0.0,120,0.48824511054421776,0.46875
no_domain_randomization,dem_error,hidden_model_perception_mismatch,0.007532950680272112,0.0,120,0.4917984693877551,0.475
no_return_reserve,dem_error,hidden_model_perception_mismatch,-0.0002848639455782315,0.0,120,0.11233099489795917,0.0625
priority_resource_greedy,dem_error,hidden_model_perception_mismatch,0.0031250000000000006,0.0,24,0.4489636479591837,0.43125
full,localization,hidden_model_perception_mismatch,0.03970663265306123,0.0,120,0.44817814625850344,0.4375
traditional_ppo,localization,hidden_model_perception_mismatch,0.02897108843537415,0.0,120,0.23578337585034015,0.25
a2c_pointer,localization,hidden_model_perception_mismatch,0.03790816326530612,0.0,120,0.4538084608843537,0.4375
no_domain_randomization,localization,hidden_model_perception_mismatch,0.05208545918367347,0.0,120,0.44724596088435375,0.4432397959183674
no_return_reserve,localization,hidden_model_perception_mismatch,0.000260416666666667,0.0,120,0.1117857142857143,0.084375
priority_resource_greedy,localization,hidden_model_perception_mismatch,0.03619791666666667,0.0,24,0.415890731292517,0.41658163265306125
