episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
16.0,0.193359375,,full,,,seed,42
32.0,0.19687500000000002,,full,,,seed,42
48.0,0.23086734693877553,,full,,,seed,42
64.0,0.255859375,,full,,,seed,42
80.0,0.321875,,full,,,seed,42
96.0,0.24489795918367346,,full,,,seed,42
112.0,0.380859375,,full,,,seed,42
128.0,0.353125,,full,,,seed,42
144.0,0.35969387755102045,,full,,,seed,42
160.0,0.375,,full,,,seed,42
176.0,0.415625,,full,,,seed,42
192.0,0.4145408163265306,,full,,,seed,42
208.0,0.458984375,,full,,,seed,42
224.0,0.40937499999999993,,full,,,seed,42
240.0,0.4017857142857143,,full,,,seed,42
250.0,0.4875,,full,,,seed,42
266.0,0.425,,full,,,seed,42
282.0,0.4094387755102041,,full,,,seed,42
298.0,0.4921875,,full,,,seed,42
314.0,0.39375000000000004,,full,,,seed,42
330.0,0.39285714285714285,,full,,,seed,42
346.0,0.53515625,,full,,,seed,42
362.0,0.4578125,,full,,,seed,42
378.0,0.39668367346938777,,full,,,seed,42
394.0,0.494140625,,full,,,seed,42
410.0,0.403125,,full,,,seed,42
426.0,0.3431122448979592,,full,,,seed,42
442.0,0.423828125,,full,,,seed,42
458.0,0.4328125,,full,,,seed,42
474.0,0.399234693877551,,full,,,seed,42
490.0,0.513671875,,full,,,seed,42
500.0,0.4375,,full,,,seed,42
516.0,0.4362244897959183,,full,,,seed,42
532.0,0.431640625,,full,,,seed,42
548.0,0.49375,,full,,,seed,42
564.0,0.4502551020408163,,full,,,seed,42
580.0,0.4453125,,full,,,seed,42
596.0,0.42656249999999996,,full,,,seed,42
612.0,0.42219387755102045,,full,,,seed,42
628.0,0.439453125,,full,,,seed,42
644.0,0.4515625,,full,,,seed,42
660.0,0.4311224489795918,,full,,,seed,42
676.0,0.544921875,,full,,,seed,42
692.0,0.4578125,,full,,,seed,42
708.0,0.4553571428571428,,full,,,seed,42
724.0,0.4765625,,full,,,seed,42
740.0,0.42500000000000004,,full,,,seed,42
756.0,0.4681122448979592,,full,,,seed,42
772.0,0.494140625,,full,,,seed,42
788.0,0.4296875,,full,,,seed,42
804.0,0.4387755102040816,,full,,,seed,42
820.0,0.498046875,,full,,,seed,42
836.0,0.4765625,,full,,,seed,42
852.0,0.4872448979591837,,full,,,seed,42
868.0,0.505859375,,full,,,seed,42
884.0,0.4984375,,full,,,seed,42
900.0,0.4030612244897959,,full,,,seed,42
916.0,0.482421875,,full,,,seed,42
932.0,0.434375,,full,,,seed,42
948.0,0.4961734693877551,,full,,,seed,42
964.0,0.458984375,,full,,,seed,42
980.0,0.503125,,full,,,seed,42
996.0,0.4413265306122449,,full,,,seed,42
1000.0,0.5546875,,full,,,seed,42
1016.0,0.4140625,,full,,,seed,42
1032.0,0.3966836734693877,,full,,,seed,42
1048.0,0.439453125,,full,,,seed,42
1064.0,0.44375,,full,,,seed,42
1080.0,0.4630102040816327,,full,,,seed,42
1096.0,0.439453125,,full,,,seed,42
1112.0,0.45625,,full,,,seed,42
1128.0,0.4323979591836734,,full,,,seed,42
1144.0,0.517578125,,full,,,seed,42
1160.0,0.5046875,,full,,,seed,42
1176.0,0.423469387755102,,full,,,seed,42
1192.0,0.38671875,,full,,,seed,42
1208.0,0.475,,full,,,seed,42
1224.0,0.3788265306122449,,full,,,seed,42
1240.0,0.44140625,,full,,,seed,42
1256.0,0.525,,full,,,seed,42
1272.0,0.423469387755102,,full,,,seed,42
1288.0,0.447265625,,full,,,seed,42
1304.0,0.4125,,full,,,seed,42
1320.0,0.43239795918367346,,full,,,seed,42
1336.0,0.453125,,full,,,seed,42
1352.0,0.471875,,full,,,seed,42
1368.0,0.4693877551020408,,full,,,seed,42
1384.0,0.4765625,,full,,,seed,42
1400.0,0.44218749999999996,,full,,,seed,42
1416.0,0.3839285714285714,,full,,,seed,42
1432.0,0.435546875,,full,,,seed,42
1448.0,0.46406249999999993,,full,,,seed,42
1464.0,0.48214285714285715,,full,,,seed,42
1480.0,0.49609375,,full,,,seed,42
1496.0,0.46718750000000003,,full,,,seed,42
1500.0,0.4489795918367347,,full,,,seed,42
1516.0,0.51953125,,full,,,seed,42
1532.0,0.39531249999999996,,full,,,seed,42
1548.0,0.4119897959183674,,full,,,seed,42
1564.0,0.431640625,,full,,,seed,42
1580.0,0.47968750000000004,,full,,,seed,42
1596.0,0.43112244897959184,,full,,,seed,42
1612.0,0.51953125,,full,,,seed,42
1628.0,0.49062500000000003,,full,,,seed,42
1644.0,0.389030612244898,,full,,,seed,42
1660.0,0.5234375,,full,,,seed,42
1676.0,0.4609375,,full,,,seed,42
1692.0,0.47704081632653056,,full,,,seed,42
1708.0,0.46484375,,full,,,seed,42
1724.0,0.45625000000000004,,full,,,seed,42
1740.0,0.4591836734693877,,full,,,seed,42
1756.0,0.521484375,,full,,,seed,42
1772.0,0.44375,,full,,,seed,42
1788.0,0.46683673469387754,,full,,,seed,42
1804.0,0.50390625,,full,,,seed,42
1820.0,0.4765625,,full,,,seed,42
1836.0,0.43494897959183676,,full,,,seed,42
1852.0,0.48828125,,full,,,seed,42
1868.0,0.5218749999999999,,full,,,seed,42
1884.0,0.4477040816326531,,full,,,seed,42
1900.0,0.45703125,,full,,,seed,42
1916.0,0.46562499999999996,,full,,,seed,42
1932.0,0.4502551020408163,,full,,,seed,42
1948.0,0.466796875,,full,,,seed,42
1964.0,0.4640625,,full,,,seed,42
1980.0,0.4770408163265306,,full,,,seed,42
1996.0,0.537109375,,full,,,seed,42
2000.0,0.5812499999999999,,full,,,seed,42
2016.0,0.4107142857142857,,full,,,seed,42
2032.0,0.484375,,full,,,seed,42
2048.0,0.39531249999999996,,full,,,seed,42
2064.0,0.4413265306122449,,full,,,seed,42
2080.0,0.4375,,full,,,seed,42
2096.0,0.4921875,,full,,,seed,42
2112.0,0.475765306122449,,full,,,seed,42
2128.0,0.494140625,,full,,,seed,42
2144.0,0.4390625,,full,,,seed,42
2160.0,0.4744897959183674,,full,,,seed,42
2176.0,0.453125,,full,,,seed,42
2192.0,0.471875,,full,,,seed,42
2208.0,0.485969387755102,,full,,,seed,42
2224.0,0.421875,,full,,,seed,42
2240.0,0.546875,,full,,,seed,42
2256.0,0.4502551020408163,,full,,,seed,42
2272.0,0.474609375,,full,,,seed,42
2288.0,0.5046875,,full,,,seed,42
2304.0,0.43112244897959184,,full,,,seed,42
2320.0,0.48828125,,full,,,seed,42
2336.0,0.496875,,full,,,seed,42
2352.0,0.41836734693877553,,full,,,seed,42
2368.0,0.572265625,,full,,,seed,42
2384.0,0.46875,,full,,,seed,42
2400.0,0.44387755102040816,,full,,,seed,42
2416.0,0.443359375,,full,,,seed,42
2432.0,0.46406250000000004,,full,,,seed,42
2448.0,0.4285714285714286,,full,,,seed,42
2464.0,0.466796875,,full,,,seed,42
2480.0,0.4953125,,full,,,seed,42
2496.0,0.44387755102040816,,full,,,seed,42
2500.0,0.4609375,,full,,,seed,42
2516.0,0.4921875,,full,,,seed,42
2532.0,0.4604591836734694,,full,,,seed,42
2548.0,0.48828125,,full,,,seed,42
2564.0,0.428125,,full,,,seed,42
2580.0,0.46556122448979587,,full,,,seed,42
2596.0,0.47265625,,full,,,seed,42
2612.0,0.484375,,full,,,seed,42
2628.0,0.471938775510204,,full,,,seed,42
2644.0,0.439453125,,full,,,seed,42
2660.0,0.403125,,full,,,seed,42
2676.0,0.4298469387755102,,full,,,seed,42
2692.0,0.470703125,,full,,,seed,42
2708.0,0.4828125,,full,,,seed,42
2724.0,0.45918367346938777,,full,,,seed,42
2740.0,0.5078125,,full,,,seed,42
2756.0,0.4765625,,full,,,seed,42
2772.0,0.4477040816326531,,full,,,seed,42
2788.0,0.515625,,full,,,seed,42
2804.0,0.4921875,,full,,,seed,42
2820.0,0.4400510204081633,,full,,,seed,42
2836.0,0.494140625,,full,,,seed,42
2852.0,0.471875,,full,,,seed,42
2868.0,0.4872448979591837,,full,,,seed,42
2884.0,0.451171875,,full,,,seed,42
