aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,0,1.0,full,0.0,1,62.598085530734814,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,1.0,full,0.0,1,66.40308577784543,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,a2c_pointer,0.0,2,62.59553451341036,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,a2c_pointer,0.0,2,66.38697078152745,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,0,0.0,traditional_ppo,0.0,3,50.50530421762435,0.2,0.1,0.1,0.05,0.15,0.2,0.2
arithmetic,0,0.0,traditional_ppo,0.0,3,58.47764320390168,0.2,0.1,0.1,0.05,0.15,0.2,0.2
geometric,1,1.0,full,0.0,1,64.50359443064907,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,1.0,full,0.0,1,68.48061340377728,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,a2c_pointer,0.0,2,64.3968140050034,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,a2c_pointer,0.0,2,68.35008880850586,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,1,0.0,traditional_ppo,0.0,3,51.525531784914136,0.2,0.1,0.1,0.1,0.1,0.2,0.2
arithmetic,1,0.0,traditional_ppo,0.0,3,60.03791635288018,0.2,0.1,0.1,0.1,0.1,0.2,0.2
geometric,2,1.0,full,0.0,1,62.34862915324298,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,1.0,full,0.0,1,66.02015405811541,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,a2c_pointer,0.0,2,62.298870384284044,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,a2c_pointer,0.0,2,65.93508179522705,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,2,0.0,traditional_ppo,0.0,3,50.38106510131403,0.2,0.1,0.1,0.1,0.15,0.15,0.2
arithmetic,2,0.0,traditional_ppo,0.0,3,58.23866915702931,0.2,0.1,0.1,0.1,0.15,0.15,0.2
geometric,3,0.0,full,0.0,2,64.62379927671786,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,1.0,full,0.0,1,68.5730363849921,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,1.0,a2c_pointer,0.0,1,64.63106685497789,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,a2c_pointer,0.0,2,68.53015034245044,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,3,0.0,traditional_ppo,0.0,3,53.79812468099361,0.2,0.1,0.1,0.1,0.15,0.2,0.15
arithmetic,3,0.0,traditional_ppo,0.0,3,61.872309022109896,0.2,0.1,0.1,0.1,0.15,0.2,0.15
geometric,4,1.0,full,0.0,1,66.46710772697367,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,1.0,full,0.0,1,70.55814102970913,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,a2c_pointer,0.0,2,66.24992798977647,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,a2c_pointer,0.0,2,70.31320683548427,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,4,0.0,traditional_ppo,0.0,3,52.56636836159772,0.2,0.1,0.1,0.15,0.05,0.2,0.2
arithmetic,4,0.0,traditional_ppo,0.0,3,61.59818950185869,0.2,0.1,0.1,0.15,0.05,0.2,0.2
geometric,5,1.0,full,0.0,1,64.2465445086675,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,1.0,full,0.0,1,68.09768168404726,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,a2c_pointer,0.0,2,64.09161292486549,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,a2c_pointer,0.0,2,67.89819982220546,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,5,0.0,traditional_ppo,0.0,3,51.398782988217576,0.2,0.1,0.1,0.15,0.1,0.15,0.2
arithmetic,5,0.0,traditional_ppo,0.0,3,59.79894230600782,0.2,0.1,0.1,0.15,0.1,0.15,0.2
geometric,6,1.0,full,0.0,1,66.5909716530615,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,1.0,full,0.0,1,70.65056401092394,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,6,0.0,a2c_pointer,0.0,2,66.4909218134927,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,0.0,a2c_pointer,0.0,2,70.49326836942885,0.2,0.1,0.1,0.15,0.1,0.2,0.15
geometric,6,0.0,traditional_ppo,0.0,3,54.884868553113265,0.2,0.1,0.1,0.15,0.1,0.2,0.15
arithmetic,6,0.0,traditional_ppo,0.0,3,63.432582171088406,0.2,0.1,0.1,0.15,0.1,0.2,0.15
