bootstrap_replicate,full_minus_a2c_points,full_score,a2c_pointer_score
0,2.947285441,76.50219927,73.55491382
1,2.378876549,76.80491789,74.42604134
2,2.608594772,76.67459295,74.06599818
3,2.439073166,77.80155493,75.36248176
4,1.588149875,76.44005413,74.85190426
5,2.073223888,76.27970439,74.2064805
6,3.001489957,76.61824822,73.61675826
7,2.498840526,75.52341845,73.02457793
8,2.647572856,76.9821664,74.33459355
9,1.346893487,76.75978047,75.41288699
10,1.313506397,76.54718439,75.23367799
11,1.480457448,76.6281496,75.14769215
12,1.624527313,76.63080366,75.00627634
13,1.117193845,75.49311919,74.37592535
14,1.705221459,76.390068,74.68484654
15,1.520421906,75.18073131,73.6603094
16,1.278512389,76.8366623,75.55814991
17,2.538493871,76.39244943,73.85395556
18,1.814697893,76.9477822,75.1330843
19,1.391413139,77.60574167,76.21432853
20,2.400600755,75.90450679,73.50390603
21,1.851813883,76.46781274,74.61599886
22,0.6818026551,76.82691706,76.14511441
23,1.693198986,75.53163628,73.83843729
24,1.895801693,76.8581952,74.96239351
25,3.425241937,76.56956438,73.14432245
26,1.421929915,75.84725945,74.42532954
27,2.411352233,75.84360093,73.43224869
28,1.165762687,76.23160495,75.06584226
29,2.572627982,76.09785159,73.52522361
30,2.800743166,76.72018205,73.91943888
31,1.133073934,77.21371212,76.08063819
32,1.075087301,76.16565105,75.09056374
33,2.75304334,76.00180758,73.24876424
34,2.537129706,76.82299233,74.28586263
35,2.01751988,76.73490524,74.71738536
36,2.728345871,76.62719498,73.8988491
37,1.548515525,76.40835993,74.85984441
38,1.327402841,75.72217802,74.39477518
39,1.991000159,76.05062695,74.05962679
40,2.924976017,77.29042999,74.36545397
41,1.999911267,77.02222864,75.02231738
42,2.294617941,76.02757354,73.7329556
43,1.978252245,77.29052899,75.31227674
44,0.9085893379,77.29488075,76.38629141
45,2.076923303,76.110567,74.03364369
46,1.887420502,76.68122716,74.79380665
47,0.6934366842,77.07118991,76.37775322
48,1.09967545,76.28095602,75.18128057
49,3.534236691,77.49763924,73.96340255
50,2.417112072,76.44421466,74.02710259
51,0.8635345332,75.97840447,75.11486994
52,3.006343959,76.8461015,73.83975754
53,2.469653516,76.61722844,74.14757492
54,2.563856594,76.09600886,73.53215227
55,1.892932108,76.11306647,74.22013436
56,1.776188558,75.91848443,74.14229588
57,1.243019918,76.81683792,75.573818
58,1.933952641,76.76515316,74.83120052
59,0.7789060336,76.07819665,75.29929061
60,1.055613257,77.58071148,76.52509822
61,2.211595118,76.67043961,74.45884449
62,2.215604319,76.21096629,73.99536197
63,2.430568065,77.25224126,74.82167319
64,2.32726263,76.84608657,74.51882394
65,1.193219388,76.76941543,75.57619604
66,1.755393188,75.83390082,74.07850763
67,1.668100582,76.85433725,75.18623667
68,0.9546645016,76.58652132,75.63185682
69,3.333435385,76.08340102,72.74996563
70,2.564173638,77.1114609,74.54728726
71,2.616881121,78.48584313,75.86896201
72,1.148014071,76.37222164,75.22420757
73,1.936798514,77.0017461,75.06494759
74,2.625801984,76.91347717,74.28767519
75,1.476342625,77.22023039,75.74388776
76,2.283615703,76.1316699,73.84805419
77,1.710835622,75.89241274,74.18157711
78,1.997069813,77.32951226,75.33244245
79,2.166815998,77.63419998,75.46738398
80,1.421753382,76.51207026,75.09031687
81,2.517906701,77.6677949,75.1498882
82,1.8807869,75.80082091,73.92003401
83,2.867378271,76.80009365,73.93271538
84,1.614389604,76.65093415,75.03654454
85,1.58603234,76.63761969,75.05158735
86,1.645154807,76.23245952,74.58730471
87,3.037352939,77.45217089,74.41481795
88,2.302762446,76.56677714,74.26401469
89,2.556183817,76.45543807,73.89925426
90,1.723057904,76.84666891,75.12361101
91,2.314231472,76.72938016,74.41514869
92,1.917106898,77.2815656,75.36445871
93,2.802855629,75.95870165,73.15584602
94,1.431380813,75.8065123,74.37513149
95,1.7461926,76.60943324,74.86324064
96,1.708225087,77.70538561,75.99716052
97,2.6115414,76.9206868,74.3091454
98,3.056969393,75.42582384,72.36885445
99,2.157576973,76.58909633,74.43151935
100,1.878587948,76.0653482,74.18676026
101,3.683344558,76.59232757,72.90898301
102,2.66994567,77.80703687,75.1370912
103,1.096906858,76.16968391,75.07277705
104,1.797973841,77.17099542,75.37302158
105,1.688615744,76.03574021,74.34712447
106,1.652806212,76.71656968,75.06376346
107,2.140607642,76.2279796,74.08737196
108,1.734941028,76.78463785,75.04969682
109,0.7530233806,77.38991186,76.63688848
110,1.83611989,77.66700249,75.8308826
111,2.188007542,77.08230916,74.89430161
112,2.26067961,76.49379639,74.23311678
113,2.95181035,76.61557595,73.6637656
114,1.492630791,76.43423404,74.94160325
115,2.053164232,76.68712899,74.63396476
116,2.697114006,77.25563453,74.55852053
117,2.459241043,76.80201288,74.34277184
118,2.748443158,76.58508652,73.83664336
119,1.647545078,75.44230187,73.79475679
120,2.12100096,76.40571698,74.28471602
121,1.871769828,77.24024262,75.36847279
122,2.061485841,76.67337487,74.61188903
123,2.052794808,75.94639361,73.89359881
124,0.7459384648,77.3091049,76.56316643
125,1.705218135,76.04160796,74.33638983
126,2.082051597,76.79286722,74.71081562
127,2.028693624,76.83879411,74.81010048
128,1.8911896,77.03660146,75.14541186
129,2.855508957,76.79823527,73.94272631
130,1.674169086,75.67830433,74.00413524
131,1.014765912,76.63204485,75.61727894
132,1.716071462,75.82972769,74.11365623
133,2.290977984,76.97444052,74.68346254
134,1.424193803,77.03019129,75.60599749
135,2.186521529,76.66986204,74.48334051
136,0.9796728754,77.26787423,76.28820136
137,2.6392196,77.39252146,74.75330185
138,2.408037362,77.01013056,74.6020932
139,1.191993528,76.0665338,74.87454027
140,2.283129081,76.74580006,74.46267098
141,1.934915439,75.9568549,74.02193946
142,2.203597016,75.88260505,73.67900803
143,2.241408535,76.53455713,74.29314859
144,2.900519416,76.1329907,73.23247128
145,1.669717322,76.10670831,74.43699099
146,2.469623089,77.03872862,74.56910553
147,3.54488213,76.27721284,72.73233071
148,1.112198721,77.46537616,76.35317744
149,2.379378963,76.06433127,73.6849523
150,3.04416115,76.88852382,73.84436267
151,1.351879266,76.88894093,75.53706166
152,2.078494697,76.21158223,74.13308753
153,0.9926364466,76.3757048,75.38306835
154,1.349415065,76.63906878,75.28965371
155,1.748134381,77.81409786,76.06596348
156,1.876385949,75.76902586,73.89263991
157,2.180956851,77.5113114,75.33035455
158,2.52190843,77.0143558,74.49244737
159,1.854132325,77.00654385,75.15241152
160,2.07122655,75.80874055,73.737514
161,2.833758931,75.81906668,72.98530775
162,1.154224978,77.05297747,75.8987525
163,1.322914937,76.12722805,74.80431312
164,1.687843357,75.59584872,73.90800536
165,2.092128811,76.24730611,74.1551773
166,2.609349815,77.33241521,74.7230654
167,1.450130149,77.25902284,75.80889269
168,2.275791089,76.5215866,74.24579551
169,1.894045055,75.80789739,73.91385233
170,1.014079507,76.39477604,75.38069654
171,1.721620759,77.64694271,75.92532195
172,0.743264083,76.40636007,75.66309599
173,2.392186865,76.71139725,74.31921039
174,2.939649819,77.22681393,74.28716411
175,1.219568326,76.57524302,75.3556747
176,2.928230208,76.36758171,73.4393515
177,1.498980164,76.634773,75.13579284
178,1.740921587,77.15393109,75.4130095
179,1.411912784,76.01555298,74.6036402
180,2.380389216,76.12507407,73.74468485
181,2.686554268,76.76587864,74.07932437
182,0.886014963,76.77540238,75.88938742
183,1.700590458,76.65723143,74.95664098
184,1.663898263,76.31649623,74.65259797
185,2.637170026,78.16736565,75.53019562
186,1.9135503,77.30409716,75.39054686
187,0.7731840604,76.75982432,75.98664026
188,2.372464824,77.03528628,74.66282146
189,0.9616158075,77.66223448,76.70061868
190,2.743218177,76.30070445,73.55748627
191,2.23370826,75.70555029,73.47184203
192,2.442590298,77.25324811,74.81065782
193,3.108474341,77.32001349,74.21153915
194,0.9070644543,75.9952383,75.08817384
195,2.702643566,77.54721419,74.84457062
196,1.984860691,75.89919472,73.91433403
197,1.858090339,76.13828418,74.28019384
198,2.699296392,76.37041818,73.67112179
199,1.272728423,77.23246655,75.95973812
200,1.837402671,76.3848013,74.54739863
201,2.462344769,77.3907847,74.92843994
202,1.607908837,76.89386786,75.28595902
203,1.630172749,76.53878758,74.90861483
204,1.513150793,76.04484123,74.53169044
205,2.563284374,77.14265561,74.57937124
206,2.39526954,76.49873519,74.10346565
207,2.706898888,76.89536844,74.18846955
208,3.241438659,78.77649757,75.53505891
209,1.811650516,76.37818597,74.56653545
210,1.994616146,77.83968723,75.84507108
211,2.077827651,76.28277706,74.20494941
212,1.30039935,75.85253556,74.55213621
213,2.807580261,77.13966422,74.33208396
214,2.666923023,77.60752527,74.94060224
215,2.739729721,77.48258295,74.74285323
216,2.602857354,75.72197786,73.11912051
217,2.460349155,76.91807511,74.45772595
218,1.03179582,75.80681227,74.77501645
219,2.864626433,76.31559226,73.45096582
220,1.007473485,76.84734613,75.83987264
221,2.400585731,75.85750326,73.45691753
222,1.418903726,75.91900022,74.50009649
223,1.878015759,77.09170662,75.21369086
224,2.096170031,75.75572608,73.65955605
225,2.373174615,77.13900333,74.76582871
226,1.12202287,76.47202311,75.35000024
227,0.8632551913,75.58900346,74.72574827
228,1.858696187,76.37551277,74.51681659
229,2.349901818,76.94242802,74.5925262
230,2.049242693,75.92512415,73.87588146
231,1.818207474,77.21089114,75.39268366
232,2.162824361,76.39254164,74.22971728
233,2.912923545,77.78998132,74.87705778
234,0.9161085747,76.81886675,75.90275817
235,1.075479395,76.28282191,75.20734251
236,3.191158249,75.90362464,72.71246639
237,1.387682175,77.26555638,75.87787421
238,1.929010675,76.89966488,74.9706542
239,2.070257003,76.13025272,74.05999572
240,0.6349490796,76.65455748,76.0196084
241,2.281875849,77.31968296,75.03780711
242,1.56502216,76.36344828,74.79842612
243,0.6724048247,76.30438641,75.63198159
244,3.340219389,76.6918007,73.35158131
245,1.517141772,76.6383832,75.12124143
246,2.104447884,76.13317475,74.02872687
247,2.500225949,77.21407944,74.71385349
248,1.618323895,77.18829113,75.56996723
249,2.481698762,76.59068273,74.10898397
250,2.752565056,77.40668834,74.65412328
251,1.477641556,76.06965819,74.59201664
252,2.543928208,78.06949068,75.52556247
253,2.764192913,77.0912546,74.32706168
254,2.317001417,78.23450307,75.91750166
255,2.030621682,76.60958101,74.57895933
256,2.356441874,76.56684905,74.21040717
257,1.536972905,76.61779796,75.08082506
258,2.166068828,77.52030356,75.35423473
259,1.746810311,77.55271873,75.80590842
260,1.587953434,77.36652304,75.77856961
261,2.409668196,76.64896946,74.23930126
262,2.978227549,78.14145894,75.16323139
263,1.264964285,77.44718181,76.18221753
264,3.039153035,77.12884985,74.08969682
265,3.223075112,77.042105,73.81902989
266,0.9770691218,76.10748827,75.13041915
267,3.329247619,76.64334187,73.31409425
268,1.021334738,76.9451026,75.92376786
269,2.436902299,77.14555128,74.70864898
270,1.147429317,75.56285007,74.41542076
271,1.751221088,76.6982949,74.94707381
272,2.243016864,77.0840008,74.84098394
273,1.302699323,77.69641598,76.39371666
274,2.030715524,76.56522791,74.53451238
275,2.768336413,77.00027197,74.23193556
276,2.441502372,77.33802561,74.89652323
277,0.9766321093,76.90714399,75.93051188
278,3.455557768,76.58717247,73.13161471
279,3.47798816,76.62490225,73.14691409
280,1.697392907,77.73382739,76.03643448
281,0.6760613688,76.31515411,75.63909274
282,2.485865176,77.10442614,74.61856096
283,2.17105691,75.89409739,73.72304048
284,2.752216632,76.26562231,73.51340568
285,2.699041598,76.76617314,74.06713154
286,1.092628643,76.59336671,75.50073806
287,2.18067252,76.6763622,74.49568968
288,1.969331303,76.91773161,74.9484003
289,1.469788202,76.74736157,75.27757337
290,0.8015521592,76.86738549,76.06583333
291,1.073672915,76.51493149,75.44125858
292,1.945227235,76.75063056,74.80540333
293,2.057173131,75.56701437,73.50984124
294,2.546738822,77.23926915,74.69253033
295,2.362848819,77.6341724,75.27132358
296,2.633795217,76.23417423,73.60037901
297,1.964544536,76.59133099,74.62678646
298,1.334062179,76.56645046,75.23238828
299,1.447613488,76.49411219,75.0464987
300,2.687726438,76.79823486,74.11050843
301,1.048154941,76.24622019,75.19806525
302,2.548657175,77.0292405,74.48058333
303,2.260523085,77.22295828,74.9624352
304,2.992190644,77.27378049,74.28158985
305,1.8233707,76.36102785,74.53765715
306,1.147172887,77.02941029,75.88223741
307,2.028287524,77.61207272,75.5837852
308,2.389401541,77.6037789,75.21437736
309,2.96669291,77.43960364,74.47291073
310,3.145592157,77.2593497,74.11375754
311,1.97896272,76.81938012,74.8404174
312,1.160635537,77.82084188,76.66020635
313,1.991053511,77.15059651,75.159543
314,1.487519297,76.38454986,74.89703056
315,1.450452087,77.27383497,75.82338288
316,1.815790137,76.66013044,74.84434031
317,1.9697789,77.45004701,75.48026811
318,1.878228263,76.23130729,74.35307903
319,2.744325865,76.35331978,73.60899391
320,2.91333367,76.17067597,73.2573423
321,2.079662218,77.15502257,75.07536035
322,1.745701053,75.71640198,73.97070093
323,2.486823464,77.0267653,74.53994184
324,2.751941314,77.00387561,74.2519343
325,1.712756241,77.49471007,75.78195382
326,1.463804266,76.11334156,74.64953729
327,1.595564726,77.04418062,75.44861589
328,2.41397657,77.09811986,74.68414329
329,1.607462087,76.00336194,74.39589986
330,2.928200686,78.45902993,75.53082924
331,2.322235759,76.76639954,74.44416378
332,1.142285312,77.0896278,75.94734249
333,2.305534191,77.89526975,75.58973556
334,1.004942147,77.41353707,76.40859492
335,1.231730004,77.70766475,76.47593475
336,2.390314505,76.62135671,74.2310422
337,1.686502433,76.98857706,75.30207462
338,0.9808526831,76.4894249,75.50857222
339,1.187520295,75.772291,74.58477071
340,2.273101639,76.37285151,74.09974987
341,0.5760387817,76.69913059,76.1230918
342,2.095978831,76.63211587,74.53613704
343,1.98688628,77.23069474,75.24380846
344,0.8217614917,76.25466043,75.43289893
345,1.427669482,77.13687579,75.70920631
346,1.359085844,75.56586157,74.20677573
347,2.316730554,77.51013262,75.19340207
348,2.076244016,76.44316883,74.36692482
349,1.479525188,75.92475778,74.44523259
350,2.045456939,75.87274892,73.82729198
351,3.058024159,76.79724897,73.73922481
352,2.012889163,77.0571017,75.04421254
353,2.063710493,77.10561095,75.04190046
354,2.929897192,76.79531841,73.86542122
355,1.560238231,75.92735148,74.36711325
356,2.042097894,77.46831468,75.42621679
357,2.341671459,76.06309346,73.72142201
358,1.720460773,75.87200894,74.15154817
359,1.613370788,77.42693647,75.81356568
360,1.798324433,76.66501076,74.86668632
361,1.40437404,76.30357265,74.89919861
362,1.539683166,76.8597955,75.32011233
363,1.664736683,76.08413363,74.41939694
364,2.029611592,76.7750906,74.74547901
365,1.220431069,76.47837085,75.25793978
366,2.94267027,77.19413774,74.25146747
367,2.397625362,77.46542131,75.06779595
368,1.816597797,76.09327367,74.27667587
369,1.668114812,76.97297336,75.30485855
370,1.092548245,76.37724914,75.2847009
371,1.652628935,77.53615002,75.88352108
372,2.191766985,77.52092646,75.32915947
373,2.973716328,76.55023069,73.57651436
374,2.230667631,76.2255457,73.99487807
375,2.768741045,76.77958951,74.01084846
376,3.072812053,76.36941889,73.29660683
377,1.903174468,77.35523931,75.45206484
378,2.953888431,77.46129508,74.50740665
379,1.783497844,77.41802311,75.63452527
380,1.567942657,76.16909654,74.60115389
381,2.450454622,76.92304484,74.47259022
382,1.240222765,76.4912833,75.25106054
383,1.849125967,77.64327091,75.79414494
384,1.259980976,76.73061937,75.4706384
385,0.9396823677,77.2543586,76.31467623
386,2.295888776,76.70022163,74.40433286
387,2.66641447,77.22547388,74.55905941
388,2.236929502,76.55635192,74.31942242
389,2.552327063,76.98500244,74.43267537
390,1.741488237,75.55242599,73.81093776
391,1.745511815,77.68932788,75.94381607
