domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,a2c_pointer,synthetic_test__map_000,0.4983333333,0.4983333333,1,1,1.14633278
未见合成,a2c_pointer,synthetic_test__map_001,0.4354960317,0.4354960317,1,1,1.003850976
未见合成,a2c_pointer,synthetic_test__map_002,0.5201303855,0.5201303855,1,1,1.164273767
未见合成,a2c_pointer,synthetic_test__map_003,0.4683673469,0.4683673469,1,1,1.246254087
未见合成,a2c_pointer,synthetic_test__map_004,0.5043225624,0.5043225624,1,1,1.08588968
未见合成,a2c_pointer,synthetic_test__map_005,0.5090986395,0.5090986395,1,1,1.090630651
未见合成,a2c_pointer,synthetic_test__map_006,0.5014597506,0.5014597506,1,1,1.031331842
未见合成,a2c_pointer,synthetic_test__map_007,0.4518282313,0.4518282313,1,1,1.262587876
未见合成,a2c_pointer,synthetic_test__map_008,0.479824263,0.479824263,1,1,1.076862049
未见合成,a2c_pointer,synthetic_test__map_009,0.4631632653,0.4631632653,1,1,1.151948622
未见合成,a2c_pointer,synthetic_test__map_010,0.4801530612,0.4801530612,1,1,1.030102562
未见合成,a2c_pointer,synthetic_test__map_011,0.4705782313,0.4705782313,1,1,1.251614933
未见合成,a2c_pointer,synthetic_test__map_012,0.4889795918,0.4889795918,1,1,1.100075107
未见合成,a2c_pointer,synthetic_test__map_013,0.4891950113,0.4891950113,1,1,1.03871264
未见合成,a2c_pointer,synthetic_test__map_014,0.467239229,0.467239229,1,1,0.9637748644
未见合成,a2c_pointer,synthetic_test__map_015,0.4725595238,0.4725595238,1,1,1.155968449
未见合成,a2c_pointer,synthetic_test__map_016,0.4956292517,0.4956292517,1,1,1.126567096
未见合成,a2c_pointer,synthetic_test__map_017,0.4719274376,0.4719274376,1,1,1.277859133
未见合成,a2c_pointer,synthetic_test__map_018,0.4981207483,0.4981207483,1,1,1.057979564
未见合成,a2c_pointer,synthetic_test__map_019,0.450303288,0.450303288,1,1,1.193408529
未见合成,a2c_pointer,synthetic_test__map_020,0.5196825397,0.5196825397,1,1,1.162775531
未见合成,a2c_pointer,synthetic_test__map_021,0.4910289116,0.4910289116,1,1,1.089161631
未见合成,a2c_pointer,synthetic_test__map_022,0.474478458,0.474478458,1,1,0.9441129089
未见合成,a2c_pointer,synthetic_test__map_023,0.538404195,0.538404195,1,1,1.400020016
未见合成,aco,synthetic_test__map_000,0.536207483,0.536207483,1,1,113.6836367
未见合成,aco,synthetic_test__map_001,0.5232369615,0.5232369615,1,1,106.939348
未见合成,aco,synthetic_test__map_002,0.5771258503,0.5771258503,1,1,112.2367101
未见合成,aco,synthetic_test__map_003,0.5331689342,0.5331689342,1,1,97.97388202
未见合成,aco,synthetic_test__map_004,0.5504081633,0.5504081633,1,1,107.1891226
未见合成,aco,synthetic_test__map_005,0.5613321995,0.5613321995,1,1,102.0166883
未见合成,aco,synthetic_test__map_006,0.5680187075,0.5680187075,1,1,102.1508169
未见合成,aco,synthetic_test__map_007,0.5656774376,0.5656774376,1,1,98.44212628
未见合成,aco,synthetic_test__map_008,0.5239852608,0.5239852608,1,1,103.4144372
未见合成,aco,synthetic_test__map_009,0.5759410431,0.5759410431,1,1,91.88376121
未见合成,aco,synthetic_test__map_010,0.5528543084,0.5528543084,1,1,81.05051491
未见合成,aco,synthetic_test__map_011,0.5563690476,0.5563690476,1,1,63.53002883
未见合成,aco,synthetic_test__map_012,0.5202636054,0.5202636054,1,1,66.51325768
未见合成,aco,synthetic_test__map_013,0.5395323129,0.5395323129,1,1,66.30651556
未见合成,aco,synthetic_test__map_014,0.5372930839,0.5372930839,1,1,64.16013318
未见合成,aco,synthetic_test__map_015,0.5273072562,0.5273072562,1,1,63.77052653
未见合成,aco,synthetic_test__map_016,0.5521315193,0.5521315193,1,1,57.45120088
未见合成,aco,synthetic_test__map_017,0.5800821995,0.5800821995,1,1,54.52293038
未见合成,aco,synthetic_test__map_018,0.5556774376,0.5556774376,1,1,48.47009558
未见合成,aco,synthetic_test__map_019,0.5645946712,0.5645946712,1,1,47.32646581
未见合成,aco,synthetic_test__map_020,0.5620209751,0.5620209751,1,1,49.12168616
未见合成,aco,synthetic_test__map_021,0.5439880952,0.5439880952,1,1,47.33716231
未见合成,aco,synthetic_test__map_022,0.5776105442,0.5776105442,1,1,47.99208268
未见合成,aco,synthetic_test__map_023,0.5752891156,0.5752891156,1,1,47.34362271
未见合成,full,synthetic_test__map_000,0.5032397959,0.5032397959,1,1,1.18158912
未见合成,full,synthetic_test__map_001,0.4389767574,0.4389767574,1,1,1.027440578
未见合成,full,synthetic_test__map_002,0.5195464853,0.5195464853,1,1,1.156763424
未见合成,full,synthetic_test__map_003,0.4614512472,0.4614512472,1,1,1.295393967
未见合成,full,synthetic_test__map_004,0.5085515873,0.5085515873,1,1,1.155224156
未见合成,full,synthetic_test__map_005,0.5093310658,0.5093310658,1,1,1.117544704
未见合成,full,synthetic_test__map_006,0.5069699546,0.5069699546,1,1,1.079539089
未见合成,full,synthetic_test__map_007,0.4527636054,0.4527636054,1,1,1.254775907
未见合成,full,synthetic_test__map_008,0.4826190476,0.4826190476,1,1,1.127256153
未见合成,full,synthetic_test__map_009,0.4686422902,0.4686422902,1,1,1.187822716
未见合成,full,synthetic_test__map_010,0.4832086168,0.4832086168,1,1,1.100727267
未见合成,full,synthetic_test__map_011,0.461292517,0.461292517,1,1,1.308986542
未见合成,full,synthetic_test__map_012,0.4838321995,0.4838321995,1,1,1.130113151
未见合成,full,synthetic_test__map_013,0.4916411565,0.4916411565,1,1,1.058998147
未见合成,full,synthetic_test__map_014,0.4642772109,0.4642772109,1,1,0.9911650178
未见合成,full,synthetic_test__map_015,0.4770124717,0.4770124717,1,1,1.235170756
未见合成,full,synthetic_test__map_016,0.4988690476,0.4988690476,1,1,1.176184431
未见合成,full,synthetic_test__map_017,0.479484127,0.479484127,1,1,1.288938122
未见合成,full,synthetic_test__map_018,0.4969897959,0.4969897959,1,1,1.099683449
未见合成,full,synthetic_test__map_019,0.4674659864,0.4674659864,1,1,1.266268051
未见合成,full,synthetic_test__map_020,0.5212018141,0.5212018141,1,1,1.22362536
未见合成,full,synthetic_test__map_021,0.4809013605,0.4809013605,1,1,1.162168447
未见合成,full,synthetic_test__map_022,0.4729988662,0.4729988662,1,1,1.030024689
未见合成,full,synthetic_test__map_023,0.5278854875,0.5278854875,1,1,1.372093484
未见合成,ga,synthetic_test__map_000,0.5015362812,0.5015362812,1,1,5.714900911
未见合成,ga,synthetic_test__map_001,0.4707482993,0.4707482993,1,1,5.429307958
未见合成,ga,synthetic_test__map_002,0.4899433107,0.4899433107,1,1,5.498395833
未见合成,ga,synthetic_test__map_003,0.4827437642,0.4827437642,1,1,5.681565964
未见合成,ga,synthetic_test__map_004,0.5069047619,0.5069047619,1,1,5.595652891
未见合成,ga,synthetic_test__map_005,0.5185345805,0.5185345805,1,1,5.616868544
未见合成,ga,synthetic_test__map_006,0.4865646259,0.4865646259,1,1,5.433901784
未见合成,ga,synthetic_test__map_007,0.4511252834,0.4511252834,1,1,5.548709669
未见合成,ga,synthetic_test__map_008,0.4830753968,0.4830753968,1,1,5.640808138
未见合成,ga,synthetic_test__map_009,0.4887981859,0.4887981859,1,1,5.29675908
未见合成,ga,synthetic_test__map_010,0.4505810658,0.4505810658,1,1,4.868580082
未见合成,ga,synthetic_test__map_011,0.4792176871,0.4792176871,1,1,5.643522727
未见合成,ga,synthetic_test__map_012,0.4936933107,0.4936933107,1,1,5.636538313
未见合成,ga,synthetic_test__map_013,0.4828911565,0.4828911565,1,1,5.349253564
未见合成,ga,synthetic_test__map_014,0.4219274376,0.4219274376,1,1,5.148249856
未见合成,ga,synthetic_test__map_015,0.4575368481,0.4575368481,1,1,5.533912778
未见合成,ga,synthetic_test__map_016,0.5050623583,0.5050623583,1,1,5.661315198
未见合成,ga,synthetic_test__map_017,0.5275198413,0.5275198413,1,1,5.65307112
未见合成,ga,synthetic_test__map_018,0.4937698413,0.4937698413,1,1,5.467844778
未见合成,ga,synthetic_test__map_019,0.500643424,0.500643424,1,1,5.642826711
未见合成,ga,synthetic_test__map_020,0.5208588435,0.5208588435,1,1,5.718290407
未见合成,ga,synthetic_test__map_021,0.4794331066,0.4794331066,1,1,5.501247304
未见合成,ga,synthetic_test__map_022,0.4899206349,0.4899206349,1,1,5.320743929
未见合成,ga,synthetic_test__map_023,0.5038265306,0.5038265306,1,1,5.752448564
未见合成,milp,synthetic_test__map_000,0.5581207483,0.5581207483,1,1,14.36368517
未见合成,milp,synthetic_test__map_001,0.5463151927,0.5463151927,1,1,29.40903873
未见合成,milp,synthetic_test__map_002,0.5989937642,0.5989937642,1,1,7.565945333
未见合成,milp,synthetic_test__map_003,0.5496456916,0.5496456916,1,1,29.56732579
未见合成,milp,synthetic_test__map_004,0.5722363946,0.5722363946,1,1,16.24141652
未见合成,milp,synthetic_test__map_005,0.5840419501,0.5840419501,1,1,24.04206166
未见合成,milp,synthetic_test__map_006,0.5909863946,0.5909863946,1,1,10.57077602
未见合成,milp,synthetic_test__map_007,0.5706207483,0.5706207483,1,1,32.39892637
未见合成,milp,synthetic_test__map_008,0.5485827664,0.5485827664,1,1,13.11023347
未见合成,milp,synthetic_test__map_009,0.5970946712,0.5970946712,1,1,30.91528946
未见合成,milp,synthetic_test__map_010,0.5804705215,0.5804705215,1,1,9.4364544
未见合成,milp,synthetic_test__map_011,0.5630243764,0.5630243764,1,1,34.98113814
未见合成,milp,synthetic_test__map_012,0.5395549887,0.5395549887,1,1,13.89677072
未见合成,milp,synthetic_test__map_013,0.5636763039,0.5636763039,1,1,17.92299324
未见合成,milp,synthetic_test__map_014,0.5489937642,0.5489937642,1,1,6.967432022
未见合成,milp,synthetic_test__map_015,0.5383503401,0.5383503401,1,1,26.72515757
未见合成,milp,synthetic_test__map_016,0.5798752834,0.5798752834,1,1,20.10405036
未见合成,milp,synthetic_test__map_017,0.5888038549,0.5888038549,1,1,32.20595981
未见合成,milp,synthetic_test__map_018,0.5761196145,0.5761196145,1,1,13.1328048
未见合成,milp,synthetic_test__map_019,0.572973356,0.572973356,1,1,28.69759817
未见合成,milp,synthetic_test__map_020,0.5933956916,0.5933956916,1,1,17.79260281
未见合成,milp,synthetic_test__map_021,0.5613095238,0.5613095238,1,1,25.092303
