domain,model,safe_weighted_coverage,planning_time_median_s,safe_rate
未见合成,a2c_pointer,0.485012637,1.113321101,1
未见合成,aco,0.5525048422,66.40988662,1
未见合成,full,0.4857980206,1.159465936,1
未见合成,milp,0.5710677674,19.0135218,1
未见合成,nearest_feasible,0.4539198318,3.207403961,1
未见合成,priority_resource_greedy,0.4509111631,3.095998933,1
未见合成,traditional_ppo,0.2686378023,0.7053071289,1
真实DSM,a2c_pointer,0.5024567744,1.194249879,1
真实DSM,aco,0.5599302012,46.46315002,1
真实DSM,full,0.5024440193,1.211986575,1
真实DSM,milp,0.5829365079,13.28607835,1
真实DSM,nearest_feasible,0.4843457696,3.128408206,1
真实DSM,priority_resource_greedy,0.4679129464,2.998344242,1
真实DSM,traditional_ppo,0.2658103033,0.7489766667,1
