algorithm,condition,family,robustness_drop_mean,robustness_drop_median,run_count,safe_weighted_coverage_mean,safe_weighted_coverage_median,condition_cn,family_cn,label
full,wind,known_domain_shift,0.001167091837,0,120,0.4867176871,0.46875,风,已知偏移,已知偏移·风
no_domain_randomization,wind,known_domain_shift,0.01132546769,0,120,0.4880059524,0.46875,风,已知偏移,已知偏移·风
full,power_model,known_domain_shift,0.01646471088,0,120,0.471420068,0.4432397959,功率,已知偏移,已知偏移·功率
no_domain_randomization,power_model,known_domain_shift,0.01660714286,0,120,0.4827242772,0.453125,功率,已知偏移,已知偏移·功率
full,wind,hidden_model_perception_mismatch,0.06233737245,0,120,0.4255474065,0.4375,风,隐藏误差,隐藏误差·风
no_domain_randomization,wind,hidden_model_perception_mismatch,0.07685055272,0,120,0.4224808673,0.453125,风,隐藏误差,隐藏误差·风
full,power_model,hidden_model_perception_mismatch,0.124872449,0,120,0.3630123299,0.425,功率,隐藏误差,隐藏误差·功率
no_domain_randomization,power_model,hidden_model_perception_mismatch,0.1469557823,0,120,0.3523756378,0.4285714286,功率,隐藏误差,隐藏误差·功率
full,dem_error,hidden_model_perception_mismatch,0.006724064626,0,120,0.4811607143,0.471875,DEM,隐藏误差,隐藏误差·DEM
no_domain_randomization,dem_error,hidden_model_perception_mismatch,0.00753295068,0,120,0.4917984694,0.475,DEM,隐藏误差,隐藏误差·DEM
full,localization,hidden_model_perception_mismatch,0.03970663265,0,120,0.4481781463,0.4375,定位,隐藏误差,隐藏误差·定位
no_domain_randomization,localization,hidden_model_perception_mismatch,0.05208545918,0,120,0.4472459609,0.4432397959,定位,隐藏误差,隐藏误差·定位
