domain,model,map_id,safe_weighted_coverage
未见合成,a2c_pointer,synthetic_test__map_000,0.4983333333
未见合成,a2c_pointer,synthetic_test__map_001,0.4354960317
未见合成,a2c_pointer,synthetic_test__map_002,0.5201303855
未见合成,a2c_pointer,synthetic_test__map_003,0.4683673469
未见合成,a2c_pointer,synthetic_test__map_004,0.5043225624
未见合成,a2c_pointer,synthetic_test__map_005,0.5090986395
未见合成,a2c_pointer,synthetic_test__map_006,0.5014597506
未见合成,a2c_pointer,synthetic_test__map_007,0.4518282313
未见合成,a2c_pointer,synthetic_test__map_008,0.479824263
未见合成,a2c_pointer,synthetic_test__map_009,0.4631632653
未见合成,a2c_pointer,synthetic_test__map_010,0.4801530612
未见合成,a2c_pointer,synthetic_test__map_011,0.4705782313
未见合成,a2c_pointer,synthetic_test__map_012,0.4889795918
未见合成,a2c_pointer,synthetic_test__map_013,0.4891950113
未见合成,a2c_pointer,synthetic_test__map_014,0.467239229
未见合成,a2c_pointer,synthetic_test__map_015,0.4725595238
未见合成,a2c_pointer,synthetic_test__map_016,0.4956292517
未见合成,a2c_pointer,synthetic_test__map_017,0.4719274376
未见合成,a2c_pointer,synthetic_test__map_018,0.4981207483
未见合成,a2c_pointer,synthetic_test__map_019,0.450303288
未见合成,a2c_pointer,synthetic_test__map_020,0.5196825397
未见合成,a2c_pointer,synthetic_test__map_021,0.4910289116
未见合成,a2c_pointer,synthetic_test__map_022,0.474478458
未见合成,a2c_pointer,synthetic_test__map_023,0.538404195
未见合成,full,synthetic_test__map_000,0.5032397959
未见合成,full,synthetic_test__map_001,0.4389767574
未见合成,full,synthetic_test__map_002,0.5195464853
未见合成,full,synthetic_test__map_003,0.4614512472
未见合成,full,synthetic_test__map_004,0.5085515873
未见合成,full,synthetic_test__map_005,0.5093310658
未见合成,full,synthetic_test__map_006,0.5069699546
未见合成,full,synthetic_test__map_007,0.4527636054
未见合成,full,synthetic_test__map_008,0.4826190476
未见合成,full,synthetic_test__map_009,0.4686422902
未见合成,full,synthetic_test__map_010,0.4832086168
未见合成,full,synthetic_test__map_011,0.461292517
未见合成,full,synthetic_test__map_012,0.4838321995
未见合成,full,synthetic_test__map_013,0.4916411565
未见合成,full,synthetic_test__map_014,0.4642772109
未见合成,full,synthetic_test__map_015,0.4770124717
未见合成,full,synthetic_test__map_016,0.4988690476
未见合成,full,synthetic_test__map_017,0.479484127
未见合成,full,synthetic_test__map_018,0.4969897959
未见合成,full,synthetic_test__map_019,0.4674659864
未见合成,full,synthetic_test__map_020,0.5212018141
未见合成,full,synthetic_test__map_021,0.4809013605
未见合成,full,synthetic_test__map_022,0.4729988662
未见合成,full,synthetic_test__map_023,0.5278854875
未见合成,traditional_ppo,synthetic_test__map_000,0.294872449
未见合成,traditional_ppo,synthetic_test__map_001,0.2681972789
未见合成,traditional_ppo,synthetic_test__map_002,0.269696712
未见合成,traditional_ppo,synthetic_test__map_003,0.2355725624
未见合成,traditional_ppo,synthetic_test__map_004,0.2866326531
未见合成,traditional_ppo,synthetic_test__map_005,0.2729591837
未见合成,traditional_ppo,synthetic_test__map_006,0.2435005669
未见合成,traditional_ppo,synthetic_test__map_007,0.2735629252
未见合成,traditional_ppo,synthetic_test__map_008,0.2974178005
未见合成,traditional_ppo,synthetic_test__map_009,0.2543764172
未见合成,traditional_ppo,synthetic_test__map_010,0.2415617914
未见合成,traditional_ppo,synthetic_test__map_011,0.2783361678
未见合成,traditional_ppo,synthetic_test__map_012,0.2917687075
未见合成,traditional_ppo,synthetic_test__map_013,0.2609410431
未见合成,traditional_ppo,synthetic_test__map_014,0.2335260771
未见合成,traditional_ppo,synthetic_test__map_015,0.2513151927
未见合成,traditional_ppo,synthetic_test__map_016,0.2853628118
未见合成,traditional_ppo,synthetic_test__map_017,0.2791099773
未见合成,traditional_ppo,synthetic_test__map_018,0.2462726757
未见合成,traditional_ppo,synthetic_test__map_019,0.257675737
未见合成,traditional_ppo,synthetic_test__map_020,0.3040419501
未见合成,traditional_ppo,synthetic_test__map_021,0.2829365079
未见合成,traditional_ppo,synthetic_test__map_022,0.2728486395
未见合成,traditional_ppo,synthetic_test__map_023,0.2648214286
