algorithm,condition,family,robustness_drop_mean,robustness_drop_median,run_count,safe_weighted_coverage_mean,safe_weighted_coverage_median
full,wind,known_domain_shift,0.001167091837,0,120,0.4867176871,0.46875
traditional_ppo,wind,known_domain_shift,0.001565688776,0,120,0.2631887755,0.2576530612
a2c_pointer,wind,known_domain_shift,0.008339710884,0,120,0.4833769133,0.4432397959
no_domain_randomization,wind,known_domain_shift,0.01132546769,0,120,0.4880059524,0.46875
full,power_model,known_domain_shift,0.01646471088,0,120,0.471420068,0.4432397959
traditional_ppo,power_model,known_domain_shift,0.005833333333,0,120,0.258921131,0.25
a2c_pointer,power_model,known_domain_shift,0.01544430272,0,120,0.4762723214,0.4375
no_domain_randomization,power_model,known_domain_shift,0.01660714286,0,120,0.4827242772,0.453125
full,wind,hidden_model_perception_mismatch,0.06233737245,0,120,0.4255474065,0.4375
traditional_ppo,wind,hidden_model_perception_mismatch,0.03363095238,0,120,0.2311235119,0.25
a2c_pointer,wind,hidden_model_perception_mismatch,0.1081292517,0,120,0.3835873724,0.4285714286
no_domain_randomization,wind,hidden_model_perception_mismatch,0.07685055272,0,120,0.4224808673,0.453125
no_return_reserve,wind,hidden_model_perception_mismatch,0,0,120,0.112046131,0.0625
full,power_model,hidden_model_perception_mismatch,0.124872449,0,120,0.3630123299,0.425
traditional_ppo,power_model,hidden_model_perception_mismatch,0.06833120748,0,120,0.1964232568,0.21875
a2c_pointer,power_model,hidden_model_perception_mismatch,0.1450807823,0,120,0.3466358418,0.425
no_domain_randomization,power_model,hidden_model_perception_mismatch,0.1469557823,0,120,0.3523756378,0.4285714286
no_return_reserve,power_model,hidden_model_perception_mismatch,0,0,120,0.112046131,0.0625
full,dem_error,hidden_model_perception_mismatch,0.006724064626,0,120,0.4811607143,0.471875
traditional_ppo,dem_error,hidden_model_perception_mismatch,0.005481505102,0,120,0.2592729592,0.25
a2c_pointer,dem_error,hidden_model_perception_mismatch,0.003471513605,0,120,0.4882451105,0.46875
no_domain_randomization,dem_error,hidden_model_perception_mismatch,0.00753295068,0,120,0.4917984694,0.475
no_return_reserve,dem_error,hidden_model_perception_mismatch,-0.0002848639456,0,120,0.1123309949,0.0625
full,localization,hidden_model_perception_mismatch,0.03970663265,0,120,0.4481781463,0.4375
traditional_ppo,localization,hidden_model_perception_mismatch,0.02897108844,0,120,0.2357833759,0.25
a2c_pointer,localization,hidden_model_perception_mismatch,0.03790816327,0,120,0.4538084609,0.4375
no_domain_randomization,localization,hidden_model_perception_mismatch,0.05208545918,0,120,0.4472459609,0.4432397959
no_return_reserve,localization,hidden_model_perception_mismatch,0.0002604166667,0,120,0.1117857143,0.084375
