algorithm,factor,level,mean,median,role,run_count,statistical_family
full,node_count,16,0.5066840278,0.46875,exploratory,360,synthetic_main_algorithms
traditional_ppo,node_count,16,0.3071180556,0.3125,exploratory,360,synthetic_main_algorithms
a2c_pointer,node_count,16,0.5061631944,0.5,exploratory,360,synthetic_main_algorithms
full,node_count,20,0.4742361111,0.5,exploratory,360,synthetic_main_algorithms
traditional_ppo,node_count,20,0.2659722222,0.275,exploratory,360,synthetic_main_algorithms
a2c_pointer,node_count,20,0.4731944444,0.5,exploratory,360,synthetic_main_algorithms
full,node_count,24,0.4764739229,0.4693877551,exploratory,360,synthetic_main_algorithms
traditional_ppo,node_count,24,0.2328231293,0.2244897959,exploratory,360,synthetic_main_algorithms
a2c_pointer,node_count,24,0.4756802721,0.4693877551,exploratory,360,synthetic_main_algorithms
full,node_count,16,0.5066840278,0.46875,exploratory,360,synthetic_ablations
no_priority_bias,node_count,16,0.5046006944,0.46875,exploratory,360,synthetic_ablations
no_domain_randomization,node_count,16,0.5041666667,0.46875,exploratory,360,synthetic_ablations
no_resource_shaping,node_count,16,0.5017361111,0.46875,exploratory,360,synthetic_ablations
no_return_reserve,node_count,16,0.1133680556,0.09375,exploratory,360,synthetic_ablations
full,node_count,20,0.4742361111,0.5,exploratory,360,synthetic_ablations
no_priority_bias,node_count,20,0.4742361111,0.5,exploratory,360,synthetic_ablations
no_domain_randomization,node_count,20,0.4736805556,0.5,exploratory,360,synthetic_ablations
no_resource_shaping,node_count,20,0.4744444444,0.5,exploratory,360,synthetic_ablations
no_return_reserve,node_count,20,0.1084722222,0.1,exploratory,360,synthetic_ablations
full,node_count,24,0.4764739229,0.4693877551,exploratory,360,synthetic_ablations
no_priority_bias,node_count,24,0.4755102041,0.4693877551,exploratory,360,synthetic_ablations
no_domain_randomization,node_count,24,0.4759637188,0.4693877551,exploratory,360,synthetic_ablations
no_resource_shaping,node_count,24,0.4759070295,0.4693877551,exploratory,360,synthetic_ablations
no_return_reserve,node_count,24,0.1181972789,0.09183673469,exploratory,360,synthetic_ablations
full,node_count,16,0.5239583333,0.5,exploratory,240,real_main_algorithms
traditional_ppo,node_count,16,0.3111979167,0.3125,exploratory,240,real_main_algorithms
a2c_pointer,node_count,16,0.5229166667,0.53125,exploratory,240,real_main_algorithms
full,node_count,20,0.4886458333,0.475,exploratory,240,real_main_algorithms
traditional_ppo,node_count,20,0.2495833333,0.25,exploratory,240,real_main_algorithms
a2c_pointer,node_count,20,0.4857291667,0.475,exploratory,240,real_main_algorithms
full,node_count,24,0.4947278912,0.4897959184,exploratory,240,real_main_algorithms
traditional_ppo,node_count,24,0.2366496599,0.2244897959,exploratory,240,real_main_algorithms
a2c_pointer,node_count,24,0.4987244898,0.4693877551,exploratory,240,real_main_algorithms
full,node_count,16,0.5239583333,0.5,exploratory,240,real_ablations
no_priority_bias,node_count,16,0.5247395833,0.53125,exploratory,240,real_ablations
no_domain_randomization,node_count,16,0.5225260417,0.5,exploratory,240,real_ablations
no_resource_shaping,node_count,16,0.523046875,0.5,exploratory,240,real_ablations
no_return_reserve,node_count,16,0.096875,0.0625,exploratory,240,real_ablations
full,node_count,20,0.4886458333,0.475,exploratory,240,real_ablations
no_priority_bias,node_count,20,0.488125,0.475,exploratory,240,real_ablations
no_domain_randomization,node_count,20,0.4863541667,0.475,exploratory,240,real_ablations
no_resource_shaping,node_count,20,0.4860416667,0.475,exploratory,240,real_ablations
no_return_reserve,node_count,20,0.1122916667,0.075,exploratory,240,real_ablations
full,node_count,24,0.4947278912,0.4897959184,exploratory,240,real_ablations
no_priority_bias,node_count,24,0.4963435374,0.4897959184,exploratory,240,real_ablations
no_domain_randomization,node_count,24,0.4956632653,0.4693877551,exploratory,240,real_ablations
no_resource_shaping,node_count,24,0.4979591837,0.4897959184,exploratory,240,real_ablations
no_return_reserve,node_count,24,0.1270408163,0.08163265306,exploratory,240,real_ablations
full,node_count,16,0.4546875,0.40625,exploratory,80,known_domain_shift
traditional_ppo,node_count,16,0.286328125,0.28125,exploratory,80,known_domain_shift
a2c_pointer,node_count,16,0.45859375,0.4375,exploratory,80,known_domain_shift
no_domain_randomization,node_count,16,0.457421875,0.40625,exploratory,80,known_domain_shift
full,node_count,20,0.4784375,0.5,exploratory,80,known_domain_shift
traditional_ppo,node_count,20,0.255,0.25,exploratory,80,known_domain_shift
a2c_pointer,node_count,20,0.493125,0.525,exploratory,80,known_domain_shift
no_domain_randomization,node_count,20,0.49,0.5,exploratory,80,known_domain_shift
full,node_count,24,0.5040816327,0.4489795918,exploratory,80,known_domain_shift
traditional_ppo,node_count,24,0.2418367347,0.2653061224,exploratory,80,known_domain_shift
a2c_pointer,node_count,24,0.487755102,0.4285714286,exploratory,80,known_domain_shift
no_domain_randomization,node_count,24,0.5086734694,0.4591836735,exploratory,80,known_domain_shift
full,node_count,16,0.4154296875,0.40625,exploratory,160,hidden_model_perception_mismatch
traditional_ppo,node_count,16,0.2470703125,0.25,exploratory,160,hidden_model_perception_mismatch
a2c_pointer,node_count,16,0.402734375,0.4375,exploratory,160,hidden_model_perception_mismatch
no_domain_randomization,node_count,16,0.410546875,0.4375,exploratory,160,hidden_model_perception_mismatch
no_return_reserve,node_count,16,0.0974609375,0.0625,exploratory,160,hidden_model_perception_mismatch
full,node_count,20,0.39046875,0.475,exploratory,160,hidden_model_perception_mismatch
traditional_ppo,node_count,20,0.21796875,0.225,exploratory,160,hidden_model_perception_mismatch
