algorithm,factor,level,mean,median,role,run_count,statistical_family
full,constraint_type,energy,0.4991472978,0.5306122449,exploratory,270,synthetic_main_algorithms
traditional_ppo,constraint_type,energy,0.2781391723,0.275,exploratory,270,synthetic_main_algorithms
a2c_pointer,constraint_type,energy,0.5024461451,0.55,exploratory,270,synthetic_main_algorithms
full,constraint_type,distance,0.4667101285,0.45,exploratory,270,synthetic_main_algorithms
traditional_ppo,constraint_type,distance,0.258835034,0.25,exploratory,270,synthetic_main_algorithms
a2c_pointer,constraint_type,distance,0.4625099206,0.45,exploratory,270,synthetic_main_algorithms
full,constraint_type,time,0.4993414588,0.4823979592,exploratory,270,synthetic_main_algorithms
traditional_ppo,constraint_type,time,0.2747118292,0.275,exploratory,270,synthetic_main_algorithms
a2c_pointer,constraint_type,time,0.4974811036,0.4897959184,exploratory,270,synthetic_main_algorithms
full,constraint_type,mixed,0.4779931973,0.4693877551,exploratory,270,synthetic_main_algorithms
traditional_ppo,constraint_type,mixed,0.2628651738,0.2653061224,exploratory,270,synthetic_main_algorithms
a2c_pointer,constraint_type,mixed,0.4776133787,0.4693877551,exploratory,270,synthetic_main_algorithms
full,constraint_type,energy,0.4991472978,0.5306122449,exploratory,270,synthetic_ablations
no_priority_bias,constraint_type,energy,0.4992124906,0.525,exploratory,270,synthetic_ablations
no_domain_randomization,constraint_type,energy,0.4947963908,0.5176020408,exploratory,270,synthetic_ablations
no_resource_shaping,constraint_type,energy,0.5022434807,0.5403061224,exploratory,270,synthetic_ablations
no_return_reserve,constraint_type,energy,0.1241317082,0.1224489796,exploratory,270,synthetic_ablations
full,constraint_type,distance,0.4667101285,0.45,exploratory,270,synthetic_ablations
no_priority_bias,constraint_type,distance,0.4693409864,0.45,exploratory,270,synthetic_ablations
no_domain_randomization,constraint_type,distance,0.4691945389,0.459375,exploratory,270,synthetic_ablations
no_resource_shaping,constraint_type,distance,0.4616964286,0.45,exploratory,270,synthetic_ablations
no_return_reserve,constraint_type,distance,0.1092970522,0.09375,exploratory,270,synthetic_ablations
full,constraint_type,time,0.4993414588,0.4823979592,exploratory,270,synthetic_ablations
no_priority_bias,constraint_type,time,0.4981349206,0.5,exploratory,270,synthetic_ablations
no_domain_randomization,constraint_type,time,0.5001535336,0.475,exploratory,270,synthetic_ablations
no_resource_shaping,constraint_type,time,0.4981122449,0.475,exploratory,270,synthetic_ablations
no_return_reserve,constraint_type,time,0.1291572184,0.1224489796,exploratory,270,synthetic_ablations
full,constraint_type,mixed,0.4779931973,0.4693877551,exploratory,270,synthetic_ablations
no_priority_bias,constraint_type,mixed,0.4724409486,0.4693877551,exploratory,270,synthetic_ablations
no_domain_randomization,constraint_type,mixed,0.4742701247,0.4693877551,exploratory,270,synthetic_ablations
no_resource_shaping,constraint_type,mixed,0.4740646259,0.4693877551,exploratory,270,synthetic_ablations
no_return_reserve,constraint_type,mixed,0.09079743008,0.0612244898,exploratory,270,synthetic_ablations
full,constraint_type,energy,0.5093778345,0.5,exploratory,180,real_main_algorithms
traditional_ppo,constraint_type,energy,0.2631349206,0.2653061224,exploratory,180,real_main_algorithms
a2c_pointer,constraint_type,energy,0.5107234977,0.5,exploratory,180,real_main_algorithms
full,constraint_type,distance,0.4715511621,0.4432397959,exploratory,180,real_main_algorithms
traditional_ppo,constraint_type,distance,0.2506299603,0.25,exploratory,180,real_main_algorithms
a2c_pointer,constraint_type,distance,0.4718218537,0.45,exploratory,180,real_main_algorithms
full,constraint_type,time,0.5218197279,0.53125,exploratory,180,real_main_algorithms
traditional_ppo,constraint_type,time,0.2699007937,0.275,exploratory,180,real_main_algorithms
a2c_pointer,constraint_type,time,0.5219699546,0.53125,exploratory,180,real_main_algorithms
full,constraint_type,mixed,0.5070273526,0.4897959184,exploratory,180,real_main_algorithms
traditional_ppo,constraint_type,mixed,0.2795755385,0.28125,exploratory,180,real_main_algorithms
a2c_pointer,constraint_type,mixed,0.5053117914,0.4897959184,exploratory,180,real_main_algorithms
full,constraint_type,energy,0.5093778345,0.5,exploratory,180,real_ablations
no_priority_bias,constraint_type,energy,0.5081831066,0.5,exploratory,180,real_ablations
no_domain_randomization,constraint_type,energy,0.5042106009,0.475,exploratory,180,real_ablations
no_resource_shaping,constraint_type,energy,0.5089413265,0.5,exploratory,180,real_ablations
no_return_reserve,constraint_type,energy,0.1268090986,0.1,exploratory,180,real_ablations
full,constraint_type,distance,0.4715511621,0.4432397959,exploratory,180,real_ablations
no_priority_bias,constraint_type,distance,0.4743813776,0.4375,exploratory,180,real_ablations
no_domain_randomization,constraint_type,distance,0.4675212585,0.45,exploratory,180,real_ablations
no_resource_shaping,constraint_type,distance,0.4674383503,0.4375,exploratory,180,real_ablations
no_return_reserve,constraint_type,distance,0.1168813776,0.07206632653,exploratory,180,real_ablations
full,constraint_type,time,0.5218197279,0.53125,exploratory,180,real_ablations
no_priority_bias,constraint_type,time,0.518494898,0.53125,exploratory,180,real_ablations
no_domain_randomization,constraint_type,time,0.529180839,0.5309311224,exploratory,180,real_ablations
no_resource_shaping,constraint_type,time,0.5260593821,0.53125,exploratory,180,real_ablations
no_return_reserve,constraint_type,time,0.1120819161,0.0625,exploratory,180,real_ablations
full,constraint_type,mixed,0.5070273526,0.4897959184,exploratory,180,real_ablations
no_priority_bias,constraint_type,mixed,0.5112181122,0.4897959184,exploratory,180,real_ablations
no_domain_randomization,constraint_type,mixed,0.5051452664,0.4897959184,exploratory,180,real_ablations
no_resource_shaping,constraint_type,mixed,0.5069579082,0.4823979592,exploratory,180,real_ablations
no_return_reserve,constraint_type,mixed,0.0925042517,0.06875,exploratory,180,real_ablations
full,constraint_type,distance,0.4557823129,0.4285714286,exploratory,60,known_domain_shift
traditional_ppo,constraint_type,distance,0.2670535714,0.221875,exploratory,60,known_domain_shift
a2c_pointer,constraint_type,distance,0.4631802721,0.4285714286,exploratory,60,known_domain_shift
no_domain_randomization,constraint_type,distance,0.4641985544,0.4285714286,exploratory,60,known_domain_shift
full,constraint_type,energy,0.4097342687,0.375,exploratory,60,known_domain_shift
traditional_ppo,constraint_type,energy,0.2372278912,0.25,exploratory,60,known_domain_shift
a2c_pointer,constraint_type,energy,0.410255102,0.375,exploratory,60,known_domain_shift
no_domain_randomization,constraint_type,energy,0.4142134354,0.3875,exploratory,60,known_domain_shift
full,constraint_type,time,0.5019339923,0.525,exploratory,80,known_domain_shift
traditional_ppo,constraint_type,time,0.262989477,0.25,exploratory,80,known_domain_shift
a2c_pointer,constraint_type,time,0.5026817602,0.525,exploratory,80,known_domain_shift
no_domain_randomization,constraint_type,time,0.5119419643,0.525,exploratory,80,known_domain_shift
full,constraint_type,mixed,0.5722704082,0.568622449,exploratory,40,known_domain_shift
traditional_ppo,constraint_type,mixed,0.2839285714,0.2857142857,exploratory,40,known_domain_shift
a2c_pointer,constraint_type,mixed,0.5634311224,0.525,exploratory,40,known_domain_shift
no_domain_randomization,constraint_type,mixed,0.5706887755,0.5709183673,exploratory,40,known_domain_shift
full,constraint_type,distance,0.4203252551,0.4285714286,exploratory,120,hidden_model_perception_mismatch
traditional_ppo,constraint_type,distance,0.2511245748,0.21875,exploratory,120,hidden_model_perception_mismatch
a2c_pointer,constraint_type,distance,0.4231696429,0.4285714286,exploratory,120,hidden_model_perception_mismatch
no_domain_randomization,constraint_type,distance,0.4196375425,0.4285714286,exploratory,120,hidden_model_perception_mismatch
no_return_reserve,constraint_type,distance,0.1080867347,0.0618622449,exploratory,120,hidden_model_perception_mismatch
full,constraint_type,energy,0.2959194303,0.375,exploratory,120,hidden_model_perception_mismatch
traditional_ppo,constraint_type,energy,0.1495843963,0.1464285714,exploratory,120,hidden_model_perception_mismatch
a2c_pointer,constraint_type,energy,0.2740444303,0.3469387755,exploratory,120,hidden_model_perception_mismatch
no_domain_randomization,constraint_type,energy,0.2835235969,0.3469387755,exploratory,120,hidden_model_perception_mismatch
no_return_reserve,constraint_type,energy,0.1093739371,0.07206632653,exploratory,120,hidden_model_perception_mismatch
full,constraint_type,time,0.4705197704,0.525,exploratory,160,hidden_model_perception_mismatch
traditional_ppo,constraint_type,time,0.250731824,0.25,exploratory,160,hidden_model_perception_mismatch
a2c_pointer,constraint_type,time,0.4652415497,0.4792729592,exploratory,160,hidden_model_perception_mismatch
no_domain_randomization,constraint_type,time,0.4801658163,0.525,exploratory,160,hidden_model_perception_mismatch
no_return_reserve,constraint_type,time,0.1182716837,0.09375,exploratory,160,hidden_model_perception_mismatch
full,constraint_type,mixed,0.5614413265,0.5,exploratory,80,hidden_model_perception_mismatch
traditional_ppo,constraint_type,mixed,0.281377551,0.2857142857,exploratory,80,hidden_model_perception_mismatch
a2c_pointer,constraint_type,mixed,0.5321109694,0.5176020408,exploratory,80,hidden_model_perception_mismatch
no_domain_randomization,constraint_type,mixed,0.5557780612,0.5,exploratory,80,hidden_model_perception_mismatch
no_return_reserve,constraint_type,mixed,0.1095790816,0.08163265306,exploratory,80,hidden_model_perception_mismatch
