model,training_seed,environment_interactions,mean_weighted_coverage
full,42,66,0.193359375
full,42,142,0.196875
full,42,244,0.2308673469
full,42,328,0.255859375
full,42,437,0.321875
full,42,538,0.2448979592
full,42,632,0.380859375
full,42,741,0.353125
full,42,868,0.3596938776
full,42,964,0.375
full,42,1086,0.415625
full,42,1231,0.4145408163
full,42,1339,0.458984375
full,42,1465,0.409375
full,42,1606,0.4017857143
full,42,1682,0.4875
full,42,1812,0.425
full,42,1952,0.4094387755
full,42,2072,0.4921875
full,42,2192,0.39375
full,42,2328,0.3928571429
full,42,2455,0.53515625
full,42,2585,0.4578125
full,42,2732,0.3966836735
full,42,2853,0.494140625
full,42,2977,0.403125
full,42,3104,0.3431122449
full,42,3217,0.423828125
full,42,3353,0.4328125
full,42,3499,0.3992346939
full,42,3632,0.513671875
full,42,3713,0.4375
full,42,3869,0.4362244898
full,42,3981,0.431640625
full,42,4123,0.49375
full,42,4292,0.450255102
full,42,4403,0.4453125
full,42,4530,0.4265625
full,42,4675,0.4221938776
full,42,4788,0.439453125
full,42,4935,0.4515625
full,42,5100,0.431122449
full,42,5240,0.544921875
full,42,5388,0.4578125
full,42,5555,0.4553571429
full,42,5674,0.4765625
full,42,5813,0.425
full,42,5976,0.4681122449
full,42,6110,0.494140625
full,42,6245,0.4296875
full,42,6412,0.4387755102
full,42,6548,0.498046875
full,42,6694,0.4765625
full,42,6885,0.487244898
full,42,7025,0.505859375
full,42,7195,0.4984375
full,42,7361,0.4030612245
full,42,7496,0.482421875
full,42,7646,0.434375
full,42,7831,0.4961734694
full,42,7956,0.458984375
full,42,8112,0.503125
full,42,8285,0.4413265306
full,42,8319,0.5546875
full,42,8465,0.4140625
full,42,8636,0.3966836735
full,42,8761,0.439453125
full,42,8912,0.44375
full,42,9092,0.4630102041
full,42,9210,0.439453125
full,42,9356,0.45625
full,42,9534,0.4323979592
full,42,9673,0.517578125
full,42,9832,0.5046875
full,42,9997,0.4234693878
full,42,10105,0.38671875
full,42,10257,0.475
full,42,10400,0.3788265306
full,42,10520,0.44140625
full,42,10685,0.525
full,42,10844,0.4234693878
full,42,10964,0.447265625
full,42,11098,0.4125
full,42,11259,0.4323979592
full,42,11374,0.453125
full,42,11522,0.471875
full,42,11697,0.4693877551
full,42,11821,0.4765625
full,42,11958,0.4421875
full,42,12093,0.3839285714
full,42,12201,0.435546875
