model,training_seed,environment_interactions,return_rate
full,42,66,1
full,42,142,1
full,42,244,1
full,42,328,1
full,42,437,1
full,42,538,1
full,42,632,1
full,42,741,1
full,42,868,1
full,42,964,1
full,42,1086,1
full,42,1231,1
full,42,1339,1
full,42,1465,1
full,42,1606,1
full,42,1682,1
full,42,1812,1
full,42,1952,1
full,42,2072,1
full,42,2192,1
full,42,2328,1
full,42,2455,1
full,42,2585,1
full,42,2732,1
full,42,2853,1
full,42,2977,1
full,42,3104,1
full,42,3217,1
full,42,3353,1
full,42,3499,1
full,42,3632,1
full,42,3713,1
full,42,3869,1
full,42,3981,1
full,42,4123,1
full,42,4292,1
full,42,4403,1
full,42,4530,1
full,42,4675,1
full,42,4788,1
full,42,4935,1
full,42,5100,1
full,42,5240,1
full,42,5388,1
full,42,5555,1
full,42,5674,1
full,42,5813,1
full,42,5976,1
full,42,6110,1
full,42,6245,1
full,42,6412,1
full,42,6548,1
full,42,6694,1
full,42,6885,1
full,42,7025,1
full,42,7195,1
full,42,7361,1
full,42,7496,1
full,42,7646,1
full,42,7831,1
full,42,7956,1
full,42,8112,1
full,42,8285,1
full,42,8319,1
full,42,8465,1
full,42,8636,1
full,42,8761,1
full,42,8912,1
full,42,9092,1
full,42,9210,1
full,42,9356,1
full,42,9534,1
full,42,9673,1
full,42,9832,1
full,42,9997,1
full,42,10105,1
full,42,10257,1
full,42,10400,1
full,42,10520,1
full,42,10685,1
full,42,10844,1
full,42,10964,1
full,42,11098,1
full,42,11259,1
full,42,11374,1
full,42,11522,1
full,42,11697,1
full,42,11821,1
full,42,11958,1
full,42,12093,1
full,42,12201,1
full,42,12348,1
full,42,12527,1
full,42,12652,1
full,42,12801,1
full,42,12844,1
full,42,12979,1
full,42,13115,1
full,42,13286,1
full,42,13403,1
full,42,13554,1
full,42,13712,1
full,42,13851,1
full,42,14004,1
full,42,14152,1
full,42,14282,1
full,42,14422,1
full,42,14604,1
full,42,14733,1
full,42,14885,1
full,42,15061,1
full,42,15190,1
full,42,15328,1
full,42,15505,1
full,42,15636,1
full,42,15785,1
full,42,15954,1
full,42,16090,1
full,42,16250,1
full,42,16416,1
full,42,16534,1
full,42,16680,1
full,42,16854,1
full,42,16979,1
full,42,17132,1
full,42,17313,1
full,42,17452,1
full,42,17497,1
full,42,17657,1
full,42,17785,1
full,42,17916,1
full,42,18095,1
full,42,18213,1
full,42,18371,1
full,42,18555,1
full,42,18696,1
full,42,18841,1
full,42,19020,1
full,42,19149,1
full,42,19298,1
full,42,19488,1
full,42,19601,1
full,42,19774,1
full,42,19946,1
full,42,20075,1
full,42,20241,1
full,42,20409,1
full,42,20536,1
full,42,20688,1
full,42,20845,1
full,42,20985,1
full,42,21135,1
full,42,21298,1
full,42,21414,1
full,42,21556,1
full,42,21710,1
full,42,21832,1
full,42,21985,1
full,42,22151,1
full,42,22179,1
full,42,22329,1
full,42,22497,1
full,42,22623,1
full,42,22754,1
full,42,22931,1
full,42,23049,1
full,42,23202,1
full,42,23373,1
full,42,23487,1
full,42,23608,1
full,42,23762,1
full,42,23893,1
full,42,24044,1
full,42,24217,1
full,42,24347,1
full,42,24493,1
full,42,24666,1
full,42,24803,1
full,42,24954,1
full,42,25114,1
full,42,25241,1
full,42,25382,1
full,42,25555,1
full,42,25668,1
full,42,25815,1
full,42,25939,1
full,42,26073,1
full,42,26209,1
full,42,26361,1
full,42,26487,1
full,42,26632,1
full,42,26679,1
full,43,78,1
full,43,156,1
full,43,248,1
full,43,326,1
full,43,439,1
full,43,542,1
full,43,626,1
full,43,736,1
full,43,864,1
full,43,958,1
full,43,1064,1
full,43,1207,1
full,43,1314,1
full,43,1452,1
full,43,1594,1
full,43,1675,1
full,43,1808,1
full,43,1938,1
full,43,2039,1
full,43,2182,1
full,43,2337,1
full,43,2461,1
full,43,2607,1
full,43,2764,1
full,43,2887,1
full,43,3032,1
full,43,3199,1
full,43,3323,1
full,43,3451,1
full,43,3602,1
full,43,3729,1
full,43,3816,1
full,43,3983,1
full,43,4100,1
full,43,4244,1
full,43,4399,1
full,43,4531,1
full,43,4676,1
full,43,4819,1
full,43,4946,1
full,43,5087,1
full,43,5252,1
full,43,5367,1
full,43,5515,1
full,43,5685,1
full,43,5820,1
full,43,5978,1
full,43,6116,1
full,43,6247,1
full,43,6390,1
full,43,6546,1
full,43,6665,1
full,43,6799,1
full,43,6971,1
full,43,7083,1
full,43,7232,1
full,43,7409,1
full,43,7541,1
full,43,7676,1
full,43,7831,1
full,43,7949,1
full,43,8106,1
full,43,8271,1
full,43,8300,1
full,43,8453,1
full,43,8626,1
full,43,8741,1
full,43,8869,1
full,43,9039,1
full,43,9177,1
full,43,9315,1
full,43,9481,1
full,43,9602,1
full,43,9739,1
full,43,9905,1
full,43,10033,1
full,43,10178,1
full,43,10341,1
full,43,10454,1
full,43,10595,1
full,43,10730,1
full,43,10846,1
full,43,10999,1
full,43,11165,1
full,43,11279,1
full,43,11396,1
full,43,11562,1
full,43,11670,1
full,43,11825,1
full,43,11996,1
full,43,12130,1
full,43,12284,1
full,43,12426,1
full,43,12547,1
full,43,12682,1
full,43,12722,1
full,43,12844,1
full,43,12997,1
full,43,13185,1
full,43,13306,1
full,43,13438,1
full,43,13599,1
full,43,13728,1
full,43,13860,1
full,43,14026,1
full,43,14148,1
full,43,14302,1
full,43,14452,1
full,43,14581,1
full,43,14711,1
full,43,14878,1
full,43,15011,1
full,43,15152,1
full,43,15317,1
full,43,15445,1
full,43,15598,1
full,43,15755,1
full,43,15889,1
full,43,16046,1
full,43,16218,1
full,43,16344,1
full,43,16490,1
full,43,16638,1
full,43,16753,1
full,43,16897,1
full,43,17046,1
full,43,17167,1
full,43,17201,1
full,43,17359,1
full,43,17474,1
full,43,17618,1
full,43,17789,1
full,43,17911,1
full,43,18067,1
full,43,18234,1
full,43,18344,1
full,43,18478,1
full,43,18653,1
full,43,18766,1
full,43,18914,1
full,43,19096,1
full,43,19225,1
full,43,19374,1
full,43,19543,1
full,43,19671,1
full,43,19821,1
full,43,19974,1
full,43,20123,1
full,43,20270,1
full,43,20433,1
full,43,20558,1
full,43,20709,1
full,43,20878,1
