aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model,operational_floor
arithmetic,0.04009623095,1247,79.34032731,1.959903769,71.01040678,60.70769492,a2c_pointer,0
arithmetic,0.959903769,1247,79.93620825,1.040096231,71.2734606,60.60408133,full,0
arithmetic,0,1247,70.91776148,3,56.472345,43.29183443,traditional_ppo,0
arithmetic,0.01202886929,1247,78.80743779,1.987971131,70.56574863,60.48704319,a2c_pointer,0.2
arithmetic,0.9879711307,1247,79.59485679,1.012028869,70.95776028,60.44488884,full,0.2
arithmetic,0,1247,69.75037292,3,54.33246246,39.61516077,traditional_ppo,0.2
arithmetic,0,1247,77.99610174,2,69.82465172,60.11929029,a2c_pointer,0.4
arithmetic,1,1247,79.02593768,1,70.43159308,60.17956804,full,0.4
arithmetic,0,1247,69.30167231,3,54.0635965,39.47515926,traditional_ppo,0.4
arithmetic,0,1247,76.44212809,2,68.34245789,59.38378451,a2c_pointer,0.6
arithmetic,1,1247,77.95200685,1,69.37925869,59.64892642,full,0.6
arithmetic,0,1247,68.40427108,3,53.52586458,39.19515622,traditional_ppo,0.6
arithmetic,0,1247,71.78020715,2,63.89587641,56.63610262,a2c_pointer,0.8
arithmetic,1,1247,74.97110298,1,66.22225552,58.05700156,full,0.8
arithmetic,0,1247,65.71206741,3,51.91266883,38.35514712,traditional_ppo,0.8
