model,condition_label,safe_rate
a2c_pointer,已知·功率,1
a2c_pointer,已知·风,1
a2c_pointer,隐藏·DEM,1
a2c_pointer,隐藏·功率,0.7166666667
a2c_pointer,隐藏·定位,0.9416666667
a2c_pointer,隐藏·风,0.7916666667
full,已知·功率,1
full,已知·风,1
full,隐藏·DEM,0.9916666667
full,隐藏·功率,0.75
full,隐藏·定位,0.9333333333
full,隐藏·风,0.875
no_domain_randomization,已知·功率,1
no_domain_randomization,已知·风,1
no_domain_randomization,隐藏·DEM,0.9916666667
no_domain_randomization,隐藏·功率,0.7083333333
no_domain_randomization,隐藏·定位,0.925
no_domain_randomization,隐藏·风,0.8416666667
no_return_reserve,隐藏·DEM,1
no_return_reserve,隐藏·功率,1
no_return_reserve,隐藏·定位,1
no_return_reserve,隐藏·风,1
priority_resource_greedy,已知·功率,1
priority_resource_greedy,已知·风,1
priority_resource_greedy,隐藏·DEM,1
priority_resource_greedy,隐藏·功率,0.75
priority_resource_greedy,隐藏·定位,0.9166666667
priority_resource_greedy,隐藏·风,0.875
traditional_ppo,已知·功率,1
traditional_ppo,已知·风,1
traditional_ppo,隐藏·DEM,0.975
traditional_ppo,隐藏·功率,0.7333333333
traditional_ppo,隐藏·定位,0.8833333333
traditional_ppo,隐藏·风,0.8666666667
