model,condition_label,stranded_rate
a2c_pointer,已知·功率,0
a2c_pointer,已知·风,0
a2c_pointer,隐藏·DEM,0
a2c_pointer,隐藏·功率,0
a2c_pointer,隐藏·定位,0
a2c_pointer,隐藏·风,0
full,已知·功率,0
full,已知·风,0
full,隐藏·DEM,0
full,隐藏·功率,0
full,隐藏·定位,0
full,隐藏·风,0
no_domain_randomization,已知·功率,0
no_domain_randomization,已知·风,0
no_domain_randomization,隐藏·DEM,0
no_domain_randomization,隐藏·功率,0
no_domain_randomization,隐藏·定位,0
no_domain_randomization,隐藏·风,0
no_return_reserve,隐藏·DEM,0
no_return_reserve,隐藏·功率,0
no_return_reserve,隐藏·定位,0
no_return_reserve,隐藏·风,0
priority_resource_greedy,已知·功率,0
priority_resource_greedy,已知·风,0
priority_resource_greedy,隐藏·DEM,0
priority_resource_greedy,隐藏·功率,0
priority_resource_greedy,隐藏·定位,0
priority_resource_greedy,隐藏·风,0
traditional_ppo,已知·功率,0
traditional_ppo,已知·风,0
traditional_ppo,隐藏·DEM,0
traditional_ppo,隐藏·功率,0
traditional_ppo,隐藏·定位,0
traditional_ppo,隐藏·风,0
