x,y,z,sequence
239.7308044,103.4039459,543.3157349,0
239.7308044,103.4039459,561.7354126,1
240.6603546,110.926918,561.7354126,2
240.6603546,110.926918,560.6928711,3
248.3896942,118.9146118,560.6928711,4
248.3896942,118.9146118,557.5020752,5
248.3896942,118.9146118,563.3525391,6
250.5420074,127.6259232,563.3525391,7
250.5420074,127.6259232,573.5194702,8
265.9989929,144.461731,573.5194702,9
265.9989929,144.461731,565.9298096,10
265.9989929,144.461731,570.0790405,11
253.4557953,154.051651,570.0790405,12
253.4557953,154.051651,568.7577515,13
253.4557953,154.051651,571.9810181,14
247.941864,161.1338654,571.9810181,15
247.941864,161.1338654,568.7012329,16
247.941864,161.1338654,573.9837036,17
240.4421082,166.0105286,573.9837036,18
240.4421082,166.0105286,572.96521,19
240.4421082,166.0105286,695.2822266,20
239.7308044,103.4039459,695.2822266,21
239.7308044,103.4039459,543.3157349,22
