map_id,domain,elevation_min_m,elevation_max_m,relief_m
synthetic_test__map_000,未见合成,974.7859497,3001.490723,2026.704773
synthetic_test__map_001,未见合成,1756.879272,3817.85791,2060.978638
synthetic_test__map_002,未见合成,1156.474365,1893.110962,736.6365967
synthetic_test__map_003,未见合成,1525.831421,3503.247314,1977.415894
synthetic_test__map_004,未见合成,1088.366333,2507.865967,1419.499634
synthetic_test__map_005,未见合成,1562.964844,2111.226074,548.2612305
synthetic_test__map_006,未见合成,411.5822449,2175.714844,1764.132599
synthetic_test__map_007,未见合成,960.8023682,2838.453369,1877.651001
synthetic_test__map_008,未见合成,788.5985718,2509.017334,1720.418762
synthetic_test__map_009,未见合成,935.7565308,2285.974854,1350.218323
synthetic_test__map_010,未见合成,889.1519165,1455.59082,566.4389038
synthetic_test__map_011,未见合成,614.8389282,1278.585449,663.746521
synthetic_test__map_012,未见合成,621.6373901,1383.355469,761.7180786
synthetic_test__map_013,未见合成,1150.088135,3086.705566,1936.617432
synthetic_test__map_014,未见合成,437.1687927,1685.641479,1248.472687
synthetic_test__map_015,未见合成,597.1038208,2122.468018,1525.364197
synthetic_test__map_016,未见合成,374.9108276,1414.904297,1039.993469
synthetic_test__map_017,未见合成,892.9716797,1729.688599,836.7169189
synthetic_test__map_018,未见合成,518.3756714,2435.349365,1916.973694
synthetic_test__map_019,未见合成,1692.386719,3118.859375,1426.472656
synthetic_test__map_020,未见合成,1552.173218,2752.602051,1200.428833
synthetic_test__map_021,未见合成,293.8528442,1873.735474,1579.882629
synthetic_test__map_022,未见合成,1001.920715,1669.545044,667.6243286
synthetic_test__map_023,未见合成,605.2980347,1143.135742,537.8377075
cn_guizhou_karst,真实DSM,449.8221436,1205.356689,755.5345459
cn_hengduan,真实DSM,2073.66333,4422.927734,2349.264404
cn_qinling,真实DSM,334.3979797,1863.858643,1529.460663
cn_taihang,真实DSM,529.5980225,1291.200928,761.6029053
global_alps,真实DSM,981.1453247,3368.978516,2387.833191
global_colorado_rockies,真实DSM,2574.872559,4318.146973,1743.274414
global_peruvian_andes,真实DSM,2501.364258,5017.854492,2516.490234
global_southern_alps_nz,真实DSM,406.2409668,1628.620483,1222.379517
