label,domain,metric,comparator,estimate,ci_low,ci_high,map_count
合成·加权覆盖·传统PPO,未见合成,weighted_coverage,traditional_ppo,0.2171602183,0.2070213648,0.2275877888,24
合成·加权覆盖·A2C,未见合成,weighted_coverage,a2c_pointer,0.0007853835979,-0.001645558744,0.003263484387,24
合成·安全率·传统PPO,未见合成,safe_rate,traditional_ppo,0,0,0,24
合成·安全率·A2C,未见合成,safe_rate,a2c_pointer,0,0,0,24
合成·返航率·传统PPO,未见合成,return_rate,traditional_ppo,0,0,0,24
合成·返航率·A2C,未见合成,return_rate,a2c_pointer,0,0,0,24
DSM·加权覆盖·传统PPO,真实DSM,weighted_coverage,traditional_ppo,0.236633716,0.2285124362,0.2430908092,8
DSM·加权覆盖·A2C,真实DSM,weighted_coverage,a2c_pointer,-1.275510204e-05,-0.004146404656,0.003911236891,8
DSM·安全率·传统PPO,真实DSM,safe_rate,traditional_ppo,0,0,0,8
DSM·安全率·A2C,真实DSM,safe_rate,a2c_pointer,0,0,0,8
DSM·返航率·传统PPO,真实DSM,return_rate,traditional_ppo,0,0,0,8
DSM·返航率·A2C,真实DSM,return_rate,a2c_pointer,0,0,0,8
