family,model,map_id,task_id,planning_time_s
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.9913808
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,1.1678272
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,1.0978689
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.8426381
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.8139702
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.6340727
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.8306835
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.581783
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.5829702
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.5581191
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,1.5760767
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,1.6106504
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,1.6152799
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,1.6517505
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_00,0.8053322
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6558782
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6381716
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6795194
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6451247
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.8200397
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.3988439
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.4314064
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.4239387
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.457161
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.4106357
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6971108
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6615661
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.6611422
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.5766369
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_01,0.8980392
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.7662613
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.8752643
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,1.1066256
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.7126866
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.8136428
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.7416472
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.5681354
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.5862594
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.6093398
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.5106836
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.7346339
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.7763992
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.7635188
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.8014586
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_02,0.8019363
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.3135763
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.3744198
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.0597503
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.1550844
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.1310322
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,0.6678209
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,0.7417666
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,0.6284907
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,0.8864454
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,0.6198828
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.0659537
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.0887068
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.059712
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.0905528
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_03,1.2597604
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,1.1077061
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,1.0895
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,1.4590857
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,1.2015372
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.9695139
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.7025521
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.8297117
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.7046498
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.7840418
synthetic_learning,traditional_ppo,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.5468733
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,1.1065948
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.9471189
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,1.0790219
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.9298873
synthetic_learning,a2c_pointer,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_04,0.9127677
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_05,1.116464
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_05,0.7403021
synthetic_learning,full,synthetic_test__map_000,synthetic_test__synthetic_test__map_000__task_05,0.7758847
