model,training_seed,environment_interactions,weighted_coverage,series,q25,q75
full,42,66,0.193359375,seed,,
full,42,165.4301676,0.2046832979,seed,,
full,42,264.8603352,0.2370738003,seed,,
full,42,364.2905028,0.2778386431,seed,,
full,42,463.7206704,0.3015098699,seed,,
full,42,563.150838,0.281276082,seed,,
full,42,662.5810056,0.3730782275,seed,,
full,42,762.0111732,0.3542117703,seed,,
full,42,861.4413408,0.3593546411,seed,,
full,42,960.8715084,0.3745011971,seed,,
full,42,1060.301676,0.4070676687,seed,,
full,42,1159.731844,0.4150736975,seed,,
full,42,1259.162011,0.4261298904,seed,,
full,42,1358.592179,0.4512704405,seed,,
full,42,1458.022346,0.4121222781,seed,,
full,42,1557.452514,0.4043987692,seed,,
full,42,1656.882682,0.4591721973,seed,,
full,42,1756.312849,0.4517726687,seed,,
full,42,1855.743017,0.4201378935,seed,,
full,42,1955.173184,0.4116269168,seed,,
full,42,2054.603352,0.4801912464,seed,,
full,42,2154.03352,0.4248943785,seed,,
full,42,2253.463687,0.3933464831,seed,,
full,42,2352.893855,0.420749846,seed,,
full,42,2452.324022,0.5321579096,seed,,
full,42,2551.75419,0.4775921586,seed,,
full,42,2651.184358,0.4302902407,seed,,
full,42,2750.614525,0.4116763584,seed,,
full,42,2850.044693,0.4917603338,seed,,
full,42,2949.47486,0.4233283693,seed,,
full,42,3048.905028,0.369146899,seed,,
full,42,3148.335196,0.3747808673,seed,,
full,42,3247.765363,0.4258605335,seed,,
full,42,3347.195531,0.4324290476,seed,,
full,42,3446.625698,0.4112799963,seed,,
full,42,3546.055866,0.4397229695,seed,,
full,42,3645.486034,0.5009896965,seed,,
full,42,3744.916201,0.437239042,seed,,
full,42,3844.346369,0.4364260665,seed,,
full,42,3943.776536,0.4331640833,seed,,
full,42,4043.206704,0.458849213,seed,,
full,42,4142.636872,0.4886961318,seed,,
full,42,4242.067039,0.4631061614,seed,,
full,42,4341.497207,0.4480510931,seed,,
full,42,4440.927374,0.4397129861,seed,,
full,42,4540.357542,0.4262504435,seed,,
full,42,4639.787709,0.4232547686,seed,,
full,42,4739.217877,0.4320023044,seed,,
full,42,4838.648045,0.4436253438,seed,,
full,42,4938.078212,0.4511811738,seed,,
full,42,5037.50838,0.4388638545,seed,,
full,42,5136.938547,0.4611480597,seed,,
full,42,5236.368715,0.541970174,seed,,
full,42,5335.798883,0.4885368696,seed,,
full,42,5435.22905,0.4571181037,seed,,
full,42,5534.659218,0.455656208,seed,,
full,42,5634.089385,0.469450577,seed,,
full,42,5733.519553,0.4544835291,seed,,
full,42,5832.949721,0.4302765475,seed,,
full,42,5932.379888,0.4565750612,seed,,
full,42,6031.810056,0.4789528818,seed,,
full,42,6131.240223,0.4839998933,seed,,
full,42,6230.670391,0.4365288932,seed,,
full,42,6330.100559,0.4343186063,seed,,
full,42,6429.530726,0.4464157313,seed,,
full,42,6528.960894,0.4897492735,seed,,
full,42,6628.391061,0.4862170688,seed,,
full,42,6727.821229,0.4784540803,seed,,
full,42,6827.251397,0.4840150887,seed,,
full,42,6926.681564,0.4927869017,seed,,
full,42,7026.111732,0.5058108389,seed,,
full,42,7125.541899,0.5014699079,seed,,
full,42,7224.972067,0.4812168727,seed,,
full,42,7324.402235,0.4240886856,seed,,
full,42,7423.832402,0.4399976713,seed,,
full,42,7523.26257,0.4736893331,seed,,
full,42,7622.692737,0.4418406075,seed,,
full,42,7722.122905,0.4598035352,seed,,
full,42,7821.553073,0.4930177632,seed,,
full,42,7920.98324,0.4694023077,seed,,
full,42,8020.413408,0.4772103242,seed,,
full,42,8119.843575,0.5003231448,seed,,
full,42,8219.273743,0.4648050397,seed,,
full,42,8318.703911,0.5537002947,seed,,
full,42,8418.134078,0.4592030497,seed,,
full,42,8517.564246,0.408720366,seed,,
full,42,8616.994413,0.398615222,seed,,
full,42,8716.424581,0.4242013952,seed,,
full,42,8815.854749,0.4410140786,seed,,
full,42,8915.284916,0.4441014898,seed,,
full,42,9014.715084,0.4547406304,seed,,
full,42,9114.145251,0.4585892088,seed,,
full,42,9213.575419,0.4398644665,seed,,
full,42,9313.005587,0.4513036179,seed,,
full,42,9412.435754,0.448687596,seed,,
full,42,9511.865922,0.4353639307,seed,,
full,42,9611.296089,0.4797655398,seed,,
full,42,9710.726257,0.5145195399,seed,,
full,42,9810.156425,0.5064584267,seed,,
full,42,9909.586592,0.4664969754,seed,,
full,42,10009.01676,0.4193802805,seed,,
full,42,10108.44693,0.3887207175,seed,,
full,42,10207.87709,0.4464695299,seed,,
full,42,10307.30726,0.4411662659,seed,,
full,42,10406.73743,0.3823400847,seed,,
full,42,10506.1676,0.4341926846,seed,,
full,42,10605.59777,0.4847725421,seed,,
full,42,10705.02793,0.512211017,seed,,
full,42,10804.4581,0.4487191567,seed,,
full,42,10903.88827,0.4353453497,seed,,
full,42,11003.31844,0.4370646549,seed,,
full,42,11102.7486,0.413086879,seed,,
full,42,11202.17877,0.4253754344,seed,,
full,42,11301.60894,0.4400775871,seed,,
full,42,11401.03911,0.4565505624,seed,,
full,42,11500.46927,0.4691472897,seed,,
full,42,11599.89944,0.4707678286,seed,,
full,42,11699.32961,0.4695225482,seed,,
full,42,11798.75978,0.4752756619,seed,,
full,42,11898.18994,0.4571945852,seed,,
full,42,11997.62011,0.4250895351,seed,,
full,42,12097.05028,0.3858643913,seed,,
full,42,12196.48045,0.433386767,seed,,
full,42,12295.91061,0.4539580008,seed,,
full,42,12395.34078,0.4688442779,seed,,
full,42,12494.77095,0.4788874787,seed,,
full,42,12594.20112,0.4896429818,seed,,
full,42,12693.63128,0.4880172109,seed,,
full,42,12793.06145,0.4687275915,seed,,
full,42,12892.49162,0.4743215489,seed,,
full,42,12991.92179,0.5077288359,seed,,
full,42,13091.35196,0.4169119894,seed,,
full,42,13190.78212,0.4027033824,seed,,
full,42,13290.21229,0.4126972746,seed,,
full,42,13389.64246,0.4293971483,seed,,
full,42,13489.07263,0.4590281792,seed,,
full,42,13588.50279,0.4690822474,seed,,
full,42,13687.93296,0.4385200248,seed,,
full,42,13787.36313,0.4790560017,seed,,
full,42,13886.7933,0.5127688319,seed,,
full,42,13986.22346,0.4939835164,seed,,
full,42,14085.65363,0.4345739819,seed,,
full,42,14185.0838,0.4232359233,seed,,
full,42,14284.51397,0.5223151935,seed,,
full,42,14383.94413,0.4779267259,seed,,
full,42,14483.3743,0.4663678835,seed,,
full,42,14582.80447,0.4751654409,seed,,
full,42,14682.23464,0.4696436609,seed,,
full,42,14781.6648,0.4620923476,seed,,
full,42,14881.09497,0.4564707818,seed,,
full,42,14980.52514,0.4578422703,seed,,
full,42,15079.95531,0.4683381614,seed,,
full,42,15179.38547,0.5163580776,seed,,
full,42,15278.81564,0.4714551833,seed,,
full,42,15378.24581,0.4503037383,seed,,
full,42,15477.67598,0.463272766,seed,,
full,42,15577.10615,0.4872408557,seed,,
full,42,15676.53631,0.4964672245,seed,,
full,42,15775.96648,0.4782202873,seed,,
full,42,15875.39665,0.4543037855,seed,,
full,42,15974.82682,0.4431161955,seed,,
full,42,16074.25698,0.482107641,seed,,
full,42,16173.68715,0.5058522826,seed,,
full,42,16273.11732,0.5115458871,seed,,
full,42,16372.54749,0.4671192194,seed,,
full,42,16471.97765,0.4521287681,seed,,
full,42,16571.40782,0.459233123,seed,,
full,42,16670.83799,0.4650857121,seed,,
full,42,16770.26816,0.4576513658,seed,,
full,42,16869.69832,0.4523325269,seed,,
full,42,16969.12849,0.465490537,seed,,
full,42,17068.55866,0.4651963066,seed,,
full,42,17167.98883,0.4666430214,seed,,
full,42,17267.41899,0.473772503,seed,,
full,42,17366.84916,0.5003116188,seed,,
full,42,17466.27933,0.5511160091,seed,,
full,42,17565.7095,0.5080161051,seed,,
full,42,17665.13966,0.4153984539,seed,,
full,42,17764.56983,0.472617963,seed,,
full,42,17864,0.4306655534,seed,,
full,43,66,0.224609375,seed,,
full,43,165.4301676,0.1962113521,seed,,
full,43,264.8603352,0.2220287553,seed,,
full,43,364.2905028,0.3115968716,seed,,
full,43,463.7206704,0.3383285109,seed,,
full,43,563.150838,0.2844199909,seed,,
full,43,662.5810056,0.3340869017,seed,,
full,43,762.0111732,0.3566396229,seed,,
full,43,861.4413408,0.3521561895,seed,,
full,43,960.8715084,0.3836121963,seed,,
full,43,1060.301676,0.3436730444,seed,,
full,43,1159.731844,0.3897707826,seed,,
full,43,1259.162011,0.4250796087,seed,,
full,43,1358.592179,0.44052936,seed,,
full,43,1458.022346,0.4450709143,seed,,
full,43,1557.452514,0.4152850914,seed,,
full,43,1656.882682,0.5028632341,seed,,
full,43,1756.312849,0.4557834224,seed,,
full,43,1855.743017,0.3915460532,seed,,
full,43,1955.173184,0.3694574147,seed,,
full,43,2054.603352,0.4045751822,seed,,
full,43,2154.03352,0.4436866991,seed,,
full,43,2253.463687,0.433825302,seed,,
full,43,2352.893855,0.4192941638,seed,,
full,43,2452.324022,0.4809483647,seed,,
full,43,2551.75419,0.4763727478,seed,,
full,43,2651.184358,0.4635908692,seed,,
full,43,2750.614525,0.4484648627,seed,,
full,43,2850.044693,0.4579446067,seed,,
full,43,2949.47486,0.4681080837,seed,,
full,43,3048.905028,0.4715913117,seed,,
full,43,3148.335196,0.4515424572,seed,,
full,43,3247.765363,0.4620966797,seed,,
full,43,3347.195531,0.4769361613,seed,,
full,43,3446.625698,0.4062353891,seed,,
full,43,3546.055866,0.4175378665,seed,,
full,43,3645.486034,0.4399826665,seed,,
full,43,3744.916201,0.4641813355,seed,,
full,43,3844.346369,0.4516859469,seed,,
full,43,3943.776536,0.448830504,seed,,
full,43,4043.206704,0.4525037232,seed,,
full,43,4142.636872,0.4651274441,seed,,
full,43,4242.067039,0.4840079556,seed,,
full,43,4341.497207,0.4436575606,seed,,
full,43,4440.927374,0.440824207,seed,,
full,43,4540.357542,0.4853953959,seed,,
full,43,4639.787709,0.4754845225,seed,,
full,43,4739.217877,0.43919807,seed,,
full,43,4838.648045,0.4143501498,seed,,
full,43,4938.078212,0.497297666,seed,,
full,43,5037.50838,0.4790618871,seed,,
full,43,5136.938547,0.4621313091,seed,,
full,43,5236.368715,0.4551751943,seed,,
full,43,5335.798883,0.4519613332,seed,,
full,43,5435.22905,0.4607161625,seed,,
full,43,5534.659218,0.4726198908,seed,,
full,43,5634.089385,0.4763873154,seed,,
full,43,5733.519553,0.4931291389,seed,,
full,43,5832.949721,0.5204917218,seed,,
full,43,5932.379888,0.5278663881,seed,,
full,43,6031.810056,0.4698264021,seed,,
full,43,6131.240223,0.3893239649,seed,,
full,43,6230.670391,0.4910979598,seed,,
full,43,6330.100559,0.4987324564,seed,,
full,43,6429.530726,0.4692794984,seed,,
full,43,6528.960894,0.4116598529,seed,,
full,43,6628.391061,0.4305697314,seed,,
