model,training_seed,metric,value
full,42,approx_kl,0.01614625564
full,42,ratio_deviation,0.9067771511
full,42,clip_fraction,0.1232059881
full,43,approx_kl,0.01815616759
full,43,ratio_deviation,1.082854491
full,43,clip_fraction,0.1211804869
full,44,approx_kl,0.01800387289
full,44,ratio_deviation,1.107327716
full,44,clip_fraction,0.1230431761
full,45,approx_kl,0.01530133635
full,45,ratio_deviation,0.9921332537
full,45,clip_fraction,0.1024655181
full,46,approx_kl,0.01910016919
full,46,ratio_deviation,1.139355028
full,46,clip_fraction,0.1321788598
traditional_ppo,42,approx_kl,0.001762739925
traditional_ppo,42,ratio_deviation,0.2023969232
traditional_ppo,42,clip_fraction,0.009034600467
traditional_ppo,43,approx_kl,0.001369048381
traditional_ppo,43,ratio_deviation,0.1854100487
traditional_ppo,43,clip_fraction,0.005031977303
traditional_ppo,44,approx_kl,0.001731512408
traditional_ppo,44,ratio_deviation,0.1863351281
traditional_ppo,44,clip_fraction,0.006421729731
traditional_ppo,45,approx_kl,0.001548062366
traditional_ppo,45,ratio_deviation,0.1795188097
traditional_ppo,45,clip_fraction,0.006372704553
traditional_ppo,46,approx_kl,0.002133008595
traditional_ppo,46,ratio_deviation,0.2410791776
traditional_ppo,46,clip_fraction,0.01876064882
