domain,model,map_id,safe_weighted_coverage
真实DSM,a2c_pointer,cn_guizhou_karst,0.4921768707
真实DSM,a2c_pointer,cn_hengduan,0.4913435374
真实DSM,a2c_pointer,cn_qinling,0.5220068027
真实DSM,a2c_pointer,cn_taihang,0.4972859977
真实DSM,a2c_pointer,global_alps,0.5060274943
真实DSM,a2c_pointer,global_colorado_rockies,0.5261678005
真实DSM,a2c_pointer,global_peruvian_andes,0.4976842404
真实DSM,a2c_pointer,global_southern_alps_nz,0.4869614512
真实DSM,full,cn_guizhou_karst,0.4937514172
真实DSM,full,cn_hengduan,0.5018339002
真实DSM,full,cn_qinling,0.5151799887
真实DSM,full,cn_taihang,0.4994430272
真实DSM,full,global_alps,0.5063888889
真实DSM,full,global_colorado_rockies,0.5160898526
真实DSM,full,global_peruvian_andes,0.4967871315
真实DSM,full,global_southern_alps_nz,0.4900779478
真实DSM,traditional_ppo,cn_guizhou_karst,0.2487514172
真实DSM,traditional_ppo,cn_hengduan,0.2769855442
真实DSM,traditional_ppo,cn_qinling,0.2713647959
真实DSM,traditional_ppo,cn_taihang,0.2549631519
真实DSM,traditional_ppo,global_alps,0.269763322
真实DSM,traditional_ppo,global_colorado_rockies,0.2718877551
真实DSM,traditional_ppo,global_peruvian_andes,0.2564611678
真实DSM,traditional_ppo,global_southern_alps_nz,0.2763052721
