family,model,rows
hidden_model_perception_mismatch,a2c_pointer,480
hidden_model_perception_mismatch,full,480
hidden_model_perception_mismatch,no_domain_randomization,480
hidden_model_perception_mismatch,no_return_reserve,480
hidden_model_perception_mismatch,priority_resource_greedy,96
hidden_model_perception_mismatch,traditional_ppo,480
known_domain_shift,a2c_pointer,240
known_domain_shift,full,240
known_domain_shift,no_domain_randomization,240
known_domain_shift,priority_resource_greedy,48
known_domain_shift,traditional_ppo,240
real_baselines,aco,720
real_baselines,milp,144
real_baselines,nearest_feasible,144
real_baselines,priority_resource_greedy,144
real_learning,a2c_pointer,720
real_learning,full,720
real_learning,no_domain_randomization,720
real_learning,no_priority_bias,720
real_learning,no_resource_shaping,720
real_learning,no_return_reserve,720
real_learning,traditional_ppo,720
synthetic_learning,a2c_pointer,1080
synthetic_learning,full,1080
synthetic_learning,no_domain_randomization,1080
synthetic_learning,no_priority_bias,1080
synthetic_learning,no_resource_shaping,1080
synthetic_learning,no_return_reserve,1080
synthetic_learning,traditional_ppo,1080
synthetic_main_baselines,aco,1080
synthetic_main_baselines,ga,1080
synthetic_main_baselines,milp,216
synthetic_main_baselines,nearest_feasible,216
synthetic_main_baselines,priority_resource_greedy,216
synthetic_main_baselines,sa,1080
synthetic_supplementary,a_star,72
synthetic_supplementary,exact_pareto_dp,72
synthetic_supplementary,pso,360
