algorithm,factor,level,mean,median,role,run_count,statistical_family
full,difficulty,moderate,0.6527260488,0.6530612245,exploratory,360,synthetic_main_algorithms
traditional_ppo,difficulty,moderate,0.3446655329,0.3453443878,exploratory,360,synthetic_main_algorithms
a2c_pointer,difficulty,moderate,0.6485916241,0.65,exploratory,360,synthetic_main_algorithms
full,difficulty,hard,0.4843282313,0.4897959184,exploratory,360,synthetic_main_algorithms
traditional_ppo,difficulty,hard,0.2667127268,0.275,exploratory,360,synthetic_main_algorithms
a2c_pointer,difficulty,hard,0.4865217545,0.4897959184,exploratory,360,synthetic_main_algorithms
full,difficulty,extreme,0.3203397817,0.325,exploratory,360,synthetic_main_algorithms
traditional_ppo,difficulty,extreme,0.1945351474,0.1836734694,exploratory,360,synthetic_main_algorithms
a2c_pointer,difficulty,extreme,0.3199245323,0.325,exploratory,360,synthetic_main_algorithms
full,difficulty,moderate,0.6527260488,0.6530612245,exploratory,360,synthetic_ablations
no_priority_bias,difficulty,moderate,0.6503950539,0.65,exploratory,360,synthetic_ablations
no_domain_randomization,difficulty,moderate,0.6520741213,0.6530612245,exploratory,360,synthetic_ablations
no_resource_shaping,difficulty,moderate,0.6493551587,0.6530612245,exploratory,360,synthetic_ablations
no_return_reserve,difficulty,moderate,0.1416436366,0.125,exploratory,360,synthetic_ablations
full,difficulty,hard,0.4843282313,0.4897959184,exploratory,360,synthetic_ablations
no_priority_bias,difficulty,hard,0.482035856,0.5,exploratory,360,synthetic_ablations
no_domain_randomization,difficulty,hard,0.4822055697,0.4897959184,exploratory,360,synthetic_ablations
no_resource_shaping,difficulty,hard,0.4816695011,0.4823979592,exploratory,360,synthetic_ablations
no_return_reserve,difficulty,hard,0.11696464,0.1,exploratory,360,synthetic_ablations
full,difficulty,extreme,0.3203397817,0.325,exploratory,360,synthetic_ablations
no_priority_bias,difficulty,extreme,0.3219160998,0.3125,exploratory,360,synthetic_ablations
no_domain_randomization,difficulty,extreme,0.31953125,0.3125,exploratory,360,synthetic_ablations
no_resource_shaping,difficulty,extreme,0.3210629252,0.325,exploratory,360,synthetic_ablations
no_return_reserve,difficulty,extreme,0.08142928005,0.0625,exploratory,360,synthetic_ablations
full,difficulty,moderate,0.6635023384,0.6734693878,exploratory,240,real_main_algorithms
traditional_ppo,difficulty,moderate,0.3332897534,0.3265306122,exploratory,240,real_main_algorithms
a2c_pointer,difficulty,moderate,0.6696651786,0.675,exploratory,240,real_main_algorithms
full,difficulty,hard,0.4970541029,0.5,exploratory,240,real_main_algorithms
traditional_ppo,difficulty,hard,0.2645057398,0.275,exploratory,240,real_main_algorithms
a2c_pointer,difficulty,hard,0.4945301871,0.5,exploratory,240,real_main_algorithms
full,difficulty,extreme,0.3467756165,0.3469387755,exploratory,240,real_main_algorithms
traditional_ppo,difficulty,extreme,0.1996354167,0.1875,exploratory,240,real_main_algorithms
a2c_pointer,difficulty,extreme,0.3431749575,0.3469387755,exploratory,240,real_main_algorithms
full,difficulty,moderate,0.6635023384,0.6734693878,exploratory,240,real_ablations
no_priority_bias,difficulty,moderate,0.6695386905,0.6734693878,exploratory,240,real_ablations
no_domain_randomization,difficulty,moderate,0.6612643495,0.6734693878,exploratory,240,real_ablations
no_resource_shaping,difficulty,moderate,0.6683997662,0.68125,exploratory,240,real_ablations
no_return_reserve,difficulty,moderate,0.1521194728,0.125,exploratory,240,real_ablations
full,difficulty,hard,0.4970541029,0.5,exploratory,240,real_ablations
no_priority_bias,difficulty,hard,0.4955931122,0.5,exploratory,240,real_ablations
no_domain_randomization,difficulty,hard,0.4977306548,0.5,exploratory,240,real_ablations
no_resource_shaping,difficulty,hard,0.4949032738,0.5,exploratory,240,real_ablations
no_return_reserve,difficulty,hard,0.1070046769,0.06875,exploratory,240,real_ablations
full,difficulty,extreme,0.3467756165,0.3469387755,exploratory,240,real_ablations
no_priority_bias,difficulty,extreme,0.344076318,0.3469387755,exploratory,240,real_ablations
no_domain_randomization,difficulty,extreme,0.3455484694,0.3673469388,exploratory,240,real_ablations
no_resource_shaping,difficulty,extreme,0.3437446854,0.3469387755,exploratory,240,real_ablations
no_return_reserve,difficulty,extreme,0.07708333333,0.0612244898,exploratory,240,real_ablations
full,difficulty,hard,0.4783976403,0.475,exploratory,80,known_domain_shift
traditional_ppo,difficulty,hard,0.2584486607,0.25,exploratory,80,known_domain_shift
a2c_pointer,difficulty,hard,0.4687882653,0.4375,exploratory,80,known_domain_shift
no_domain_randomization,difficulty,hard,0.4799394133,0.475,exploratory,80,known_domain_shift
full,difficulty,extreme,0.3461295351,0.3469387755,exploratory,90,known_domain_shift
traditional_ppo,difficulty,extreme,0.2056264172,0.19375,exploratory,90,known_domain_shift
a2c_pointer,difficulty,extreme,0.3493282313,0.3469387755,exploratory,90,known_domain_shift
no_domain_randomization,difficulty,extreme,0.3543282313,0.3469387755,exploratory,90,known_domain_shift
full,difficulty,moderate,0.6507580175,0.65,exploratory,70,known_domain_shift
traditional_ppo,difficulty,moderate,0.3352988338,0.325,exploratory,70,known_domain_shift
a2c_pointer,difficulty,moderate,0.6602186589,0.65,exploratory,70,known_domain_shift
no_domain_randomization,difficulty,moderate,0.6600419096,0.65,exploratory,70,known_domain_shift
full,difficulty,hard,0.4496763393,0.475,exploratory,160,hidden_model_perception_mismatch
traditional_ppo,difficulty,hard,0.226583227,0.25,exploratory,160,hidden_model_perception_mismatch
a2c_pointer,difficulty,hard,0.439996014,0.45,exploratory,160,hidden_model_perception_mismatch
no_domain_randomization,difficulty,hard,0.4530907207,0.475,exploratory,160,hidden_model_perception_mismatch
no_return_reserve,difficulty,hard,0.1167299107,0.075,exploratory,160,hidden_model_perception_mismatch
full,difficulty,extreme,0.3170245181,0.3469387755,exploratory,180,hidden_model_perception_mismatch
traditional_ppo,difficulty,extreme,0.178674178,0.18125,exploratory,180,hidden_model_perception_mismatch
a2c_pointer,difficulty,extreme,0.3084856859,0.3469387755,exploratory,180,hidden_model_perception_mismatch
no_domain_randomization,difficulty,extreme,0.3139725057,0.3469387755,exploratory,180,hidden_model_perception_mismatch
no_return_reserve,difficulty,extreme,0.0763428288,0.0612244898,exploratory,180,hidden_model_perception_mismatch
full,difficulty,moderate,0.5509657434,0.6288265306,exploratory,140,hidden_model_perception_mismatch
traditional_ppo,difficulty,moderate,0.3021264577,0.325,exploratory,140,hidden_model_perception_mismatch
a2c_pointer,difficulty,moderate,0.5339030612,0.6326530612,exploratory,140,hidden_model_perception_mismatch
no_domain_randomization,difficulty,moderate,0.5475610423,0.65,exploratory,140,hidden_model_perception_mismatch
no_return_reserve,difficulty,moderate,0.1526184402,0.1428571429,exploratory,140,hidden_model_perception_mismatch
