algorithm,factor,level,mean,median,role,run_count,statistical_family
full,priority_layout,clustered,0.5041273384,0.5,exploratory,360,synthetic_main_algorithms
traditional_ppo,priority_layout,clustered,0.2675627126,0.2653061224,exploratory,360,synthetic_main_algorithms
a2c_pointer,priority_layout,clustered,0.5111748866,0.5,exploratory,360,synthetic_main_algorithms
full,priority_layout,dispersed,0.4777349065,0.475,exploratory,360,synthetic_main_algorithms
traditional_ppo,priority_layout,dispersed,0.2762794076,0.275,exploratory,360,synthetic_main_algorithms
a2c_pointer,priority_layout,dispersed,0.4707773526,0.475,exploratory,360,synthetic_main_algorithms
full,priority_layout,far_high_conflict,0.4755318169,0.45,exploratory,360,synthetic_main_algorithms
traditional_ppo,priority_layout,far_high_conflict,0.2620712868,0.25,exploratory,360,synthetic_main_algorithms
a2c_pointer,priority_layout,far_high_conflict,0.4730856718,0.45,exploratory,360,synthetic_main_algorithms
full,priority_layout,clustered,0.5041273384,0.5,exploratory,360,synthetic_ablations
no_priority_bias,priority_layout,clustered,0.5005605159,0.5,exploratory,360,synthetic_ablations
no_domain_randomization,priority_layout,clustered,0.4982943594,0.4693877551,exploratory,360,synthetic_ablations
no_resource_shaping,priority_layout,clustered,0.5071240788,0.5,exploratory,360,synthetic_ablations
no_return_reserve,priority_layout,clustered,0.1250017715,0.09375,exploratory,360,synthetic_ablations
full,priority_layout,dispersed,0.4777349065,0.475,exploratory,360,synthetic_ablations
no_priority_bias,priority_layout,dispersed,0.4784548611,0.475,exploratory,360,synthetic_ablations
no_domain_randomization,priority_layout,dispersed,0.4798859127,0.4897959184,exploratory,360,synthetic_ablations
no_resource_shaping,priority_layout,dispersed,0.4740316752,0.475,exploratory,360,synthetic_ablations
no_return_reserve,priority_layout,dispersed,0.1225258645,0.1020408163,exploratory,360,synthetic_ablations
full,priority_layout,far_high_conflict,0.4755318169,0.45,exploratory,360,synthetic_ablations
no_priority_bias,priority_layout,far_high_conflict,0.4753316327,0.4432397959,exploratory,360,synthetic_ablations
no_domain_randomization,priority_layout,far_high_conflict,0.4756306689,0.4693877551,exploratory,360,synthetic_ablations
no_resource_shaping,priority_layout,far_high_conflict,0.4709318311,0.4489795918,exploratory,360,synthetic_ablations
no_return_reserve,priority_layout,far_high_conflict,0.09250992063,0.08163265306,exploratory,360,synthetic_ablations
full,priority_layout,clustered,0.5179145408,0.5102040816,exploratory,240,real_main_algorithms
traditional_ppo,priority_layout,clustered,0.2594573767,0.25,exploratory,240,real_main_algorithms
a2c_pointer,priority_layout,clustered,0.5271465774,0.53125,exploratory,240,real_main_algorithms
full,priority_layout,dispersed,0.5193877551,0.525,exploratory,240,real_main_algorithms
traditional_ppo,priority_layout,dispersed,0.2785953444,0.28125,exploratory,240,real_main_algorithms
a2c_pointer,priority_layout,dispersed,0.5073458759,0.5,exploratory,240,real_main_algorithms
full,priority_layout,far_high_conflict,0.4700297619,0.4693877551,exploratory,240,real_main_algorithms
traditional_ppo,priority_layout,far_high_conflict,0.2593781888,0.25,exploratory,240,real_main_algorithms
a2c_pointer,priority_layout,far_high_conflict,0.4728778699,0.4690688776,exploratory,240,real_main_algorithms
full,priority_layout,clustered,0.5179145408,0.5102040816,exploratory,240,real_ablations
no_priority_bias,priority_layout,clustered,0.519041773,0.5309311224,exploratory,240,real_ablations
no_domain_randomization,priority_layout,clustered,0.5116709184,0.5,exploratory,240,real_ablations
no_resource_shaping,priority_layout,clustered,0.5261192602,0.5204081633,exploratory,240,real_ablations
no_return_reserve,priority_layout,clustered,0.1256425383,0.09375,exploratory,240,real_ablations
full,priority_layout,dispersed,0.5193877551,0.525,exploratory,240,real_ablations
no_priority_bias,priority_layout,dispersed,0.5193266369,0.525,exploratory,240,real_ablations
no_domain_randomization,priority_layout,dispersed,0.5233753189,0.5278061224,exploratory,240,real_ablations
no_resource_shaping,priority_layout,dispersed,0.5116262755,0.5051020408,exploratory,240,real_ablations
no_return_reserve,priority_layout,dispersed,0.1188382228,0.09375,exploratory,240,real_ablations
full,priority_layout,far_high_conflict,0.4700297619,0.4693877551,exploratory,240,real_ablations
no_priority_bias,priority_layout,far_high_conflict,0.4708397109,0.4693877551,exploratory,240,real_ablations
no_domain_randomization,priority_layout,far_high_conflict,0.4694972364,0.4693877551,exploratory,240,real_ablations
no_resource_shaping,priority_layout,far_high_conflict,0.4693021896,0.4693877551,exploratory,240,real_ablations
no_return_reserve,priority_layout,far_high_conflict,0.09172672194,0.0625,exploratory,240,real_ablations
full,priority_layout,dispersed,0.4747619048,0.4375,exploratory,90,known_domain_shift
traditional_ppo,priority_layout,dispersed,0.2447973356,0.25,exploratory,90,known_domain_shift
a2c_pointer,priority_layout,dispersed,0.4604761905,0.4330357143,exploratory,90,known_domain_shift
no_domain_randomization,priority_layout,dispersed,0.483574263,0.4375,exploratory,90,known_domain_shift
full,priority_layout,far_high_conflict,0.508372449,0.5,exploratory,100,known_domain_shift
traditional_ppo,priority_layout,far_high_conflict,0.2857181122,0.28125,exploratory,100,known_domain_shift
a2c_pointer,priority_layout,far_high_conflict,0.5184183673,0.525,exploratory,100,known_domain_shift
no_domain_randomization,priority_layout,far_high_conflict,0.5106772959,0.5,exploratory,100,known_domain_shift
full,priority_layout,clustered,0.4282142857,0.4285714286,exploratory,50,known_domain_shift
traditional_ppo,priority_layout,clustered,0.2409923469,0.25,exploratory,50,known_domain_shift
