algorithm,mean,median,metric,q25,q75,result_family,valid_run_count
aco,0.5525048422,0.5510204082,safe_weighted_coverage,0.4081632653,0.693877551,synthetic_main_baselines,1080
ga,0.4869523573,0.4897959184,safe_weighted_coverage,0.375,0.625,synthetic_main_baselines,1080
milp,0.5710677674,0.5732142857,safe_weighted_coverage,0.4285714286,0.71875,synthetic_main_baselines,216
nearest_feasible,0.4539198318,0.4432397959,safe_weighted_coverage,0.3125,0.5918367347,synthetic_main_baselines,216
priority_resource_greedy,0.4509111631,0.4588647959,safe_weighted_coverage,0.3261479592,0.59375,synthetic_main_baselines,216
sa,0.5436242205,0.55,safe_weighted_coverage,0.4081632653,0.693877551,synthetic_main_baselines,1080
a_star,0.5418225624,0.540625,safe_weighted_coverage,0.3826530612,0.6797193878,synthetic_supplementary,72
exact_pareto_dp,0.54647286,0.540625,safe_weighted_coverage,0.387755102,0.68125,synthetic_supplementary,72
pso,0.489356576,0.5,safe_weighted_coverage,0.3969387755,0.612244898,synthetic_supplementary,360
aco,0.5599302012,0.55,safe_weighted_coverage,0.4375,0.7,real_baselines,720
milp,0.5829365079,0.5714285714,safe_weighted_coverage,0.4489795918,0.75,real_baselines,144
nearest_feasible,0.4843457696,0.4693877551,safe_weighted_coverage,0.35,0.6030612245,real_baselines,144
priority_resource_greedy,0.4679129464,0.45,safe_weighted_coverage,0.35,0.5918367347,real_baselines,144
