algorithm,mean,median,metric,q25,q75,result_family,valid_run_count
aco,0.01727513228,0,oracle_regret_lower,0,0.03125,synthetic_main_baselines,1080
aco,0.0391807209,0.025,oracle_regret_upper,0,0.0625,synthetic_main_baselines,1080
ga,0.08207931784,0.0625,oracle_regret_lower,0.03125,0.1224489796,synthetic_main_baselines,1080
ga,0.1047332058,0.09375,oracle_regret_upper,0.05,0.15,synthetic_main_baselines,1080
milp,0.0003047052154,0,oracle_regret_lower,0,0,synthetic_main_baselines,216
milp,0.02061779573,0,oracle_regret_upper,0,0.025,synthetic_main_baselines,216
nearest_feasible,0.1148047761,0.096875,oracle_regret_lower,0.05,0.1632653061,synthetic_main_baselines,216
nearest_feasible,0.1377657313,0.125,oracle_regret_upper,0.0625,0.2,synthetic_main_baselines,216
priority_resource_greedy,0.1179079271,0.1,oracle_regret_lower,0.05,0.15625,synthetic_main_baselines,216
priority_resource_greedy,0.1407744,0.125,oracle_regret_upper,0.075,0.1875,synthetic_main_baselines,216
sa,0.02615575397,0.02040816327,oracle_regret_lower,0,0.04081632653,synthetic_main_baselines,1080
sa,0.04806134259,0.03125,oracle_regret_upper,0,0.075,synthetic_main_baselines,1080
a_star,0.06639916383,0,oracle_regret_lower,0,0.06466836735,synthetic_supplementary,72
a_star,0.08351225907,0,oracle_regret_upper,0,0.125,synthetic_supplementary,72
exact_pareto_dp,0.06174886621,0,oracle_regret_lower,0,0.00625,synthetic_supplementary,72
exact_pareto_dp,0.07886196145,0,oracle_regret_upper,0,0.1020408163,synthetic_supplementary,72
pso,0.1163226332,0.1,oracle_regret_lower,0.0612244898,0.15625,synthetic_supplementary,360
pso,0.1359782455,0.125,oracle_regret_upper,0.0625,0.184630102,synthetic_supplementary,360
