algorithm,mean,median,metric,q25,q75,result_family,valid_run_count
aco,76.70111468,69.0886107,planning_time_s,45.48175793,98.00038418,synthetic_main_baselines,1080
ga,5.514779838,5.4116192,planning_time_s,4.83927,6.13459925,synthetic_main_baselines,1080
milp,20.80736996,11.55145365,planning_time_s,5.636405125,31.48096897,synthetic_main_baselines,216
nearest_feasible,3.197209316,3.0352011,planning_time_s,2.072169025,4.27664005,synthetic_main_baselines,216
priority_resource_greedy,3.095880244,2.8598002,planning_time_s,2.012994925,4.1467151,synthetic_main_baselines,216
sa,3.831537656,3.73125565,planning_time_s,3.278269875,4.379287025,synthetic_main_baselines,1080
a_star,31.11006476,26.8917645,planning_time_s,4.1887065,60.35839963,synthetic_supplementary,72
exact_pareto_dp,22.54495697,13.07573165,planning_time_s,2.391248275,44.58342345,synthetic_supplementary,72
pso,3.331889487,3.2486881,planning_time_s,2.8171538,3.789964925,synthetic_supplementary,360
aco,46.05407366,43.1300653,planning_time_s,32.10720288,59.65682402,real_baselines,720
milp,15.60066444,9.23924135,planning_time_s,4.742595975,17.08472295,real_baselines,144
nearest_feasible,3.044928963,2.92765505,planning_time_s,1.99749335,4.045046375,real_baselines,144
priority_resource_greedy,2.947950338,2.84606995,planning_time_s,1.896401,3.7699203,real_baselines,144
