aggregation,first_place_share,grid_count,maximum_score,mean_rank,mean_score,minimum_score,model,operational_floor
geometric,0.3295910184,1247,75.69445532,1.670408982,67.06171974,57.30105242,a2c_pointer,0
geometric,0.6704089816,1247,76.06871668,1.329591018,67.12291744,57.08316723,full,0
geometric,0,1247,62.00331035,3,47.94356001,36.55379338,traditional_ppo,0
geometric,0.1499599038,1247,75.2651203,1.850040096,66.73683974,57.16376049,a2c_pointer,0.2
geometric,0.8500400962,1247,75.79607558,1.149959904,66.89490538,56.98575001,full,0.2
geometric,0,1247,0,3,0,0,traditional_ppo,0.2
geometric,0.04089815557,1247,74.60265479,1.959101844,66.18510386,56.92952669,a2c_pointer,0.4
geometric,0.9591018444,1247,75.33663437,1.040898156,66.50855961,56.82011507,full,0.4
geometric,0,1247,0,3,0,0,traditional_ppo,0.4
geometric,0,1247,73.29764044,2,65.03962829,56.43880114,a2c_pointer,0.6
geometric,1,1247,74.44926506,1,65.71025942,56.47555264,full,0.6
geometric,0,1247,0,3,0,0,traditional_ppo,0.6
geometric,0,1247,69.0259243,2,61.16839899,54.20679843,a2c_pointer,0.8
geometric,1,1247,71.79058133,1,63.06019736,55.30823063,full,0.8
geometric,0,1247,0,3,0,0,traditional_ppo,0.8
