map_id,no_priority_bias,no_domain_randomization,no_resource_shaping,no_return_reserve
synthetic_test__map_000,-0.000518707483,0.01842403628,0.001139455782,0.3718877551
synthetic_test__map_001,0.006352040816,-0.01297052154,0.0003599773243,0.3354421769
synthetic_test__map_002,-0.008758503401,-0.01443310658,0.0003146258503,0.4252947846
synthetic_test__map_003,-0.01118480726,0.006408730159,-0.00998015873,0.3309126984
synthetic_test__map_004,0.00324829932,-0.005155895692,0.004617346939,0.3855895692
synthetic_test__map_005,-0.0008531746032,0.0129053288,-0.005544217687,0.375606576
synthetic_test__map_006,0.01609126984,-0.0175085034,0.00268707483,0.4184098639
synthetic_test__map_007,-0.009027777778,-0.007655895692,0.000518707483,0.3519132653
synthetic_test__map_008,0.008526077098,6.519274376e-05,0.005952380952,0.3570096372
synthetic_test__map_009,0.008801020408,0.01577380952,-0.002945011338,0.3818962585
synthetic_test__map_010,-0.0001105442177,-0.009554988662,0.00389739229,0.3625992063
synthetic_test__map_011,-0.02179705215,-0.00373015873,-0.009376417234,0.3322760771
synthetic_test__map_012,-0.001536281179,0.004526643991,-0.003509070295,0.3499064626
synthetic_test__map_013,-0.009237528345,0.01021258503,0.009963151927,0.3920436508
synthetic_test__map_014,0.008979591837,0.01591269841,0.003628117914,0.3854931973
synthetic_test__map_015,0.01843253968,0.01071145125,0.007573696145,0.3921060091
synthetic_test__map_016,-0.005036848073,-0.001176303855,0.007831632653,0.3746910431
synthetic_test__map_017,-0.005396825397,0.005249433107,0.003234126984,0.3605753968
synthetic_test__map_018,0.002463151927,-0.01139455782,-0.00264739229,0.4108673469
synthetic_test__map_019,0.008767006803,0.002868480726,0.01879251701,0.3583248299
synthetic_test__map_020,0.003100907029,0.01885770975,-8.219954649e-05,0.3799631519
synthetic_test__map_021,0.006147959184,-0.01006519274,0.008812358277,0.3571400227
synthetic_test__map_022,0.002463151927,-0.01149376417,-0.006516439909,0.3506179138
synthetic_test__map_023,0.004461451247,0.0118877551,0.00373015873,0.3982851474
