model,condition_label,violation_rate
a2c_pointer,已知·功率,0
a2c_pointer,已知·风,0
a2c_pointer,隐藏·DEM,0
a2c_pointer,隐藏·功率,0.2833333333
a2c_pointer,隐藏·定位,0.05833333333
a2c_pointer,隐藏·风,0.2083333333
full,已知·功率,0
full,已知·风,0
full,隐藏·DEM,0.008333333333
full,隐藏·功率,0.25
full,隐藏·定位,0.06666666667
full,隐藏·风,0.125
no_domain_randomization,已知·功率,0
no_domain_randomization,已知·风,0
no_domain_randomization,隐藏·DEM,0.008333333333
no_domain_randomization,隐藏·功率,0.2916666667
no_domain_randomization,隐藏·定位,0.075
no_domain_randomization,隐藏·风,0.1583333333
no_return_reserve,隐藏·DEM,0
no_return_reserve,隐藏·功率,0
no_return_reserve,隐藏·定位,0
no_return_reserve,隐藏·风,0
priority_resource_greedy,已知·功率,0
priority_resource_greedy,已知·风,0
priority_resource_greedy,隐藏·DEM,0
priority_resource_greedy,隐藏·功率,0.25
priority_resource_greedy,隐藏·定位,0.08333333333
priority_resource_greedy,隐藏·风,0.125
traditional_ppo,已知·功率,0
traditional_ppo,已知·风,0
traditional_ppo,隐藏·DEM,0.025
traditional_ppo,隐藏·功率,0.2666666667
traditional_ppo,隐藏·定位,0.1166666667
traditional_ppo,隐藏·风,0.1333333333
