task_id,map_id,model,seed,task_hash,map_hash,vertical_exaggeration,element_type,element_id,sequence,raw_x_grid,raw_y_grid,raw_z_m,display_x_m,display_y_m,display_z_m,priority,visited,note
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,0,231.56538391113281,28.316999435424805,560.842529296875,429.50998306274414,1033.0384826660156,581.2637939453125,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,1,231.45399475097656,28.748176574707031,561.32952880859375,442.44529724121094,1036.3801574707031,581.99429321289062,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,2,229.91880798339844,31.707172393798828,559.70599365234375,531.21517181396484,1082.4357604980469,579.55899047851562,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,3,227.949951171875,34.544002532958984,556.44830322265625,616.32007598876953,1141.50146484375,574.67245483398438,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,4,227.04849243164062,36.040538787841797,559.03118896484375,661.21616363525391,1168.5452270507812,578.54678344726562,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,5,226.22320556640625,37.374050140380859,561.8009033203125,701.22150421142578,1193.3038330078125,582.70135498046875,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,6,225.86019897460938,38.910018920898438,560.05218505859375,747.30056762695312,1204.1940307617188,580.07827758789062,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,7,225.74989318847656,39.823432922363281,560.83770751953125,774.70298767089844,1207.5032043457031,581.25656127929688,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,8,225.89418029785156,41.211643218994141,561.20758056640625,816.34929656982422,1203.1745910644531,581.81137084960938,,,任务相关道路，严格贴合DSM
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,road,road_00,9,226.34315490722656,42.940456390380859,559.5216064453125,868.21369171142578,1189.7053527832031,579.28240966796875,,,任务相关道路，严格贴合DSM
